,LAD20CD,LAD20NM,1981,1991,2001,2011,2021
218,E08000022,North Tyneside,2399.02260736859,2336.38636899366,2328.78010609886,2439.84855517456,2539
219,E07000218,North Warwickshire,209.803444929014,213.701267108818,217.627232409054,218.158433807204,229
221,E07000134,North West Leicestershire,280.698676824378,288.427941344942,306.116823232901,334.617367396036,375
223,E06000057,Northumberland,58.8559779273598,60.6972504361094,61.1948701187727,62.9550652813078,64
224,E07000148,Norwich,3069.01235200656,3098.12413510327,3115.11455076623,3395.82799446466,3690
225,E06000018,Nottingham,3595.30217173368,3531.84155082478,3578.2676523725,4096.86221740925,4338
227,E07000219,Nuneaton and Bedworth,1430.78439121271,1482.60173476005,1508.9980544747,1586.46441309987,1700
228,E07000135,Oadby and Wigston,2155.22334768618,2191.05589111667,2371.62130569877,2387.56104921767,2453
229,E08000004,Oldham,1541.75418876672,1521.17039586919,1526.41820928026,1579.94309599915,1701
231,E07000178,Oxford,2295.44108940201,2414.3806328531,2943.88527070587,3331.05278161524,3555
234,E07000122,Pendle,505.171803046404,502.485535482347,526.904002833864,528.114299208879,566
235,E06000031,Peterborough,383.533375153111,446.056272646312,454.478473007313,534.77768827491,628
236,E06000026,Plymouth,3013.81219967013,3047.88872093445,3014.75146431357,3210.83235127996,3315
237,E06000044,Portsmouth,4343.11666699685,4326.15349565148,4623.44235988668,5077.95629692731,5153
239,E07000123,Preston,874.405502793354,886.128527361806,911.085637818983,985.366601046779,1039
240,E06000038,Reading,3240.7746702056,3190.90936101097,3542.86336806243,3854.97959830448,4313
241,E09000026,Redbridge,3984.77589392418,4011.14235762641,4231.09930599637,4946.50462609978,5502
242,E06000003,Redcar and Cleveland,613.225543590252,592.170309099819,567.716041599593,551.58593657233,557
243,E07000236,Redditch,1223.85066422861,1439.71805076044,1452.80539124696,1552.30604469234,1604
244,E07000211,Reigate and Banstead,894.211805590508,911.982679785882,979.721070836485,1067.29779726336,1168
246,E07000124,Ribble Valley,91.8641111457489,88.767279071211,92.5242885259799,97.9668937333905,105
247,E09000027,Richmond upon Thames,2740.84115373758,2800.57010834149,3002.66933367716,3258.08553715984,3401
249,E08000005,Rochdale,1304.83449810628,1278.48244556154,1298.66228709508,1338.78165866787,1415
250,E07000075,Rochford,437.703143225287,451.216600126755,469.721298416986,498.44786756094,512
251,E07000125,Rossendale,466.846129995972,475.807222771172,475.633361634062,492.476159291573,513
252,E07000064,Rother,145.416164727908,160.33839423698,167.679769975461,177.818327646384,183
253,E08000018,Rotherham,873.748187391047,878.208383283688,866.160968399965,897.902346837815,928
254,E07000220,Rugby,241.192800158809,240.842485887034,249.07344723199,285.021957299823,326
255,E07000212,Runnymede,898.582406359758,919.891800047923,999.952588841463,1031.64118210113,1129
256,E07000176,Rushcliffe,224.760203082996,238.415059243944,258.027420651919,271.5552094327,291
257,E07000092,Rushmoor,1984.53066974004,2113.61249839928,2330.18312203867,2402.53553592009,2556
258,E06000017,Rutland,78.5608723014588,82.4683570990644,90.5111760088813,97.8678280172422,107
259,E07000167,Ryedale,29.1537390611249,31.5692226895358,33.773625308374,34.3511110892802,36
260,E08000006,Salford,2484.86070615057,2268.19853205949,2223.40309514451,2406.78248595127,2777
261,E08000028,Sandwell,3588.08960844517,3390.541486625,3306.52918632661,3600.59561308058,3996
262,E07000168,Scarborough,121.031611607988,130.134311998179,130.157589428518,133.285340989239,133
263,E07000188,Sedgemoor,156.99621320476,173.269897512299,187.659577635682,203.089625074305,222
264,E08000014,Sefton,1904.50400853758,1849.1834436828,1807.19806001214,1748.5820193475,1784
265,E07000169,Selby,96.9239073576438,116.629721740886,127.598902414504,139.240516889684,154
266,E07000111,Sevenoaks,290.035471048317,294.742555264229,296.037138840296,311.168600010779,326
267,E08000019,Sheffield,1442.78181024553,1362.22033418295,1394.91675323199,1502.18166380471,1513
268,E06000051,Shropshire,77.253892204107,83.4682450603729,88.5663351281737,95.7468229672272,101
269,E06000039,Slough,2972.01454125296,3245.90758376124,3658.60628912263,4308.4454195975,4871
270,E08000029,Solihull,1110.22362873221,1121.02673235282,1119.08037879293,1159.25266754205,1213
272,E07000246,Somerset West and Taunton,95.4936215909254,105.548551095689,115.684317484504,121.981173931755,133
273,E07000012,South Cambridgeshire,119.028420906696,134.323027866352,144.308332178011,164.985442950228,180
274,E07000039,South Derbyshire,199.123465184225,212.263502253148,241.211213896321,279.809148577057,317
276,E06000025,South Gloucestershire,405.721105367902,443.343014436351,494.192947682611,528.652202149156,584
277,E07000044,South Hams,74.2081356092796,87.4911313218588,92.3143386645039,93.7795740101765,100
278,E07000140,South Holland,82.1663185687,89.6722226355135,102.014968612522,117.681376905439,127
279,E07000141,South Kesteven,102.865945388537,115.580965556458,132.394285508165,141.937181328812,152
280,E07000031,South Lakeland,59.5382924892618,63.1059399832858,66.6273474312938,67.5091646468667,68
281,E07000149,South Norfolk,102.029955377871,113.061531114839,121.978684774376,136.640808059617,156
282,E07000179,South Oxfordshire,171.533963388716,176.088118930371,188.926710814955,197.87289985633,220
283,E07000126,South Ribble,859.338334142053,901.533210125002,918.069995412832,963.897484305079,981
284,E07000189,South Somerset,134.80799651406,147.703009917388,157.417802500779,168.127326448833,180
285,E07000196,South Staffordshire,236.13487402973,258.976736603912,259.98085545525,265.467910792019,271
286,E08000023,South Tyneside,2485.24926071669,2401.36292018844,2371.77606507245,2299.37675118945,2294
291,E09000028,Southwark,7262.87065798176,7567.81184097071,8479.58805583547,9982.89337447234,10655
292,E07000213,Spelthorne,2050.26298846682,1936.29018065001,2013.57158610672,2129.70533261747,2295
293,E07000240,St Albans,771.169523677187,782.86265134381,800.268972952586,872.574063712347,919
294,E08000013,St. Helens,1387.89090831754,1310.98345760116,1296.88828068909,1285.63854011515,1344
295,E07000197,Stafford,193.583084199346,196.913229486965,201.714523295218,218.781517894264,229
297,E07000198,Staffordshire Moorlands,165.23753242599,165.755028481385,164.082717403045,168.63077837311,166
299,E08000007,Stockport,2292.77279348526,2256.37970047699,2257.45078562111,2247.49366076274,2339
300,E06000004,Stockton-on-Tees,838.766407183612,848.628162068499,870.596306794754,934.988052198497,959
301,E06000021,Stoke-on-Trent,2673.53676088968,2617.88043681814,2575.04400819702,2664.65486337394,2765
302,E07000221,Stratford-on-Avon,101.651611145619,107.975564017035,114.006021663015,123.211749953521,138
303,E07000082,Stroud,209.718023668623,225.000010856768,234.295575953734,244.883096489311,263
305,E08000024,Sunderland,2139.91188658034,2103.08033164406,2043.17630323822,2004.60576338891,1995
307,E07000214,Surrey Heath,797.188015942288,831.533341045082,844.583723302451,905.892126654958,952
308,E09000029,Sutton,3821.11262392326,3851.51330628516,4099.69051968518,4336.51023884947,4780
309,E07000113,Swale,291.91812592703,310.009535747538,328.850737567712,363.742843837874,406
311,E06000030,Swindon,655.15162762236,742.524880124714,782.521698806527,909.005173118904,1014
312,E08000008,Tameside,2104.06362513596,2098.13075958128,2065.26733763627,2126.17615181931,2240
313,E07000199,Tamworth,2082.70800986687,2271.09919710087,2415.79607593993,2489.83005247855,2548
314,E07000215,Tandridge,305.006513031906,307.484406395462,319.378294540536,334.406818517881,354
315,E07000045,Teignbridge,139.039185632503,160.677464086973,179.522461791644,184.368403156199,200
316,E06000020,Telford and Wrekin,424.895552638404,480.569811207669,545.351459472977,574.003224787531,639
317,E07000076,Tendring,335.250827846813,374.097262671772,411.929795141177,410.460974719935,440
318,E07000093,Test Valley,143.692176056455,161.611075747424,174.952259022586,185.463639180982,208
319,E07000083,Tewkesbury,167.083962333355,170.623897239092,184.378245543591,197.732028616766,229
320,E07000114,Thanet,1142.06184591893,1193.57276532659,1222.86555910629,1295.11789987559,1357
321,E07000102,Three Rivers,875.380808383301,883.284059974646,932.707527903431,983.031651284222,1056
324,E06000027,Torbay,1760.3881265832,1903.00969839409,2062.45517732684,2082.45940715604,2215
326,E07000046,Torridge,47.4984511595592,52.9873688822073,59.931866267602,64.890188610394,69
327,E09000030,Tower Hamlets,7080.87603054979,8146.47716352233,9918.8204946639,12851.9548834151,15695
328,E08000009,Trafford,2084.04765542045,2006.05217050184,1981.64734460783,2136.62930502826,2217
329,E07000116,Tunbridge Wells,287.463691656143,300.420609376546,313.981157086253,347.235133196993,348
331,E07000077,Uttlesford,95.5203265714042,102.048884959346,107.524701610102,123.900684188552,142
333,E07000180,Vale of White Horse,173.768864559478,190.287120244142,200.161374113909,209.443588217993,240
334,E08000036,Wakefield,915.144359544243,918.183165898745,930.751834358179,962.250287785888,1043
336,E08000030,Walsall,2557.59646217205,2495.71525024669,2438.13321484148,2590.30675153452,2732
337,E09000031,Waltham Forest,5529.34537827684,5463.33180452561,5625.71179741408,6654.15277427068,7173
338,E09000032,Wandsworth,7362.11360140564,7367.51318519988,7599.60772753408,8960.24446980465,9559
339,E06000007,Warrington,925.377530270794,1011.38860607912,1057.83768731187,1119.58340876464,1168
340,E07000222,Warwick,399.859022589615,411.121661242736,445.174705230657,486.591238331715,525
342,E07000103,Watford,3449.61620120855,3479.43351765007,3720.25851006742,4213.66743659737,4774
343,E07000216,Waverley,312.460255126237,327.988821749727,335.101252917762,352.208750289349,371
344,E07000065,Wealden,138.87341836573,156.295761407403,168.067095765632,178.742556944595,192
345,E07000241,Welwyn Hatfield,715.356562768263,713.048338387238,753.083293704954,853.309638650946,926
346,E06000037,West Berkshire,170.041026267319,194.125674718077,205.176779331509,218.440377004273,229
347,E07000047,West Devon,36.217993326045,39.5758387585733,42.1205233685864,46.1794289800169,49
348,E07000127,West Lancashire,306.909524797256,311.505162086367,312.650465290244,319.314572093663,339
349,E07000142,West Lindsey,65.1881175576935,65.9478091851909,68.8057379387489,77.2237787632618,82
353,E07000181,West Oxfordshire,111.606305516907,126.327296751779,133.869057783774,146.662616772719,160
354,E07000245,West Suffolk,131.9737316701,141.661792353081,148.548008670543,165.033368912923,174
357,E09000033,Westminster,7629.05793525923,8137.46939383501,8439.06231089346,10212.7303026635,9510
358,E08000010,Wigan,1635.33613822739,1628.94833478679,1601.81877025749,1689.14886504888,1750
359,E06000054,Wiltshire,111.167869168489,120.915550983782,133.004003485843,144.679595646301,157
360,E07000094,Winchester,133.993816368287,145.824898770112,162.221992257449,176.39962309984,193
361,E06000040,Windsor and Maidenhead,657.729678674535,674.116305355119,680.019562171726,735.667935697248,781
362,E08000015,Wirral,2106.31237493941,2055.6232211879,1940.59233665999,1987.19255291383,1990
363,E07000217,Woking,1278.28072084196,1364.15663313596,1412.72321919897,1559.63360449284,1634
364,E06000041,Wokingham,631.63452888489,777.726868899083,839.374416798439,862.607490682743,992
365,E08000031,Wolverhampton,3635.86874338424,3487.93501976626,3407.19938360948,3592.77901391919,3798
368,E07000229,Worthing,2788.57596191987,2956.77548899323,3000.07072374995,3217.6231285112,3425
370,E07000238,Wychavon,141.814728175376,153.292528066807,170.222885732292,176.242099593424,200
371,E07000128,Wyre,345.585764894508,360.846371831457,374.32078603821,381.866032710008,397
372,E07000239,Wyre Forest,466.567180372132,485.220860597388,496.315834185415,501.397618674764,520
373,E06000014,York,581.856306406689,613.360575498085,665.980464190601,728.312361132256,746
