,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,areaCode,areaName,areaType,date,newCasesBySpecimenDate,pororig,poralp,pordlt,poromi,alpha,delta,omicron,Alpha,Delta,Omicron,cumCases,cumDeaths,original,Original,R0orig,R0alp,R0dlt,R0omi
0,0,0,0,0,830,E07000084,Basingstoke and Deane,ltla,2020-03-04,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0000000148529775,,,
1,1,1,1,1,829,E07000084,Basingstoke and Deane,ltla,2020-03-05,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,134.13229365343554,,,
2,2,2,2,2,828,E07000084,Basingstoke and Deane,ltla,2020-03-06,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,1.0000000594119127,,,
3,3,3,3,3,827,E07000084,Basingstoke and Deane,ltla,2020-03-07,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0000000594119127,,,
4,4,4,4,4,826,E07000084,Basingstoke and Deane,ltla,2020-03-08,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,27.280960086527777,,,
5,5,5,5,5,825,E07000084,Basingstoke and Deane,ltla,2020-03-09,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,8.0,5.225107235551783,,,
6,6,6,6,6,824,E07000084,Basingstoke and Deane,ltla,2020-03-10,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,9.0,6.211021946320907,,,
7,7,7,7,7,823,E07000084,Basingstoke and Deane,ltla,2020-03-11,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,11.0,13.190441849598432,,,
8,8,8,8,8,822,E07000084,Basingstoke and Deane,ltla,2020-03-12,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,13.0,24.0,3.04570454155537,,,
9,9,9,9,9,821,E07000084,Basingstoke and Deane,ltla,2020-03-13,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,3.0,27.0,1.0000004010305474,,,
10,10,10,10,10,820,E07000084,Basingstoke and Deane,ltla,2020-03-14,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0,1.0000004010305474,,,
