,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,areaCode,areaName,areaType,date,newCasesBySpecimenDate,pororig,poralp,pordlt,poromi,alpha,delta,omicron,Alpha,Delta,Omicron,cumCases,cumDeaths,original,Original,R0orig,R0alp,R0dlt,R0omi
0,0,0,0,0,833,E09000002,Barking and Dagenham,ltla,2020-03-01,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0000000148529775,,,
1,1,1,1,1,832,E09000002,Barking and Dagenham,ltla,2020-03-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
2,2,2,2,2,831,E09000002,Barking and Dagenham,ltla,2020-03-03,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
3,3,3,3,3,830,E09000002,Barking and Dagenham,ltla,2020-03-04,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
4,4,4,4,4,829,E09000002,Barking and Dagenham,ltla,2020-03-05,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
5,5,5,5,5,828,E09000002,Barking and Dagenham,ltla,2020-03-06,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
6,6,6,6,6,827,E09000002,Barking and Dagenham,ltla,2020-03-07,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.330308017155845,,,
7,7,7,7,7,826,E09000002,Barking and Dagenham,ltla,2020-03-08,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,8.501807854266822,,,
8,8,8,8,8,825,E09000002,Barking and Dagenham,ltla,2020-03-09,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0000000445589339,,,
9,9,9,9,9,824,E09000002,Barking and Dagenham,ltla,2020-03-10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.923010941484932,,,
10,10,10,10,10,823,E09000002,Barking and Dagenham,ltla,2020-03-11,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,7.966909820603157,,,
11,11,11,11,11,822,E09000002,Barking and Dagenham,ltla,2020-03-12,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,8.0,2.4322363463037595,,,
12,12,12,12,12,821,E09000002,Barking and Dagenham,ltla,2020-03-13,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,9.0,3.258800206876442,,,
13,13,13,13,13,820,E09000002,Barking and Dagenham,ltla,2020-03-14,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,11.0,4.898254511517152,,,
14,14,14,14,14,819,E09000002,Barking and Dagenham,ltla,2020-03-15,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,16.0,3.60991386323471,,,
15,15,15,15,15,818,E09000002,Barking and Dagenham,ltla,2020-03-16,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,4.0,20.0,3.8444513066227124,,,
16,16,16,16,16,817,E09000002,Barking and Dagenham,ltla,2020-03-17,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,5.0,25.0,3.691447565324645,,,
17,17,17,17,17,816,E09000002,Barking and Dagenham,ltla,2020-03-18,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,5.0,30.0,3.247414850566426,,,
18,18,18,18,18,815,E09000002,Barking and Dagenham,ltla,2020-03-19,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,4.0,34.0,5.927623502163692,,,
19,19,19,19,19,814,E09000002,Barking and Dagenham,ltla,2020-03-20,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,9.0,43.0,6.231910420717676,,,
20,20,20,20,20,813,E09000002,Barking and Dagenham,ltla,2020-03-21,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,9.0,52.0,6.966062522229084,,,
21,21,21,21,21,812,E09000002,Barking and Dagenham,ltla,2020-03-22,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,9.0,61.0,9.609652725020336,,,
22,22,22,22,22,811,E09000002,Barking and Dagenham,ltla,2020-03-23,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,11.0,72.0,12.688911342458772,,,
23,23,23,23,23,810,E09000002,Barking and Dagenham,ltla,2020-03-24,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,12.0,84.0,15.331253218474345,,,
24,24,24,24,24,809,E09000002,Barking and Dagenham,ltla,2020-03-25,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,11.0,95.0,14.386044233050326,,,
25,25,25,25,25,808,E09000002,Barking and Dagenham,ltla,2020-03-26,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,7.0,102.0,34.71059414683561,,,
