,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,areaCode,areaName,areaType,date,newCasesBySpecimenDate,pororig,poralp,pordlt,poromi,alpha,delta,omicron,Alpha,Delta,Omicron,cumCases,cumDeaths,original,Original,R0orig,R0alp,R0dlt,R0omi
0,0,0,0,0,852,E09000003,Barnet,ltla,2020-02-11,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0000000148529775,,,
1,1,1,1,1,851,E09000003,Barnet,ltla,2020-02-12,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
2,2,2,2,2,850,E09000003,Barnet,ltla,2020-02-13,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
3,3,3,3,3,849,E09000003,Barnet,ltla,2020-02-14,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
4,4,4,4,4,848,E09000003,Barnet,ltla,2020-02-15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
5,5,5,5,5,847,E09000003,Barnet,ltla,2020-02-16,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
6,6,6,6,6,846,E09000003,Barnet,ltla,2020-02-17,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
7,7,7,7,7,845,E09000003,Barnet,ltla,2020-02-18,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
8,8,8,8,8,844,E09000003,Barnet,ltla,2020-02-19,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
9,9,9,9,9,843,E09000003,Barnet,ltla,2020-02-20,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
10,10,10,10,10,842,E09000003,Barnet,ltla,2020-02-21,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
11,11,11,11,11,841,E09000003,Barnet,ltla,2020-02-22,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
12,12,12,12,12,840,E09000003,Barnet,ltla,2020-02-23,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
13,13,13,13,13,839,E09000003,Barnet,ltla,2020-02-24,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
14,14,14,14,14,838,E09000003,Barnet,ltla,2020-02-25,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
15,15,15,15,15,837,E09000003,Barnet,ltla,2020-02-26,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
16,16,16,16,16,836,E09000003,Barnet,ltla,2020-02-27,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
17,17,17,17,17,835,E09000003,Barnet,ltla,2020-02-28,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
18,18,18,18,18,834,E09000003,Barnet,ltla,2020-02-29,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
19,19,19,19,19,833,E09000003,Barnet,ltla,2020-03-01,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
20,20,20,20,20,832,E09000003,Barnet,ltla,2020-03-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000148529775,,,
21,21,21,21,21,831,E09000003,Barnet,ltla,2020-03-03,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,46.08322206083919,,,
