Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,longitude,langitude
2020-03-01,39.5,70.7,21.1,28.2,63.95281517222156,,,,,0.8,257300.0,145600.0,746.0,-1.0792796024582247,53.95712418352214
2020-03-02,36.6,83.7,11.3,28.4,0.4607430436134662,,,,,0.6524,228200.0,122500.0,746.0,-1.0792985116640452,53.957163370672845
2020-03-03,37.5,90.0,12.6,28.7,1.2755513341931006,,,,,0.5238,181900.0,93000.0,746.0,-1.0792664011493431,53.95718364637232
2020-03-04,38.7,82.3,4.9,29.0,0.5916311383827263,,,,,0.4905,167900.0,83200.0,746.0,-1.0792401873467594,53.957158614096656
2020-03-05,36.6,85.0,5.9,28.8,1.2737613987359382,,,,,0.1952,205000.0,98400.0,746.0,-1.079397938414832,53.95719062610349
2020-03-06,36.9,77.6,6.3,28.9,1.1599593061652258,,,,,0.7714,235300.0,102700.0,746.0,-1.079374095029161,53.9570971351132
2020-03-07,45.1,82.7,15.2,29.0,0.7441063705280138,,,,,0.6,225100.0,125100.0,746.0,-1.079352170374774,53.95707541488593
2020-03-08,44.8,82.7,17.5,28.8,0.8183100533160029,,,,,0.5619,246600.0,150100.0,746.0,-1.0793193779223111,53.95715979428959
2020-03-09,42.4,88.0,15.3,28.9,16.983187437598957,,,,,0.5905,217000.0,126300.0,746.0,-1.0790413655192954,53.957189691700535
2020-03-10,48.7,88.2,23.7,28.7,0.9801177019604704,,,,,0.8714,187900.0,98500.0,746.0,-1.0794389814968794,53.95701178184772
2020-03-11,44.5,82.0,16.3,28.8,0.917293971206246,,,,,,175700.0,88600.0,746.0,-1.0792568481055298,53.957067763312594
2020-03-12,40.0,75.5,25.0,28.8,10.289929625047114,,,,,0.9824,184200.0,96700.0,746.0,-1.0793412941056542,53.95709840345678
2020-03-13,41.0,83.3,12.2,29.2,7.183668530367982,,,,,0.9273,195200.0,104200.0,746.0,-1.0791723757706049,53.95697824075835
2020-03-14,43.6,88.9,11.9,29.1,0.8078181599637709,,,,,0.8773,192200.0,125800.0,746.0,-1.079461039064995,53.957142168109094
2020-03-15,45.0,82.8,17.7,28.9,0.8474053301021207,,,,,0.2826,201000.0,141400.0,746.0,-1.079303367514137,53.95684068288437
2020-03-16,43.7,74.9,12.3,29.3,6.578584543290358,,,,,1.2087,159400.0,112700.0,746.0,-1.079211576142104,53.957235574105276
2020-03-17,49.5,82.7,16.9,29.4,4.986104766592867,,,,,0.9,109500.0,77300.0,746.0,-1.079529976583907,53.95720236043879
2020-03-18,43.6,84.4,13.6,29.4,4.1284322935246625,,,,,0.5522,87000.0,62100.0,746.0,-1.0792450989804974,53.95712533436515
2020-03-19,40.9,73.1,4.3,29.6,2.232432276083008,,,,,0.2818,80900.0,58500.0,746.0,-1.07941879751016,53.9571228820188
2020-03-20,39.3,80.0,10.7,29.7,2.0160451007191003,,,,,1.0955,64200.0,46900.0,746.0,-1.0792976738963713,53.957073883644355
