Date,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),Precipitation (in),R0orig,R0alp,R0dlt,R0omi
2021-01-22,41.5,36.2,81.4,11.2,28.9,0.0,0.95263897752869,-0.10587840636699443,,
2021-01-23,37.8,31.1,77.0,8.4,29.0,0.0,0.9563636530296484,0.07680952088426762,,
2021-01-24,39.4,33.2,78.5,20.2,28.4,0.0,1.0384384960894004,0.8135449278332565,,
2021-01-25,37.0,28.2,71.7,7.8,29.5,0.0,1.033726350043064,0.6311771566787994,,
2021-01-26,45.5,43.0,91.5,12.9,29.5,0.0,1.053857299447419,0.8545669692314511,,
2021-01-27,49.9,49.9,100.0,12.5,29.5,0.0,1.1337459446013394,1.9889502098906275,,
2021-01-28,52.0,51.6,98.8,19.8,29.2,0.0,1.06450944598606,0.8386718803026783,,
2021-01-29,48.7,45.8,89.4,21.0,29.2,0.0,1.0619419049637415,0.20081584703794653,,
2021-01-30,48.0,45.9,93.1,16.6,28.8,0.0,1.0700325652727636,0.8947754237851948,,
2021-02-01,46.6,46.4,99.1,10.9,29.0,0.0,1.031635934463863,0.9711764299029232,,
2021-02-02,51.5,48.3,90.0,20.9,28.9,0.0,1.0585140348059847,0.9618493294317512,,
2021-02-03,45.8,42.3,87.2,11.1,29.0,0.0,1.0491094356244766,0.9045949242841912,,
2021-02-04,45.2,43.8,94.7,7.7,29.3,0.0,1.081165012408511,1.5230608262900316,,
2021-02-05,42.7,39.3,87.9,10.0,29.3,0.0,1.04395616516433,0.9289985304005106,,
2021-02-06,40.1,37.4,89.7,7.0,29.3,0.0,1.0330311427807084,0.7868640189572939,,
2021-02-07,36.0,30.8,81.3,9.7,29.3,0.0,1.052976468469053,1.5388449525274028,,
2021-02-08,33.8,22.4,63.8,14.4,29.2,0.0,1.0414104767695629,1.4093162059507331,,
2021-02-09,31.8,23.0,70.1,18.5,29.1,0.0,1.037417442305762,1.391304581299075,,
2021-02-10,32.2,20.7,63.7,13.7,29.5,0.0,1.0383459064696094,1.6647244205159242,,
2021-02-11,35.8,26.4,68.6,31.8,29.6,0.0,1.0471293386652292,1.7549813626102966,,
2021-02-12,37.9,27.7,67.2,33.1,29.7,0.0,1.0165518111859129,1.0238778751754507,,
2021-02-13,38.3,34.1,84.5,32.0,29.8,0.0,1.0092066694094106,1.039332597983019,,
2021-02-14,48.6,48.1,98.4,25.2,29.6,0.0,1.04684384588963,2.247764249217699,,
2021-02-15,50.5,47.4,90.4,15.1,29.5,0.0,1.014718671933027,1.357684822454691,,
2021-02-16,50.2,46.9,89.1,17.4,29.4,0.0,1.0077054382998587,1.3443641705827811,,
2021-02-17,49.8,47.1,91.3,20.7,29.3,0.0,0.990247417006706,1.2172912261427944,,
2021-02-18,46.3,39.4,78.3,18.5,29.2,0.0,0.9990072989290713,1.1499277293379528,,
2021-02-19,50.1,46.7,88.9,27.1,29.1,0.0,0.9946417289325228,0.7724218691487227,,
2021-02-20,51.8,49.1,91.4,25.5,29.0,0.0,0.9939004531481032,1.1406507639718155,,
2021-02-21,47.5,45.9,93.4,7.8,29.3,0.0,0.9931656994376532,2.0825416389449165,,
2021-02-22,46.5,43.0,87.6,8.7,29.5,0.0,0.9924884328382392,1.1845305496839769,,
2021-02-23,51.8,47.3,84.8,28.6,29.6,0.0,0.9898879080964178,1.197892174152674,,
2021-02-24,52.7,49.7,90.2,22.9,29.6,0.0,0.9881204888677224,1.1992906443234352,,
2021-02-25,46.4,42.1,85.5,11.0,29.9,0.0,0.9941214692005256,0.9746899809912404,,
2021-02-26,43.6,38.1,81.8,4.2,30.2,0.0,0.994822365875712,0.9190236677221506,,
2021-02-27,44.4,37.3,76.5,7.6,30.3,0.0,0.993392977367342,0.9283918079745678,,
2021-02-28,45.5,36.2,70.8,9.8,30.1,0.0,0.9926225546063496,1.9403611788096224,,
2021-03-01,44.8,36.6,74.6,11.2,29.9,0.0,0.9930356243288374,2.5418649437804945,,
2021-03-02,45.2,39.2,80.6,14.2,29.9,0.0,0.9927020516156462,1.251423381034472,,
2021-03-03,48.1,46.1,92.8,7.9,29.8,0.0,0.9924475446251536,1.5100332094447229,,
2021-03-04,44.7,43.4,95.4,6.2,29.8,0.0,0.9959904811956992,1.60739107523193,,
2021-03-05,40.1,31.4,72.1,9.8,30.0,0.0,0.99558186337098,1.4950774703038192,,
2021-03-06,38.4,27.4,65.2,7.2,30.1,0.0,0.9951391891258404,1.6413146803622034,,
2021-03-07,37.1,27.0,67.3,7.1,29.9,0.0,0.9969157267230148,1.4392618430779174,,
2021-03-08,38.4,29.8,71.4,5.3,29.8,0.0,0.9953595030177006,1.4721352610979441,,
2021-03-09,41.7,34.9,77.7,11.4,29.7,0.0,0.9948033485006279,1.1772767295372597,,
2021-03-10,50.3,48.0,92.2,22.2,29.3,0.0,0.9953331448150952,1.032519703778505,,
2021-03-11,47.1,39.9,76.3,27.9,29.1,0.0,0.9965618461393256,1.3195182322194574,,
2021-03-12,46.3,40.8,80.4,23.1,29.2,0.0,0.9970035274081082,1.1315200774936804,,
2021-03-13,44.9,35.9,71.6,27.7,29.2,0.0,0.9967686294648224,1.077104087745328,,
2021-03-14,47.1,40.3,78.8,22.2,29.7,0.0,0.9970283662707512,1.0770499271507332,,
2021-03-15,48.4,46.5,93.1,16.2,29.9,0.0,0.9976482711095556,0.8815399184299116,,
2021-03-16,49.0,47.3,94.5,10.7,30.1,0.0,0.9966682302769859,1.120747801172604,,
2021-03-17,46.2,42.2,86.0,9.1,30.1,0.0,0.9964518539990731,1.172433867766584,,
2021-03-18,45.9,41.8,85.3,9.9,30.1,0.0,0.9986167508422692,0.9838723072623003,,
2021-03-19,48.1,43.8,85.0,10.3,30.0,0.0,0.9988772204873168,1.0866086450691008,,
2021-03-20,46.2,42.5,86.8,5.0,30.1,0.0,0.998688126267546,1.1326194068092328,,
2021-03-21,47.6,44.1,86.8,9.7,30.0,0.0,0.9989231232222228,1.4982645488577997,,
2021-03-22,45.8,38.8,78.0,4.4,29.9,0.0,0.9992789883305876,1.0421719034242611,,
