Date,UV Total Index
2020-01-30,0.1588
2020-01-31,0.2
2020-02-01,0.3824
2020-02-02,0.2882
2020-02-03,0.3235
2020-02-04,0.2647
2020-02-05,0.4706
2020-02-06,0.5
2020-02-07,0.5294
2020-02-08,0.4824
2020-02-09,0.2
2020-02-10,0.4412
2020-02-11,0.5412
2020-02-12,0.5706
2020-02-13,0.4
2020-02-14,0.5875
2020-02-15,0.12
2020-02-16,0.1526
2020-02-17,0.4368
2020-02-18,0.4684
2020-02-19,0.3053
2020-02-20,0.2895
2020-02-21,0.4579
2020-02-22,0.5421
2020-02-23,0.4947
2020-02-24,0.2316
2020-02-25,0.4684
2020-02-26,0.6632
2020-02-27,0.7105
2020-02-28,0.225
2020-02-29,0.5333
2020-03-01,0.8
2020-03-02,0.6524
2020-03-03,0.5238
2020-03-04,0.4905
2020-03-05,0.1952
2020-03-06,0.7714
2020-03-07,0.6
2020-03-08,0.5619
2020-03-09,0.5905
2020-03-10,0.8714
2020-03-12,0.9824
2020-03-13,0.9273
2020-03-14,0.8773
2020-03-15,0.2826
2020-03-16,1.2087
2020-03-17,0.9
2020-03-18,0.5522
2020-03-19,0.2818
2020-03-20,1.0955
2020-03-21,1.2652
2020-03-22,1.1
2020-03-23,1.4542
2020-03-24,1.5667
2020-03-25,1.6913
2020-03-26,1.575
2020-03-27,1.45
2020-03-28,1.0542
2020-03-29,0.9958
2020-03-30,0.6625
2020-03-31,1.1667
2020-04-01,0.9458
2020-04-02,1.028
2020-04-03,1.484
2020-04-04,1.932
2020-04-05,2.116
2020-04-06,1.5923
2020-04-07,1.8038
2020-04-08,1.6423
2020-04-09,1.9577
2020-04-10,2.1192
2020-04-11,1.8577
2020-04-12,1.8115
2020-04-13,1.6654
2020-04-14,2.2654
2020-04-15,2.2077
2020-04-16,1.5115
2020-04-17,0.6692
2020-04-18,1.0038
2020-04-19,2.2038
2020-04-20,2.1071
2020-04-21,2.1536
2020-04-22,2.1964
2020-04-23,2.2536
2020-04-24,2.2107
2020-04-25,2.2536
2020-04-26,2.2929
2020-04-27,1.2964
2020-04-28,0.3464
2020-04-29,1.2143
2020-04-30,0.9111
2020-05-01,1.5964
2020-05-02,2.1143
2020-05-03,1.1393
2020-05-04,2.2179
2020-05-05,2.4464
2020-05-06,2.5786
2020-05-07,2.4759
2020-05-08,2.3207
2020-05-09,2.4241
2020-05-10,1.3033
2020-05-11,1.7483
2020-05-12,2.1033
2020-05-13,2.0828
2020-05-14,2.58
2020-05-15,2.32
2020-05-16,1.89
2020-05-17,2.3967
2020-05-18,2.8833
2020-05-19,3.0467
2020-05-20,2.9533
2020-05-21,2.7933
2020-05-22,2.4067
2020-05-23,2.2133
2020-05-24,2.2067
2020-05-25,2.9367
2020-05-26,2.94
2020-05-27,2.5633
2020-05-28,3.0867
2020-05-29,3.1467
2020-05-30,2.9267
2020-05-31,2.9467
2020-06-01,2.9233
2020-06-02,2.7871
2020-06-03,0.7968
2020-06-04,1.2742
2020-06-05,1.7517
2020-06-06,1.0531
2020-06-07,1.7813
2020-06-08,1.6065
2020-06-09,2.3115
2020-06-10,1.0238
2020-06-11,1.1344
2020-06-12,1.25
2020-06-13,2.2875
2020-06-14,1.7438
2020-06-15,2.0844
2020-06-16,2.0469
2020-06-17,1.7844
2020-06-18,0.7969
2020-06-19,1.3813
2020-06-20,2.1813
2020-06-21,2.1219
2020-06-22,3.2406
2020-06-23,3.025
2020-06-24,2.8219
2020-06-25,2.9875
2020-06-26,2.975
2020-06-27,1.5969
2020-06-28,2.2625
2020-06-29,1.7938
2020-06-30,1.3313
2020-07-01,1.5194
2020-07-02,1.9548
2020-07-03,2.2452
2020-07-04,0.9677
2020-07-05,0.2333
2020-07-06,2.113
2020-07-07,1.6742
2020-07-08,1.2387
2020-07-09,1.0516
2020-07-10,1.8645
2020-07-11,2.5161
2020-07-12,2.8323
2020-07-13,2.471
2020-07-14,1.6129
2020-07-15,1.2839
2020-07-16,2.26
2020-07-17,2.8571
2020-07-18,2.7067
2020-07-19,1.9
2020-07-20,2.9633
2020-07-21,2.9967
2020-07-22,2.7367
2020-07-23,2.3667
2020-07-24,1.8867
2020-07-25,1.1567
2020-07-26,1.7733
2020-07-27,1.1267
2020-07-28,1.8267
2020-07-29,2.7
2020-07-30,3.2586
2020-07-31,2.6483
2020-08-01,2.469
2020-08-02,2.7
2020-08-03,2.3724
2020-08-04,2.4793
2020-08-05,2.4724
2020-08-06,1.8241
2020-08-07,2.5643
2020-08-08,1.8607
2020-08-09,2.4
2020-08-10,2.3964
2020-08-11,1.1444
2020-08-12,2.7667
2020-08-13,1.7929
2020-08-14,0.7464
2020-08-15,0.6
2020-08-16,1.375
2020-08-17,1.5857
2020-08-18,1.5643
2020-08-19,0.6107
2020-08-20,2.6259
2020-08-21,1.7037
2020-08-22,2.1074
2020-08-23,1.7577
2020-08-24,1.6269
2020-08-25,1.2346
2020-08-26,1.6462
2020-08-27,0.772
2020-08-28,1.3
2020-08-29,1.1462
2020-08-30,1.6231
2020-08-31,1.4462
2020-09-01,1.6308
2020-09-02,1.3692
2020-09-03,0.9731
2020-09-04,1.2808
2020-09-05,1.5769
2020-09-07,1.8833
2020-09-08,1.82
2020-09-09,1.2292
2020-09-10,1.8375
2020-09-11,1.4583
2020-09-12,2.0083
2020-09-13,1.9917
2020-09-14,1.6792
2020-09-15,1.6167
2020-09-16,1.6208
2020-09-17,1.7917
2020-09-18,1.7217
2020-09-19,1.6667
2020-09-20,1.7
2020-09-21,1.6435
2020-09-22,1.5304
2020-09-23,0.5652
2020-09-24,0.9
2020-09-25,1.113
2020-09-26,1.1391
2020-09-27,1.3261
2020-09-28,1.3091
2020-09-29,1.1409
2020-09-30,0.4636
2020-10-01,0.9318
2020-10-02,0.2364
2020-10-03,0.53
2020-10-04,0.3667
2020-10-05,0.9667
2020-10-06,0.8048
2020-10-07,1.1667
2020-10-08,0.8333
2020-10-09,0.6905
2020-10-10,0.6476
2020-10-11,0.9905
2020-10-12,0.4619
2020-10-13,0.1
2020-10-16,0.7533
2020-10-17,0.5526
2020-10-18,0.4895
2020-10-19,0.8105
2020-10-20,0.6421
2020-10-21,0.2632
2020-10-22,0.5263
2020-10-23,0.4632
2020-10-24,0.1684
2020-10-25,0.5737
2020-10-26,0.5526
2020-10-27,0.3526
2020-10-28,0.4842
2020-10-29,0.2105
2020-10-30,0.3
2020-10-31,0.1765
2020-11-01,0.2353
2020-11-02,0.5647
2020-11-03,0.4941
2020-11-04,0.5471
2020-11-05,0.5294
2020-11-06,0.5059
2020-11-07,0.5118
2020-11-08,0.2412
2020-11-09,0.2588
2020-11-10,0.4929
2020-11-11,0.3059
