LAD20NM,area long label,LAD20CD,doctors
Lambeth,Lambeth (London borough),E09000022,0.137
Lancaster,Lancaster (District),E07000121,0.034
Leeds,Leeds (Metropolitan borough),E08000035,0.131
Leicester,Leicester (Unitary),E06000016,0.138
Lewes,Lewes (District),E07000063,0.048
Lewisham,Lewisham (London borough),E09000023,0.102
Lichfield,Lichfield (District),E07000194,0.066
Lincoln,Lincoln (District),E07000138,0.14
Liverpool,Liverpool (Metropolitan borough),E08000012,0.174
Luton,Luton (Unitary),E06000032,0.122
Maidstone,Maidstone (District),E07000110,0.139
Maldon,Maldon (District),E07000074,0.107
Malvern Hills,Malvern Hills (District),E07000235,0.076
Manchester,Manchester (Metropolitan borough),E08000003,0.166
Mansfield,Mansfield (District),E07000174,0.101
Medway,Medway (Unitary),E06000035,0.147
Melton,Melton (District),E07000133,0.117
Mendip,Mendip (District),E07000187,0.095
Merton,Merton (London borough),E09000024,0.155
Mid Devon,Mid Devon (District),E07000042,0.108
Mid Suffolk,Mid Suffolk (District),E07000203,0.095
Mid Sussex,Mid Sussex (District),E07000228,0.099
Middlesbrough,Middlesbrough (Unitary),E06000002,0.092
Milton Keynes,Milton Keynes (Unitary),E06000042,0.152
Mole Valley,Mole Valley (District),E07000210,0.148
New Forest,New Forest (District),E07000091,0.083
Newark and Sherwood,Newark and Sherwood (District),E07000175,0.106
Newcastle upon Tyne,Newcastle upon Tyne (Metropolitan borough),E08000021,0.127
Newcastle-under-Lyme,Newcastle-under-Lyme (District),E07000195,0.147
Newham,Newham (London borough),E09000025,0.121
North Devon,North Devon (District),E07000043,0.163
North East Derbyshire,North East Derbyshire (District),E07000038,0.137
North East Lincolnshire,North East Lincolnshire (Unitary),E06000012,0.107
North Hertfordshire,North Hertfordshire (District),E07000099,0.105
North Kesteven,North Kesteven (District),E07000139,0.118
North Lincolnshire,North Lincolnshire (Unitary),E06000013,0.104
North Norfolk,North Norfolk (District),E07000147,0.124
North Somerset,North Somerset (Unitary),E06000024,0.074
North Tyneside,North Tyneside (Metropolitan borough),E08000022,0.12
North Warwickshire,North Warwickshire (District),E07000218,0.107
North West Leicestershire,North West Leicestershire (District),E07000134,0.114
Northumberland,Northumberland (Unitary),E06000057,0.108
Norwich,Norwich (District),E07000148,0.162
Nottingham,Nottingham (Unitary),E06000018,0.133
Nuneaton and Bedworth,Nuneaton and Bedworth (District),E07000219,0.138
Oadby and Wigston,Oadby and Wigston (District),E07000135,0.122
Oldham,Oldham (Metropolitan borough),E08000004,0.105
Oxford,Oxford (District),E07000178,0.132
Pendle,Pendle (District),E07000122,0.076
Plymouth,Plymouth (Unitary),E06000026,0.107
Portsmouth,Portsmouth (Unitary),E06000044,0.088
Preston,Preston (District),E07000123,0.111
Reading,Reading (Unitary),E06000038,0.125
Redbridge,Redbridge (London borough),E09000026,0.15
Redcar and Cleveland,Redcar and Cleveland (Unitary),E06000003,0.08
Redditch,Redditch (District),E07000236,0.082
Reigate and Banstead,Reigate and Banstead (District),E07000211,0.094
Ribble Valley,Ribble Valley (District),E07000124,0.129
Richmond upon Thames,Richmond upon Thames (London borough),E09000027,0.187
Rochdale,Rochdale (Metropolitan borough),E08000005,0.152
Rochford,Rochford (District),E07000075,0.114
Rossendale,Rossendale (District),E07000125,0.112
Rother,Rother (District),E07000064,0.134
Rotherham,Rotherham (Metropolitan borough),E08000018,0.117
Rugby,Rugby (District),E07000220,0.108
Runnymede,Runnymede (District),E07000212,0.111
Rushcliffe,Rushcliffe (District),E07000176,0.107
Rushmoor,Rushmoor (District),E07000092,0.095
Rutland,Rutland (Unitary),E06000017,0.124
Ryedale,Ryedale (District),E07000167,0.126
Salford,Salford (Metropolitan borough),E08000006,0.148
Sandwell,Sandwell (Metropolitan borough),E08000028,0.134
Scarborough,Scarborough (District),E07000168,0.129
Sedgemoor,Sedgemoor (District),E07000188,0.13
Sefton,Sefton (Metropolitan borough),E08000014,0.156
Selby,Selby (District),E07000169,0.076
Sevenoaks,Sevenoaks (District),E07000111,0.091
Sheffield,Sheffield (Metropolitan borough),E08000019,0.153
Shropshire,Shropshire (Unitary),E06000051,0.132
Slough,Slough (Unitary),E06000039,0.114
Solihull,Solihull (Metropolitan borough),E08000029,0.115
Somerset West and Taunton,Somerset West and Taunton (District),E07000246,0.135
South Cambridgeshire,South Cambridgeshire (District),E07000012,0.112
