LAD20CD,LAD20NM,male,female,doctors,nonwhite,PopulationDensity
E06000001,Hartlepool,0.17081425442962372,0.198636641833569,0.085,0.016778523,985
E06000002,Middlesbrough,0.14465408805031446,0.17057484911447512,0.092,0.117462803,2671
E06000003,Redcar and Cleveland,0.20014324246072263,0.2258171393998761,0.08,0.008333333,557
E06000004,Stockton-on-Tees,0.15762349996318928,0.18382842949171024,0.096,0.045525903,959
E06000005,Darlington,0.17859236390636601,0.2035099374411781,0.112,0.027833002,546
E06000006,Halton,0.15641017323038994,0.17572872554171431,0.1,0.016038492,1621
E06000007,Warrington,0.15930707185125872,0.18988290938455327,0.129,0.016088487,1168
E06000008,Blackburn with Darwen,0.12843723079868186,0.15156908028800434,0.153,0.320266272,1130
E06000009,Blackpool,0.18500933659511024,0.21984653728751855,0.108,0.016241299,4046
E06000011,East Riding of Yorkshire,0.22321785355339477,0.25439519857632203,0.096,0.013509364,142
E06000012,North East Lincolnshire,0.17675350190084965,0.20726375003070574,0.107,0.028457975,815
E06000013,North Lincolnshire,0.18350939739433164,0.2104716320336213,0.104,0.052206339,200
E06000014,York,0.15899740743335902,0.1968183818324437,0.076,0.040773654,746
E06000015,Derby,0.142712040628624,0.17619361521800547,0.117,0.154739777,3350
E06000016,Leicester,0.10437931776348816,0.12916199411699086,0.138,0.48074922,5026
E06000017,Rutland,0.20870410146261634,0.25714749837556855,0.124,0.035190616,107
E06000018,Nottingham,0.10384200941440391,0.13185923188172907,0.133,0.209436133,4338
E06000020,Telford and Wrekin,0.14844940929878048,0.17279342942718084,0.077,0.092682927,639
E06000021,Stoke-on-Trent,0.15166100339796124,0.18102928099593496,0.148,0.096678024,2765
E06000022,Bath and North East Somerset,0.1734526506064427,0.20664502164502163,0.138,0.033016228,559
E06000024,North Somerset,0.2126444729823175,0.2456791739927425,0.074,0.027589545,580
E06000025,South Gloucestershire,0.16784098494400357,0.19650980793704198,0.083,0.058666667,584
E06000026,Plymouth,0.1587897628464581,0.18972854667598868,0.107,0.04676259,3315
E06000030,Swindon,0.13660577325338166,0.16208400317829888,0.099,0.076647931,1014
E06000031,Peterborough,0.12983402140028646,0.156383168078401,0.094,0.1443539,628
E06000032,Luton,0.10989692465257876,0.1319845027981059,0.122,0.470080552,5197
E06000035,Medway,0.14002426381383037,0.16503151945511194,0.147,0.110768043,1444
E06000036,Bracknell Forest,0.1233005237031098,0.14766682378291024,0.121,0.105734767,1139
E06000037,West Berkshire,0.16252847970173986,0.18472554915651598,0.082,0.045516304,229
E06000038,Reading,0.10747755990207958,0.13179390315599865,0.125,0.223837209,4313
E06000039,Slough,0.08424352052581434,0.10417994844360673,0.114,0.547979798,4871
E06000040,Windsor and Maidenhead,0.16322863804690715,0.19742247281514297,0.172,0.144393241,781
E06000041,Wokingham,0.15746218337722478,0.1824235346733918,0.098,0.168831169,992
E06000042,Milton Keynes,0.11309185255596158,0.13575455698329997,0.152,0.164779874,930
E06000043,Brighton and Hove,0.12118158789177529,0.14730247525812182,0.13,0.119066456,3346
E06000044,Portsmouth,0.12434846653573048,0.15799420435932973,0.088,0.070707071,5153
E06000046,Isle of Wight,0.24348427543376844,0.27780588582511173,0.105,0.012084592,370
E06000049,Cheshire East,0.20029468744031215,0.22971812249258905,0.098,0.022949902,342
E06000050,Cheshire West and Chester,0.1898403321881411,0.21623604540598917,0.137,0.0474713,388
E06000051,Shropshire,0.21005703582786497,0.24676703462566674,0.132,0.017455522,101
E06000052,Cornwall,0.22334333139416285,0.2493754833099919,0.105,0.014526966,161
E06000054,Wiltshire,0.1851116749993719,0.21524608615573518,0.101,0.02170706,157
E06000056,Central Bedfordshire,0.16084656084656085,0.17876626101552665,0.078,0.069196429,411
E06000057,Northumberland,0.21200082952056304,0.23769645165480174,0.108,0.003898635,64
E07000008,Cambridge,0.10376592930993027,0.1405173387552242,0.168,0.10782241,3580
E07000010,Fenland,0.2048053024026512,0.23198252851249695,0.098,0.017321016,188
E07000011,Huntingdonshire,0.17261863405822275,0.1954565773035176,0.112,0.026900585,200
E07000012,South Cambridgeshire,0.1727248712191256,0.19554988333268877,0.112,0.11516035,180
E07000026,Allerdale,0.21584417227059047,0.24124077170942612,0.112,0.01280683,77
E07000031,South Lakeland,0.2539304902952081,0.2827642337976984,0.153,0.013238289,68
E07000034,Chesterfield,0.18218591835538273,0.21722677209827732,0.095,0.048435923,1569
E07000035,Derbyshire Dales,0.23087657344648857,0.2672602095833218,0.166,0.021994135,90
E07000036,Erewash,0.17909270216962525,0.20880949929647552,0.104,0.051094891,1030
E07000038,North East Derbyshire,0.22007111001500299,0.24653318867738436,0.137,0.026123302,370
E07000039,South Derbyshire,0.16180371352785147,0.1824852737178585,0.073,0.06969377,317
E07000040,East Devon,0.2754122756400522,0.31722915484968806,0.074,0.026714801,185
E07000041,Exeter,0.13539932765429682,0.17977795400475813,0.15,0.042929293,2781
E07000044,South Hams,0.2508491262613832,0.2754266525599154,0.114,0.045618247,100
E07000045,Teignbridge,0.23482018128066015,0.27023330040276616,0.111,0.042438272,200
E07000046,Torridge,0.24513836948391923,0.26594094840441396,0.146,0.036036036,69
E07000061,Eastbourne,0.21679136514166564,0.2617948279465694,0.126,0.046808511,2303
E07000062,Hastings,0.1740948954351248,0.20148853570126332,0.108,0.054794521,3057
E07000063,Lewes,0.22091948830619496,0.2657390156807949,0.048,0.021627188,342
E07000064,Rother,0.2861788248135347,0.3284462349960543,0.134,0.041712404,183
E07000065,Wealden,0.23348933260027088,0.26574307304785894,0.129,0.014819588,192
E07000066,Basildon,0.15389878440942367,0.18652978120589914,0.144,0.111175786,1705
E07000067,Braintree,0.1745526730842443,0.20117220717715242,0.118,0.04375,254
E07000069,Castle Point,0.22483236994219652,0.25910594213373633,0.144,0.072302558,2006
E07000070,Chelmsford,0.17057037903216282,0.2006668966310222,0.111,0.058317986,536
E07000071,Colchester,0.15658131906270642,0.18581982239102515,0.091,0.054449649,587
E07000072,Epping Forest,0.17982702459844996,0.2071295293126279,0.106,0.129032258,398
E07000073,Harlow,0.1353034558554158,0.17116394231871432,0.08,0.112466125,3055
E07000075,Rochford,0.2069506077561258,0.23857129663834503,0.114,0.041909197,512
E07000077,Uttlesford,0.17668040392355336,0.1986885708242262,0.097,0.031890661,142
E07000078,Cheltenham,0.1605258545135846,0.1994953318193288,0.129,0.055387714,2550
E07000079,Cotswold,0.22795235060542182,0.2573735714774516,0.122,0.023337223,78
E07000080,Forest of Dean,0.21670681558264593,0.2413274772764638,0.138,0.014002334,165
E07000081,Gloucester,0.1437359727447403,0.17275095737334423,0.069,0.046606705,3267
E07000082,Stroud,0.19688260394258913,0.2291234861851008,0.108,0.038062284,263
E07000083,Tewkesbury,0.2001948021095643,0.23208972304875258,0.083,0.01594533,229
E07000084,Basingstoke and Deane,0.15082995075274602,0.17304281153084697,0.062,0.061611374,292
E07000085,East Hampshire,0.20198106591865359,0.23122611385933856,0.113,0.056401074,244
E07000086,Eastleigh,0.1690413173367989,0.19432958346001825,0.089,0.028682171,1712
E07000087,Fareham,0.20587815410971128,0.2394970236563567,0.086,0.024456522,1542
E07000089,Hart,0.16898093160861208,0.2012846144029946,0.092,0.117508813,462
E07000090,Havant,0.2104748579808843,0.2442476187447326,0.079,0.026271186,2228
E07000091,New Forest,0.2548160204615474,0.2881303018559187,0.083,0.034977064,234
E07000092,Rushmoor,0.1241453081085616,0.14754924608341383,0.095,0.130777903,2556
E07000094,Winchester,0.1883192215123024,0.2177174001464248,0.151,0.057675997,193
E07000095,Broxbourne,0.16129450397511233,0.18869793772745652,0.123,0.104215457,1924
E07000096,Dacorum,0.15005570198081677,0.18184803309910028,0.109,0.086956522,730
E07000098,Hertsmere,0.16073743922204214,0.19106035766106996,0.114,0.33295838,1066
E07000099,North Hertfordshire,0.16715104984225168,0.19606314558565582,0.105,0.110678098,355
E07000102,Three Rivers,0.16234061930783242,0.1942670365352773,0.096,0.146144994,1056
E07000103,Watford,0.11310520182222693,0.14061270958393707,0.072,0.408383234,4774
E07000105,Ashford,0.17311996792837336,0.19924628265977073,0.084,0.15776699,229
E07000106,Canterbury,0.18206245271698016,0.21763826976032008,0.09,0.052631579,510
E07000108,Dover,0.21095855946519068,0.2368861024033438,0.152,0.047027507,369
E07000109,Gravesham,0.15542595372829812,0.1819273266175174,0.094,0.162324649,1080
E07000110,Maidstone,0.17123339088657008,0.20144578901737634,0.139,0.041003672,447
E07000111,Sevenoaks,0.19058303824983347,0.2188595408541101,0.091,0.102473498,326
E07000113,Swale,0.17177605789526584,0.19841838382987093,0.079,0.029473684,406
E07000114,Thanet,0.20793948018874991,0.2435001046682018,0.099,0.048063128,1357
E07000116,Tunbridge Wells,0.1675002623203106,0.20027832934507747,0.177,0.021957914,348
E07000117,Burnley,0.16382458997324648,0.19207330835552747,0.134,0.052845528,856
E07000118,Chorley,0.17474476088124663,0.1998673288272944,0.135,0.017574692,581
E07000120,Hyndburn,0.1627666809400267,0.18942405016416916,0.099,0.040920716,1126
E07000121,Lancaster,0.17970633671657307,0.2073346849223762,0.034,0.053199692,252
E07000122,Pendle,0.16431988446610704,0.1881425182321413,0.076,0.188679245,566
E07000123,Preston,0.13140626767733907,0.15814453685116145,0.111,0.202582728,1039
E07000124,Ribble Valley,0.20827924925451674,0.24031636584871222,0.129,0.039145907,105
E07000125,Rossendale,0.1636213603677944,0.1824270632307867,0.112,0.023564065,513
E07000126,South Ribble,0.18605216870626098,0.21204277882627842,0.144,0.032755299,981
E07000128,Wyre,0.24441003172684694,0.28241620362072056,0.088,0.027027027,397
E07000130,Charnwood,0.15955483730472556,0.19230323537591545,0.133,0.129512894,659
E07000131,Harborough,0.1905700598253375,0.21813388612243978,0.094,0.059031877,165
E07000132,Hinckley and Bosworth,0.1926266586248492,0.2172465517872169,0.097,0.039090909,382
