FID,LAD20CD,LAD20NM,original,alpha,delta,color
103,E08000026,Coventry,4.285445085,2.267525937,3.241126664,1.03
104,E08000027,Dudley,4.302701228,2.269059681,3.253687029,1.04
105,E08000028,Sandwell,4.30670985,2.289165442,3.238489747,1.05
106,E08000029,Solihull,4.292164647,2.268712325,3.274464627,1.06
107,E08000030,Walsall,4.299881228,2.282805813,3.23464959,1.07
108,E06000059,Dorset,4.256931466,2.251582864,3.229887854,1.08
109,E08000031,Wolverhampton,4.289603928,2.27212688,3.2406781,1.09
110,S12000014,Falkirk,4.249207775,2.282640721,3.24724342,1.1
111,S12000017,Highland,4.237126165,2.256071018,3.209223205,1.11
112,S12000018,Inverclyde,4.24600181,2.24721975,3.291429148,1.12
113,S12000019,Midlothian,4.246120499,2.267053454,3.274754602,1.13
114,S12000020,Moray,4.223681374,2.265385025,3.187491213,1.14
115,S12000021,North Ayrshire,4.274547504,2.271314337,3.242654336,1.15
116,S12000023,Orkney Islands,4.216167285,2.215820409,,1.16
117,S12000026,Scottish Borders,4.232985253,2.236649503,3.207976482,1.17
118,S12000027,Shetland Islands,4.200010556,2.207409137,,1.18
119,S12000028,South Ayrshire,4.26435988,2.267065984,3.2170863,1.19
120,S12000029,South Lanarkshire,4.303656647,2.273620363,3.265265743,1.2
121,S12000030,Stirling,4.277926802,2.291760752,3.231884629,1.21
122,S12000033,Aberdeen City,4.242300821,2.251058071,3.208970334,1.22
123,S12000034,Aberdeenshire,4.233326413,2.249178941,3.217081705,1.23
124,S12000035,Argyll and Bute,4.245268006,2.268517757,3.213895716,1.24
125,S12000036,City of Edinburgh,4.271213504,2.272338855,3.238431485,1.25
126,S12000038,Renfrewshire,4.291173003,2.273260984,3.275511229,1.26
127,S12000039,West Dunbartonshire,4.27575468,2.282297597,3.3078507,1.27
128,S12000040,West Lothian,4.289119014,2.29182846,3.257452173,1.28
129,S12000041,Angus,4.235662234,2.252773575,3.22302588,1.29
130,S12000042,Dundee City,4.265903973,2.26059937,3.277599049,1.3
131,S12000045,East Dunbartonshire,4.278350494,2.262358051,3.272760727,1.31
132,E06000060,Buckinghamshire,4.258109171,2.257757637,3.237504454,1.32
133,S12000047,Fife,4.265371795,2.265026746,3.257448292,1.33
134,E07000008,Cambridge,4.265156903,2.254709108,3.219029188,1.34
135,S12000048,Perth and Kinross,4.244340568,2.254209415,3.198657672,1.35
136,E07000009,East Cambridgeshire,4.238367439,2.261971056,3.227668858,1.36
137,S12000049,Glasgow City,4.315145877,2.280307885,3.260262456,1.37
138,E07000010,Fenland,4.239805339,2.283707745,3.22201602,1.38
139,S12000050,North Lanarkshire,4.302119601,2.284735616,3.294119539,1.39
