Date,original,alpha,delta,omicron,sum,pororig,poralp,pordlt,poromi
07/04/2020,5477,0,0,0,5477,1,0,0,0
08/04/2020,5146,0,0,0,5146,1,0,0,0
09/04/2020,4875,0,0,0,4875,1,0,0,0
10/04/2020,4327,0,0,0,4327,1,0,0,0
11/04/2020,3585,0,0,0,3585,1,0,0,0
12/04/2020,3507,0,0,0,3507,1,0,0,0
13/04/2020,4203,0,0,0,4203,1,0,0,0
14/04/2020,4335,0,0,0,4335,1,0,0,0
15/04/2020,5070,0,0,0,5070,1,0,0,0
16/04/2020,5292,0,0,0,5292,1,0,0,0
17/04/2020,4977,0,0,0,4977,1,0,0,0
18/04/2020,4743,0,0,0,4743,1,0,0,0
19/04/2020,3881,0,0,0,3881,1,0,0,0
20/04/2020,4441,0,0,0,4441,1,0,0,0
21/04/2020,4795,0,0,0,4795,1,0,0,0
22/04/2020,5517,0,0,0,5517,1,0,0,0
23/04/2020,5167,0,0,0,5167,1,0,0,0
24/04/2020,4961,0,0,0,4961,1,0,0,0
25/04/2020,3757,0,0,0,3757,1,0,0,0
26/04/2020,3476,0,0,0,3476,1,0,0,0
27/04/2020,4739,0,0,0,4739,1,0,0,0
28/04/2020,4720,0,0,0,4720,1,0,0,0
29/04/2020,5433,0,0,0,5433,1,0,0,0
30/04/2020,4961,0,0,0,4961,1,0,0,0
01/05/2020,4766,0,0,0,4766,1,0,0,0
02/05/2020,3258,0,0,0,3258,1,0,0,0
03/05/2020,3002,0,0,0,3002,1,0,0,0
04/05/2020,3398,0,0,0,3398,1,0,0,0
05/05/2020,3686,0,0,0,3686,1,0,0,0
06/05/2020,3832,0,0,0,3832,1,0,0,0
07/05/2020,3787,0,0,0,3787,1,0,0,0
08/05/2020,3064,0,0,0,3064,1,0,0,0
09/05/2020,2170,0,0,0,2170,1,0,0,0
10/05/2020,2337,0,0,0,2337,1,0,0,0
11/05/2020,3612,0,0,0,3612,1,0,0,0
12/05/2020,3410,0,0,0,3410,1,0,0,0
13/05/2020,3330,0,0,0,3330,1,0,0,0
14/05/2020,2630,0,0,0,2630,1,0,0,0
15/05/2020,2530,0,0,0,2530,1,0,0,0
16/05/2020,2082,0,0,0,2082,1,0,0,0
17/05/2020,1837,0,0,0,1837,1,0,0,0
18/05/2020,2581,0,0,0,2581,1,0,0,0
19/05/2020,3063,0,0,0,3063,1,0,0,0
20/05/2020,2719,0,0,0,2719,1,0,0,0
21/05/2020,2567,0,0,0,2567,1,0,0,0
22/05/2020,2057,0,0,0,2057,1,0,0,0
23/05/2020,1531,0,0,0,1531,1,0,0,0
24/05/2020,1373,0,0,0,1373,1,0,0,0
25/05/2020,1625,0,0,0,1625,1,0,0,0
26/05/2020,2070,0,0,0,2070,1,0,0,0
27/05/2020,1825,0,0,0,1825,1,0,0,0
28/05/2020,1757,0,0,0,1757,1,0,0,0
29/05/2020,1531,0,0,0,1531,1,0,0,0
30/05/2020,1132,0,0,0,1132,1,0,0,0
31/05/2020,1080,0,0,0,1080,1,0,0,0
01/06/2020,1438,0,0,0,1438,1,0,0,0
02/06/2020,1492,0,0,0,1492,1,0,0,0
03/06/2020,1369,0,0,0,1369,1,0,0,0
04/06/2020,1249,0,0,0,1249,1,0,0,0
05/06/2020,1123,0,0,0,1123,1,0,0,0
06/06/2020,804,0,0,0,804,1,0,0,0
07/06/2020,722,0,0,0,722,1,0,0,0
08/06/2020,1099,0,0,0,1099,1,0,0,0
09/06/2020,1165,0,0,0,1165,1,0,0,0
10/06/2020,1196,0,0,0,1196,1,0,0,0
11/06/2020,1013,0,0,0,1013,1,0,0,0
12/06/2020,1053,0,0,0,1053,1,0,0,0
13/06/2020,886,0,0,0,886,1,0,0,0
14/06/2020,826,0,0,0,826,1,0,0,0
15/06/2020,1045,0,0,0,1045,1,0,0,0
16/06/2020,1103,0,0,0,1103,1,0,0,0
17/06/2020,1017,0,0,0,1017,1,0,0,0
18/06/2020,1022,0,0,0,1022,1,0,0,0
19/06/2020,993,0,0,0,993,1,0,0,0
20/06/2020,683,0,0,0,683,1,0,0,0
21/06/2020,636,0,0,0,636,1,0,0,0
22/06/2020,899,0,0,0,899,1,0,0,0
23/06/2020,883,0,0,0,883,1,0,0,0
24/06/2020,777,0,0,0,777,1,0,0,0
25/06/2020,726,0,0,0,726,1,0,0,0
26/06/2020,666,0,0,0,666,1,0,0,0
27/06/2020,653,0,0,0,653,1,0,0,0
28/06/2020,449,0,0,0,449,1,0,0,0
29/06/2020,724,0,0,0,724,1,0,0,0
30/06/2020,623,0,0,0,623,1,0,0,0
01/07/2020,652,0,0,0,652,1,0,0,0
02/07/2020,606,0,0,0,606,1,0,0,0
03/07/2020,568,0,0,0,568,1,0,0,0
04/07/2020,399,0,0,0,399,1,0,0,0
05/07/2020,558,0,0,0,558,1,0,0,0
06/07/2020,714,0,0,0,714,1,0,0,0
07/07/2020,608,0,0,0,608,1,0,0,0
08/07/2020,713,0,0,0,713,1,0,0,0
09/07/2020,722,0,0,0,722,1,0,0,0
10/07/2020,568,0,0,0,568,1,0,0,0
11/07/2020,459,0,0,0,459,1,0,0,0
12/07/2020,366,0,0,0,366,1,0,0,0
13/07/2020,740,0,0,0,740,1,0,0,0
14/07/2020,705,0,0,0,705,1,0,0,0
15/07/2020,777,0,0,0,777,1,0,0,0
16/07/2020,712,0,0,0,712,1,0,0,0
17/07/2020,582,0,0,0,582,1,0,0,0
18/07/2020,505,0,0,0,505,1,0,0,0
19/07/2020,448,0,0,0,448,1,0,0,0
20/07/2020,830,0,0,0,830,1,0,0,0
21/07/2020,788,0,0,0,788,1,0,0,0
22/07/2020,816,0,0,0,816,1,0,0,0
23/07/2020,808,0,0,0,808,1,0,0,0
24/07/2020,774,0,0,0,774,1,0,0,0
25/07/2020,530,0,0,0,530,1,0,0,0
26/07/2020,563,0,0,0,563,1,0,0,0
27/07/2020,869,0,0,0,869,1,0,0,0
28/07/2020,856,0,0,0,856,1,0,0,0
29/07/2020,1062,0,0,0,1062,1,0,0,0
30/07/2020,946,0,0,0,946,1,0,0,0
31/07/2020,697,0,0,0,697,1,0,0,0
01/08/2020,559,0,0,0,559,1,0,0,0
02/08/2020,564,0,0,0,564,1,0,0,0
03/08/2020,1060,0,0,0,1060,1,0,0,0
04/08/2020,1065,0,0,0,1065,1,0,0,0
05/08/2020,1092,0,0,0,1092,1,0,0,0
06/08/2020,1105,0,0,0,1105,1,0,0,0
07/08/2020,973,0,0,0,973,1,0,0,0
08/08/2020,710,0,0,0,710,1,0,0,0
09/08/2020,627,0,0,0,627,1,0,0,0
10/08/2020,1499,0,0,0,1499,1,0,0,0
11/08/2020,1378,0,0,0,1378,1,0,0,0
12/08/2020,1242,0,0,0,1242,1,0,0,0
13/08/2020,1156,0,0,0,1156,1,0,0,0
14/08/2020,1185,0,0,0,1185,1,0,0,0
15/08/2020,714,0,0,0,714,1,0,0,0
16/08/2020,602,0,0,0,602,1,0,0,0
17/08/2020,1298,0,0,0,1298,1,0,0,0
18/08/2020,1116,0,0,0,1116,1,0,0,0
19/08/2020,1282,0,0,0,1282,1,0,0,0
20/08/2020,1498,0,0,0,1498,1,0,0,0
21/08/2020,1218,0,0,0,1218,1,0,0,0
22/08/2020,842,0,0,0,842,1,0,0,0
23/08/2020,831,0,0,0,831,1,0,0,0
24/08/2020,1301,0,0,0,1301,1,0,0,0
25/08/2020,1270,0,0,0,1270,1,0,0,0
26/08/2020,1388,0,0,0,1388,1,0,0,0
27/08/2020,1591,0,0,0,1591,1,0,0,0
28/08/2020,1632,0,0,0,1632,1,0,0,0
29/08/2020,1230,0,0,0,1230,1,0,0,0
30/08/2020,1171,0,0,0,1171,1,0,0,0
31/08/2020,1513,0,0,0,1513,1,0,0,0
01/09/2020,2288,0,0,0,2288,1,0,0,0
02/09/2020,3077,0,0,0,3077,1,0,0,0
03/09/2020,3152,0,0,0,3152,1,0,0,0
04/09/2020,3092,0,0,0,3092,1,0,0,0
05/09/2020,2551,0,0,0,2551,1,0,0,0
06/09/2020,2465,0,0,0,2465,1,0,0,0
07/09/2020,3931,0,0,0,3931,1,0,0,0
08/09/2020,3370,0,0,0,3370,1,0,0,0
09/09/2020,3365,0,0,0,3365,1,0,0,0
10/09/2020,3628,0,0,0,3628,1,0,0,0
11/09/2020,3324,0,0,0,3324,1,0,0,0
12/09/2020,2670,0,0,0,2670,1,0,0,0
13/09/2020,2154,0,0,0,2154,1,0,0,0
14/09/2020,3428,0,0,0,3428,1,0,0,0
15/09/2020,3551,0,0,0,3551,1,0,0,0
16/09/2020,4399,0,0,0,4399,1,0,0,0
17/09/2020,4676,0,0,0,4676,1,0,0,0
18/09/2020,4973,0,0,0,4973,1,0,0,0
19/09/2020,4889,0,0,0,4889,1,0,0,0
20/09/2020,5340,0,0,0,5340,1,0,0,0
21/09/2020,5627,0,0,0,5627,1,0,0,0
22/09/2020,6441,0,0,0,6441,1,0,0,0
23/09/2020,7096,0,0,0,7096,1,0,0,0
24/09/2020,7682,0,0,0,7682,1,0,0,0
25/09/2020,7318,0,0,0,7318,1,0,0,0
26/09/2020,6809,0,0,0,6809,1,0,0,0
27/09/2020,7023,0,0,0,7023,1,0,0,0
28/09/2020,9983,0,0,0,9983,1,0,0,0
29/09/2020,10368,0,0,0,10368,1,0,0,0
30/09/2020,12717,0,0,0,12717,1,0,0,0
01/10/2020,13358,15,0,0,13373,0.998878337,0.001121663,0,0
02/10/2020,13854,0,0,0,13854,1,0,0,0
03/10/2020,11667,0,0,0,11667,1,0,0,0
04/10/2020,11954,0,0,0,11954,1,0,0,0
05/10/2020,16755,0,0,0,16755,1,0,0,0
06/10/2020,17250,0,0,0,17250,1,0,0,0
07/10/2020,18576,0,0,0,18576,1,0,0,0
08/10/2020,18427,15,0,0,18442,0.999186639,0.000813361,0,0
09/10/2020,15903,16,0,0,15919,0.998994912,0.001005088,0,0
10/10/2020,12652,0,0,0,12652,1,0,0,0
11/10/2020,12213,61,0,0,12274,0.995030145,0.004969855,0,0
12/10/2020,19710,16,0,0,19726,0.999188888,0.000811112,0,0
13/10/2020,19135,0,0,0,19135,1,0,0,0
14/10/2020,19934,0,0,0,19934,1,0,0,0
15/10/2020,18639,61,0,0,18700,0.996737968,0.003262032,0,0
16/10/2020,17938,0,0,0,17938,1,0,0,0
17/10/2020,14888,16,0,0,14904,0.998926463,0.001073537,0,0
18/10/2020,14330,0,0,0,14330,1,0,0,0
19/10/2020,25926,0,0,0,25926,1,0,0,0
20/10/2020,25680,31,0,0,25711,0.99879429,0.00120571,0,0
21/10/2020,25188,261,0,0,25449,0.989744194,0.010255806,0,0
22/10/2020,23236,216,0,0,23452,0.990789698,0.009210302,0,0
23/10/2020,21602,92,0,0,21694,0.995759196,0.004240804,0,0
24/10/2020,16352,93,0,0,16445,0.994344786,0.005655214,0,0
25/10/2020,15867,31,0,0,15898,0.998050069,0.001949931,0,0
26/10/2020,26770,30,0,0,26800,0.998880597,0.001119403,0,0
27/10/2020,24304,47,0,0,24351,0.998069894,0.001930106,0,0
28/10/2020,23907,0,0,0,23907,1,0,0,0
29/10/2020,23313,277,0,0,23590,0.988257736,0.011742264,0,0
30/10/2020,22691,169,0,0,22860,0.992607174,0.007392826,0,0
31/10/2020,16608,77,0,0,16685,0.995385076,0.004614924,0,0
01/11/2020,15198,662,0,0,15860,0.958259773,0.041740227,0,0
02/11/2020,30808,986,0,0,31794,0.968987859,0.031012141,0,0
03/11/2020,25859,108,0,0,25967,0.995840875,0.004159125,0,0
04/11/2020,23943,92,0,0,24035,0.996172249,0.003827751,0,0
05/11/2020,22179,1586,0,0,23765,0.933263202,0.066736798,0,0
06/11/2020,22986,601,0,0,23587,0.974519863,0.025480137,0,0
07/11/2020,18745,31,0,0,18776,0.998348956,0.001651044,0,0
08/11/2020,18348,1571,0,0,19919,0.921130579,0.078869421,0,0
09/11/2020,30774,646,0,0,31420,0.979439847,0.020560153,0,0
10/11/2020,27605,185,0,0,27790,0.993342929,0.006657071,0,0
11/11/2020,26970,678,0,0,27648,0.975477431,0.024522569,0,0
12/11/2020,22020,2356,0,0,24376,0.903347555,0.096652445,0,0
13/11/2020,20853,2957,0,0,23810,0.875808484,0.124191516,0,0
14/11/2020,15738,2079,0,0,17817,0.883313689,0.116686311,0,0
15/11/2020,14447,1494,0,0,15941,0.906279405,0.093720595,0,0
16/11/2020,26764,200,0,0,26964,0.992582703,0.007417297,0,0
17/11/2020,21459,1709,0,0,23168,0.926234461,0.073765539,0,0
18/11/2020,19083,1679,0,0,20762,0.919131105,0.080868895,0,0
19/11/2020,16375,1401,0,0,17776,0.921185869,0.078814131,0,0
20/11/2020,16331,662,0,0,16993,0.961042782,0.038957218,0,0
21/11/2020,9139,2819,0,0,11958,0.764258237,0.235741763,0,0
22/11/2020,6182,4727,0,0,10909,0.566688056,0.433311944,0,0
23/11/2020,18093,817,0,0,18910,0.956795346,0.043204654,0,0
24/11/2020,16219,400,0,0,16619,0.975931163,0.024068837,0,0
25/11/2020,16241,508,0,0,16749,0.969669831,0.030330169,0,0
26/11/2020,12185,2172,0,0,14357,0.848714913,0.151285087,0,0
27/11/2020,12394,1817,0,0,14211,0.872141299,0.127858701,0,0
28/11/2020,9518,1309,0,0,10827,0.87909855,0.12090145,0,0
29/11/2020,9735,939,0,0,10674,0.91202923,0.08797077,0,0
30/11/2020,17126,940,0,0,18066,0.94796856,0.05203144,0,0
01/12/2020,15737,831,0,0,16568,0.949843071,0.050156929,0,0
02/12/2020,15273,1217,0,0,16490,0.926197696,0.073802304,0,0
03/12/2020,14657,1047,0,0,15704,0.933329088,0.066670912,0,0
04/12/2020,12113,3095,0,0,15208,0.79648869,0.20351131,0,0
05/12/2020,9239,3034,0,0,12273,0.752790679,0.247209321,0,0
06/12/2020,11263,2064,0,0,13327,0.845126435,0.154873565,0,0
07/12/2020,15072,5421,0,0,20493,0.735470649,0.264529351,0,0
08/12/2020,16448,3834,0,0,20282,0.810965388,0.189034612,0,0
09/12/2020,18147,3126,0,0,21273,0.853053166,0.146946834,0,0
10/12/2020,3380,16124,0,0,19504,0.173297785,0.826702215,0,0
11/12/2020,16472,6561,0,0,23033,0.715147831,0.284852169,0,0
12/12/2020,14159,4481,0,0,18640,0.759603004,0.240396996,0,0
13/12/2020,11338,9024,0,0,20362,0.55682153,0.44317847,0,0
14/12/2020,22301,10657,0,0,32958,0.676649069,0.323350931,0,0
15/12/2020,18788,12890,0,0,31678,0.593092998,0.406907002,0,0
16/12/2020,18933,13614,0,0,32547,0.5817126,0.4182874,0,0
17/12/2020,15378,15723,0,0,31101,0.494453555,0.505546445,0,0
18/12/2020,15638,17140,0,0,32778,0.477088291,0.522911709,0,0
19/12/2020,15676,8178,0,0,23854,0.657164417,0.342835583,0,0
20/12/2020,23579,7823,0,0,31402,0.75087574,0.24912426,0,0
21/12/2020,34918,10949,0,0,45867,0.761288072,0.238711928,0,0
22/12/2020,37626,7300,0,0,44926,0.837510573,0.162489427,0,0
23/12/2020,34460,6991,0,0,41451,0.831343032,0.168656968,0,0
24/12/2020,24849,6222,0,0,31071,0.799748962,0.200251038,0,0
25/12/2020,8463,4913,0,0,13376,0.632700359,0.367299641,0,0
26/12/2020,24063,14060,0,0,38123,0.631193768,0.368806232,0,0
27/12/2020,36160,10195,0,0,46355,0.780066875,0.219933125,0,0
28/12/2020,35149,9286,0,0,44435,0.791020592,0.208979408,0,0
29/12/2020,54858,23285,0,0,78143,0.702020654,0.297979346,0,0
30/12/2020,55788,13505,0,0,69293,0.805102969,0.194897031,0,0
31/12/2020,36040,14769,0,0,50809,0.709323151,0.290676849,0,0
01/01/2021,21952,8686,0,0,30638,0.716495855,0.283504145,0,0
02/01/2021,27991,27766,0,0,55757,0.502017684,0.497982316,0,0
03/01/2021,30718,21129,0,0,51847,0.59247401,0.40752599,0,0
04/01/2021,49424,23546,0,0,72970,0.677319446,0.322680554,0,0
05/01/2021,40460,21591,0,0,62051,0.652044286,0.347955714,0,0
06/01/2021,38640,16617,0,0,55257,0.69927792,0.30072208,0,0
07/01/2021,29382,19635,0,0,49017,0.599424689,0.400575311,0,0
08/01/2021,18810,24162,0,0,42972,0.437726892,0.562273108,0,0
09/01/2021,5645,28367,0,0,34012,0.165970834,0.834029166,0,0
10/01/2021,11895,20852,0,0,32747,0.363239381,0.636760619,0,0
11/01/2021,21456,30630,0,0,52086,0.411934109,0.588065891,0,0
12/01/2021,7109,35913,0,0,43022,0.165241039,0.834758961,0,0
13/01/2021,18015,23500,0,0,41515,0.43393954,0.56606046,0,0
14/01/2021,8448,28891,0,0,37339,0.226251373,0.773748627,0,0
15/01/2021,3177,31570,0,0,34747,0.091432354,0.908567646,0,0
16/01/2021,2420,23777,0,0,26197,0.09237699,0.90762301,0,0
17/01/2021,280,24178,0,0,24458,0.011448197,0.988551803,0,0
18/01/2021,120,30600,0,0,30720,0.00390625,0.99609375,0,0
19/01/2021,30,26873,0,0,26903,0.001115117,0.998884883,0,0
20/01/2021,0,25934,0,0,25934,0,1,0,0
21/01/2021,0,24640,0,0,24640,0,1,0,0
22/01/2021,0,32586,0,0,32586,0,1,0,0
23/01/2021,0,23670,0,0,23670,0,1,0,0
24/01/2021,0,20205,0,0,20205,0,1,0,0
25/01/2021,0,48433,0,0,48433,0,1,0,0
26/01/2021,0,40302,0,0,40302,0,1,0,0
27/01/2021,0,40671,0,0,40671,0,1,0,0
28/01/2021,0,35990,0,0,35990,0,1,0,0
29/01/2021,0,45707,0,0,45707,0,1,0,0
30/01/2021,0,37068,0,0,37068,0,1,0,0
31/01/2021,0,23007,0,0,23007,0,1,0,0
01/02/2021,0,27412,0,0,27412,0,1,0,0
02/02/2021,0,20991,0,0,20991,0,1,0,0
03/02/2021,0,21775,0,0,21775,0,1,0,0
04/02/2021,0,26119,0,0,26119,0,1,0,0
05/02/2021,0,22699,0,0,22699,0,1,0,0
06/02/2021,0,21237,0,0,21237,0,1,0,0
07/02/2021,0,22130,0,0,22130,0,1,0,0
08/02/2021,0,31970,0,0,31970,0,1,0,0
09/02/2021,0,27628,0,0,27628,0,1,0,0
10/02/2021,0,30769,0,0,30769,0,1,0,0
11/02/2021,0,30168,0,0,30168,0,1,0,0
12/02/2021,0,30308,0,0,30308,0,1,0,0
13/02/2021,0,23900,0,0,23900,0,1,0,0
14/02/2021,0,29137,0,0,29137,0,1,0,0
15/02/2021,0,42874,0,0,42874,0,1,0,0
16/02/2021,0,33972,0,0,33972,0,1,0,0
17/02/2021,0,25056,0,0,25056,0,1,0,0
18/02/2021,0,24871,0,0,24871,0,1,0,0
19/02/2021,0,27674,0,0,27674,0,1,0,0
20/02/2021,0,26688,0,0,26688,0,1,0,0
21/02/2021,0,36113,0,0,36113,0,1,0,0
22/02/2021,0,36560,0,0,36560,0,1,0,0
23/02/2021,0,27504,0,0,27504,0,1,0,0
24/02/2021,0,25703,0,0,25703,0,1,0,0
25/02/2021,0,39347,0,0,39347,0,1,0,0
26/02/2021,0,26041,0,0,26041,0,1,0,0
27/02/2021,0,19265,0,0,19265,0,1,0,0
28/02/2021,0,21068,0,0,21068,0,1,0,0
01/03/2021,0,32879,0,0,32879,0,1,0,0
02/03/2021,0,29537,0,0,29537,0,1,0,0
03/03/2021,0,29183,0,0,29183,0,1,0,0
04/03/2021,0,21745,0,0,21745,0,1,0,0
05/03/2021,0,26210,0,0,26210,0,1,0,0
06/03/2021,0,17680,0,0,17680,0,1,0,0
07/03/2021,0,12689,0,0,12689,0,1,0,0
08/03/2021,0,25764,0,0,25764,0,1,0,0
09/03/2021,0,27289,0,0,27289,0,1,0,0
10/03/2021,0,38300,0,0,38300,0,1,0,0
11/03/2021,0,36991,0,0,36991,0,1,0,0
12/03/2021,0,29660,0,0,29660,0,1,0,0
13/03/2021,0,26211,0,0,26211,0,1,0,0
14/03/2021,0,25133,0,0,25133,0,1,0,0
15/03/2021,0,44136,0,0,44136,0,1,0,0
16/03/2021,0,38254,0,0,38254,0,1,0,0
17/03/2021,0,27443,0,0,27443,0,1,0,0
18/03/2021,0,24917,0,0,24917,0,1,0,0
19/03/2021,0,20913,0,0,20913,0,1,0,0
20/03/2021,0,29183,0,0,29183,0,1,0,0
21/03/2021,0,31354,0,0,31354,0,1,0,0
22/03/2021,0,44999,0,0,44999,0,1,0,0
23/03/2021,0,34050,0,0,34050,0,1,0,0
24/03/2021,0,29675,0,0,29675,0,1,0,0
25/03/2021,0,32494,0,0,32494,0,1,0,0
26/03/2021,0,26858,0,0,26858,0,1,0,0
27/03/2021,0,24101,0,0,24101,0,1,0,0
28/03/2021,0,22453,0,0,22453,0,1,0,0
29/03/2021,0,32232,0,0,32232,0,1,0,0
30/03/2021,0,24332,0,0,24332,0,1,0,0
31/03/2021,0,22946,0,0,22946,0,1,0,0
01/04/2021,0,22038,10,0,22048,0,0.999546444,0.000453556,0
02/04/2021,0,18418,16,0,18434,0,0.999132039,0.000867961,0
03/04/2021,0,18342,37,0,18379,0,0.997986833,0.002013167,0
04/04/2021,0,17448,21,0,17469,0,0.998797871,0.001202129,0
05/04/2021,0,18526,22,0,18548,0,0.998813888,0.001186112,0
06/04/2021,0,19204,79,0,19283,0,0.995903127,0.004096873,0
07/04/2021,0,16724,64,0,16788,0,0.996187753,0.003812247,0
08/04/2021,0,15508,42,0,15550,0,0.997299035,0.002700965,0
09/04/2021,0,14769,37,0,14806,0,0.997501013,0.002498987,0
10/04/2021,0,10533,27,0,10560,0,0.997443182,0.002556818,0
11/04/2021,0,12428,63,0,12491,0,0.994956369,0.005043631,0
12/04/2021,0,17618,64,0,17682,0,0.9963805,0.0036195,0
13/04/2021,0,15400,53,0,15453,0,0.996570245,0.003429755,0
14/04/2021,0,14753,122,0,14875,0,0.991798319,0.008201681,0
15/04/2021,0,14229,143,0,14372,0,0.990050097,0.009949903,0
16/04/2021,0,12906,191,0,13097,0,0.985416508,0.014583492,0
17/04/2021,0,10687,196,0,10883,0,0.98199026,0.01800974,0
18/04/2021,0,9795,106,0,9901,0,0.989294011,0.010705989,0
19/04/2021,0,15815,365,0,16180,0,0.977441286,0.022558714,0
20/04/2021,0,13398,250,0,13648,0,0.981682298,0.018317702,0
21/04/2021,0,16463,296,0,16759,0,0.982337848,0.017662152,0
22/04/2021,0,14615,308,0,14923,0,0.979360718,0.020639282,0
23/04/2021,0,11765,297,0,12062,0,0.975377218,0.024622782,0
24/04/2021,0,8486,302,0,8788,0,0.965634957,0.034365043,0
25/04/2021,0,8993,328,0,9321,0,0.964810643,0.035189357,0
26/04/2021,0,16278,509,0,16787,0,0.969678918,0.030321082,0
27/04/2021,0,12736,477,0,13213,0,0.96389919,0.03610081,0
28/04/2021,0,11873,541,0,12414,0,0.956420171,0.043579829,0
29/04/2021,0,13213,466,0,13679,0,0.965933182,0.034066818,0
30/04/2021,0,10549,710,0,11259,0,0.936939337,0.063060663,0
01/05/2021,0,7038,642,0,7680,0,0.91640625,0.08359375,0
02/05/2021,0,5144,630,0,5774,0,0.890890197,0.109109803,0
03/05/2021,0,9332,748,0,10080,0,0.925793651,0.074206349,0
04/05/2021,0,14338,1012,0,15350,0,0.934071661,0.065928339,0
05/05/2021,0,11765,1420,0,13185,0,0.892301858,0.107698142,0
06/05/2021,0,12597,1357,0,13954,0,0.902751899,0.097248101,0
07/05/2021,0,10626,1436,0,12062,0,0.880948433,0.119051567,0
08/05/2021,0,6237,1177,0,7414,0,0.841246291,0.158753709,0
09/05/2021,0,6376,1325,0,7701,0,0.827944423,0.172055577,0
10/05/2021,0,10256,2507,0,12763,0,0.803572828,0.196427172,0
11/05/2021,0,8840,2077,0,10917,0,0.809746267,0.190253733,0
12/05/2021,0,8439,2211,0,10650,0,0.792394366,0.207605634,0
13/05/2021,0,8285,1362,0,9647,0,0.858816212,0.141183788,0
14/05/2021,0,7208,1696,0,8904,0,0.80952381,0.19047619,0
15/05/2021,0,4650,1701,0,6351,0,0.732168162,0.267831838,0
16/05/2021,0,5005,1765,0,6770,0,0.73929099,0.26070901,0
17/05/2021,0,8717,4298,0,13015,0,0.669765655,0.330234345,0
18/05/2021,0,7792,4495,0,12287,0,0.634166192,0.365833808,0
19/05/2021,0,8131,4393,0,12524,0,0.649233472,0.350766528,0
