Date,Region,Number of Delta cases
23/07/2021,Yorkshire and Humber,1149
23/07/2021,West Midlands,460
23/07/2021,East Midlands,265
23/07/2021,East of England,685
23/07/2021,London,978
23/07/2021,South West,717
23/07/2021,South East,884
23/07/2021,Unknown,44
24/07/2021,North West,1404
24/07/2021,North East,188
24/07/2021,Yorkshire and Humber,777
24/07/2021,West Midlands,810
24/07/2021,East Midlands,420
24/07/2021,East of England,614
24/07/2021,London,847
24/07/2021,South West,665
24/07/2021,South East,718
24/07/2021,Unknown,28
25/07/2021,North West,1771
25/07/2021,North East,345
25/07/2021,Yorkshire and Humber,824
25/07/2021,West Midlands,1116
25/07/2021,East Midlands,584
25/07/2021,East of England,547
25/07/2021,London,1087
25/07/2021,South West,849
25/07/2021,South East,554
25/07/2021,Unknown,37
26/07/2021,North West,2000
26/07/2021,North East,259
26/07/2021,Yorkshire and Humber,676
26/07/2021,West Midlands,1056
26/07/2021,East Midlands,479
26/07/2021,East of England,679
26/07/2021,London,1026
26/07/2021,South West,670
26/07/2021,South East,419
26/07/2021,Unknown,59
27/07/2021,North West,2060
27/07/2021,North East,241
27/07/2021,Yorkshire and Humber,502
27/07/2021,West Midlands,808
27/07/2021,East Midlands,312
27/07/2021,East of England,716
27/07/2021,London,792
27/07/2021,South West,973
27/07/2021,South East,452
27/07/2021,Unknown,60
28/07/2021,North West,1635
28/07/2021,North East,88
28/07/2021,Yorkshire and Humber,660
28/07/2021,West Midlands,748
28/07/2021,East Midlands,262
28/07/2021,East of England,709
28/07/2021,London,1257
28/07/2021,South West,1120
28/07/2021,South East,737
28/07/2021,Unknown,61
29/07/2021,North West,1509
29/07/2021,North East,76
29/07/2021,Yorkshire and Humber,418
29/07/2021,West Midlands,559
29/07/2021,East Midlands,284
29/07/2021,East of England,747
29/07/2021,London,1184
29/07/2021,South West,750
29/07/2021,South East,1107
29/07/2021,Unknown,44
30/07/2021,North West,1394
30/07/2021,North East,80
30/07/2021,Yorkshire and Humber,668
30/07/2021,West Midlands,765
30/07/2021,East Midlands,315
30/07/2021,East of England,823
30/07/2021,London,1016
30/07/2021,South West,840
30/07/2021,South East,810
30/07/2021,Unknown,52
31/07/2021,North West,1502
31/07/2021,North East,91
31/07/2021,Yorkshire and Humber,898
31/07/2021,West Midlands,567
31/07/2021,East Midlands,374
31/07/2021,East of England,745
31/07/2021,London,921
31/07/2021,South West,551
31/07/2021,South East,512
31/07/2021,Unknown,38
01/08/2021,North West,1417
01/08/2021,North East,127
01/08/2021,Yorkshire and Humber,652
01/08/2021,West Midlands,689
01/08/2021,East Midlands,313
01/08/2021,East of England,790
01/08/2021,London,828
01/08/2021,South West,578
01/08/2021,South East,670
01/08/2021,Unknown,57
02/08/2021,North West,1634
02/08/2021,North East,99
02/08/2021,Yorkshire and Humber,836
02/08/2021,West Midlands,819
02/08/2021,East Midlands,478
02/08/2021,East of England,856
02/08/2021,London,1044
02/08/2021,South West,728
02/08/2021,South East,596
02/08/2021,Unknown,34
03/08/2021,North West,1373
03/08/2021,North East,196
03/08/2021,Yorkshire and Humber,723
03/08/2021,West Midlands,798
03/08/2021,East Midlands,683
03/08/2021,East of England,789
03/08/2021,London,1269
03/08/2021,South West,694
03/08/2021,South East,732
03/08/2021,Unknown,64
04/08/2021,North West,1187
04/08/2021,North East,186
04/08/2021,Yorkshire and Humber,883
04/08/2021,West Midlands,743
04/08/2021,East Midlands,514
04/08/2021,East of England,744
04/08/2021,London,747
04/08/2021,South West,819
04/08/2021,South East,830
04/08/2021,Unknown,53
05/08/2021,North West,1621
05/08/2021,North East,120
05/08/2021,Yorkshire and Humber,436
05/08/2021,West Midlands,758
05/08/2021,East Midlands,375
05/08/2021,East of England,848
05/08/2021,London,925
05/08/2021,South West,634
05/08/2021,South East,857
05/08/2021,Unknown,43
06/08/2021,North West,1541
06/08/2021,North East,194
06/08/2021,Yorkshire and Humber,686
06/08/2021,West Midlands,1015
06/08/2021,East Midlands,592
06/08/2021,East of England,756
06/08/2021,London,1028
06/08/2021,South West,528
06/08/2021,South East,638
06/08/2021,Unknown,67
07/08/2021,North West,898
07/08/2021,North East,396
07/08/2021,Yorkshire and Humber,960
07/08/2021,West Midlands,588
07/08/2021,East Midlands,671
07/08/2021,East of England,588
07/08/2021,London,751
07/08/2021,South West,202
07/08/2021,South East,772
07/08/2021,Unknown,30
08/08/2021,North West,723
08/08/2021,North East,352
08/08/2021,Yorkshire and Humber,703
08/08/2021,West Midlands,717
08/08/2021,East Midlands,553
08/08/2021,East of England,516
08/08/2021,London,864
08/08/2021,South West,512
08/08/2021,South East,774
08/08/2021,Unknown,36
09/08/2021,North West,820
09/08/2021,North East,200
09/08/2021,Yorkshire and Humber,725
09/08/2021,West Midlands,447
09/08/2021,East Midlands,420
09/08/2021,East of England,725
09/08/2021,London,785
09/08/2021,South West,728
09/08/2021,South East,627
09/08/2021,Unknown,65
10/08/2021,North West,1417
10/08/2021,North East,151
10/08/2021,Yorkshire and Humber,647
10/08/2021,West Midlands,908
10/08/2021,East Midlands,522
10/08/2021,East of England,1010
10/08/2021,London,1053
10/08/2021,South West,512
10/08/2021,South East,887
10/08/2021,Unknown,55
11/08/2021,North West,1486
11/08/2021,North East,71
11/08/2021,Yorkshire and Humber,381
11/08/2021,West Midlands,840
11/08/2021,East Midlands,438
11/08/2021,East of England,703
11/08/2021,London,1018
11/08/2021,South West,615
11/08/2021,South East,693
11/08/2021,Unknown,67
12/08/2021,North West,1655
12/08/2021,North East,95
12/08/2021,Yorkshire and Humber,862
12/08/2021,West Midlands,803
12/08/2021,East Midlands,446
12/08/2021,East of England,1086
12/08/2021,London,1065
12/08/2021,South West,478
12/08/2021,South East,992
12/08/2021,Unknown,97
13/08/2021,North West,1068
13/08/2021,North East,74
13/08/2021,Yorkshire and Humber,727
13/08/2021,West Midlands,556
13/08/2021,East Midlands,306
13/08/2021,East of England,547
13/08/2021,London,1035
13/08/2021,South West,196
13/08/2021,South East,567
13/08/2021,Unknown,83
14/08/2021,North West,729
14/08/2021,North East,152
14/08/2021,Yorkshire and Humber,482
14/08/2021,West Midlands,469
14/08/2021,East Midlands,522
14/08/2021,East of England,756
14/08/2021,London,788
14/08/2021,South West,560
14/08/2021,South East,724
14/08/2021,Unknown,56
15/08/2021,North West,1244
15/08/2021,North East,380
15/08/2021,Yorkshire and Humber,1157
15/08/2021,West Midlands,1209
15/08/2021,East Midlands,903
15/08/2021,East of England,606
15/08/2021,London,769
15/08/2021,South West,160
15/08/2021,South East,613
15/08/2021,Unknown,54
16/08/2021,North West,1421
16/08/2021,North East,343
16/08/2021,Yorkshire and Humber,848
16/08/2021,West Midlands,1148
16/08/2021,East Midlands,913
16/08/2021,East of England,538
16/08/2021,London,802
16/08/2021,South West,957
16/08/2021,South East,771
16/08/2021,Unknown,65
17/08/2021,North West,1216
17/08/2021,North East,387
17/08/2021,Yorkshire and Humber,560
17/08/2021,West Midlands,1069
17/08/2021,East Midlands,813
17/08/2021,East of England,1071
17/08/2021,London,1097
17/08/2021,South West,652
17/08/2021,South East,1259
17/08/2021,Unknown,60
18/08/2021,North West,1705
18/08/2021,North East,229
18/08/2021,Yorkshire and Humber,390
18/08/2021,West Midlands,1159
18/08/2021,East Midlands,747
18/08/2021,East of England,860
18/08/2021,London,991
18/08/2021,South West,1777
18/08/2021,South East,1537
18/08/2021,Unknown,68
19/08/2021,North West,1856
19/08/2021,North East,268
19/08/2021,Yorkshire and Humber,650
19/08/2021,West Midlands,1401
19/08/2021,East Midlands,702
19/08/2021,East of England,535
19/08/2021,London,1007
19/08/2021,South West,849
19/08/2021,South East,960
19/08/2021,Unknown,52
20/08/2021,North West,1212
20/08/2021,North East,187
20/08/2021,Yorkshire and Humber,638
20/08/2021,West Midlands,884
20/08/2021,East Midlands,495
20/08/2021,East of England,593
20/08/2021,London,749
20/08/2021,South West,463
20/08/2021,South East,729
20/08/2021,Unknown,43
21/08/2021,North West,587
21/08/2021,North East,258
21/08/2021,Yorkshire and Humber,692
21/08/2021,West Midlands,546
21/08/2021,East Midlands,482
21/08/2021,East of England,809
21/08/2021,London,967
21/08/2021,South West,832
21/08/2021,South East,917
21/08/2021,Unknown,35
22/08/2021,North West,1120
22/08/2021,North East,274
22/08/2021,Yorkshire and Humber,848
22/08/2021,West Midlands,890
22/08/2021,East Midlands,459
22/08/2021,East of England,808
22/08/2021,London,1132
22/08/2021,South West,416
22/08/2021,South East,1004
22/08/2021,Unknown,46
23/08/2021,North West,1775
23/08/2021,North East,342
23/08/2021,Yorkshire and Humber,547
23/08/2021,West Midlands,1286
23/08/2021,East Midlands,714
23/08/2021,East of England,646
23/08/2021,London,1144
23/08/2021,South West,652
23/08/2021,South East,1359
23/08/2021,Unknown,67
24/08/2021,North West,1455
24/08/2021,North East,414
24/08/2021,Yorkshire and Humber,466
24/08/2021,West Midlands,1238
24/08/2021,East Midlands,1044
24/08/2021,East of England,774
24/08/2021,London,1040
24/08/2021,South West,340
24/08/2021,South East,997
24/08/2021,Unknown,62
25/08/2021,North West,1148
25/08/2021,North East,331
25/08/2021,Yorkshire and Humber,348
25/08/2021,West Midlands,821
25/08/2021,East Midlands,584
25/08/2021,East of England,874
25/08/2021,London,1200
25/08/2021,South West,1511
25/08/2021,South East,1186
25/08/2021,Unknown,83
26/08/2021,North West,1198
26/08/2021,North East,302
26/08/2021,Yorkshire and Humber,610
26/08/2021,West Midlands,878
26/08/2021,East Midlands,602
26/08/2021,East of England,425
26/08/2021,London,852
26/08/2021,South West,446
26/08/2021,South East,812
26/08/2021,Unknown,64
27/08/2021,North West,765
27/08/2021,North East,336
27/08/2021,Yorkshire and Humber,736
27/08/2021,West Midlands,800
27/08/2021,East Midlands,764
27/08/2021,East of England,873
27/08/2021,London,1146
27/08/2021,South West,531
27/08/2021,South East,1382
27/08/2021,Unknown,46
28/08/2021,North West,1153
28/08/2021,North East,87
28/08/2021,Yorkshire and Humber,640
28/08/2021,West Midlands,799
28/08/2021,East Midlands,592
28/08/2021,East of England,872
28/08/2021,London,1323
28/08/2021,South West,824
28/08/2021,South East,1602
28/08/2021,Unknown,44
29/08/2021,North West,1199
29/08/2021,North East,278
29/08/2021,Yorkshire and Humber,728
29/08/2021,West Midlands,762
29/08/2021,East Midlands,688
29/08/2021,East of England,857
29/08/2021,London,1241
29/08/2021,South West,335
29/08/2021,South East,1396
29/08/2021,Unknown,40
30/08/2021,North West,894
30/08/2021,North East,524
30/08/2021,Yorkshire and Humber,693
30/08/2021,West Midlands,742
30/08/2021,East Midlands,763
30/08/2021,East of England,1202
30/08/2021,London,1482
30/08/2021,South West,672
30/08/2021,South East,1761
30/08/2021,Unknown,55
31/08/2021,North West,1880
31/08/2021,North East,522
31/08/2021,Yorkshire and Humber,736
31/08/2021,West Midlands,948
31/08/2021,East Midlands,849
31/08/2021,East of England,1341
31/08/2021,London,1553
31/08/2021,South West,1078
31/08/2021,South East,2044
31/08/2021,Unknown,44
01/09/2021,North West,1471
01/09/2021,North East,387
01/09/2021,Yorkshire and Humber,546
01/09/2021,West Midlands,672
01/09/2021,East Midlands,422
01/09/2021,East of England,937
01/09/2021,London,1280
01/09/2021,South West,661
01/09/2021,South East,1624
01/09/2021,Unknown,44
02/09/2021,North West,1402
02/09/2021,North East,87
02/09/2021,Yorkshire and Humber,523
02/09/2021,West Midlands,711
02/09/2021,East Midlands,329
02/09/2021,East of England,838
02/09/2021,London,851
02/09/2021,South West,643
02/09/2021,South East,1272
02/09/2021,Unknown,57
03/09/2021,North West,918
03/09/2021,North East,79
03/09/2021,Yorkshire and Humber,685
03/09/2021,West Midlands,558
03/09/2021,East Midlands,365
03/09/2021,East of England,769
03/09/2021,London,1255
03/09/2021,South West,741
03/09/2021,South East,1510
03/09/2021,Unknown,59
04/09/2021,North West,1042
04/09/2021,North East,177
04/09/2021,Yorkshire and Humber,613
04/09/2021,West Midlands,550
04/09/2021,East Midlands,422
04/09/2021,East of England,809
04/09/2021,London,856
04/09/2021,South West,510
04/09/2021,South East,912
04/09/2021,Unknown,32
05/09/2021,North West,1154
05/09/2021,North East,222
05/09/2021,Yorkshire and Humber,798
05/09/2021,West Midlands,649
05/09/2021,East Midlands,394
05/09/2021,East of England,673
05/09/2021,London,884
05/09/2021,South West,313
05/09/2021,South East,1160
05/09/2021,Unknown,25
06/09/2021,North West,2163
06/09/2021,North East,253
06/09/2021,Yorkshire and Humber,1242
06/09/2021,West Midlands,1208
06/09/2021,East Midlands,729
06/09/2021,East of England,946
06/09/2021,London,1009
06/09/2021,South West,629
06/09/2021,South East,845
06/09/2021,Unknown,49
07/09/2021,North West,1022
07/09/2021,North East,72
07/09/2021,Yorkshire and Humber,168
07/09/2021,West Midlands,976
07/09/2021,East Midlands,339
07/09/2021,East of England,1114
07/09/2021,London,677
07/09/2021,South West,238
07/09/2021,South East,750
07/09/2021,Unknown,30
08/09/2021,North West,508
08/09/2021,North East,71
08/09/2021,Yorkshire and Humber,415
08/09/2021,West Midlands,336
08/09/2021,East Midlands,364
08/09/2021,East of England,917
08/09/2021,London,1007
08/09/2021,South West,342
08/09/2021,South East,1214
08/09/2021,Unknown,40
09/09/2021,North West,864
09/09/2021,North East,111
09/09/2021,Yorkshire and Humber,522
09/09/2021,West Midlands,989
09/09/2021,East Midlands,461
09/09/2021,East of England,690
09/09/2021,London,626
09/09/2021,South West,467
09/09/2021,South East,655
09/09/2021,Unknown,32
10/09/2021,North West,1095
10/09/2021,North East,291
10/09/2021,Yorkshire and Humber,454
10/09/2021,West Midlands,971
10/09/2021,East Midlands,453
10/09/2021,East of England,921
10/09/2021,London,968
10/09/2021,South West,326
10/09/2021,South East,1233
10/09/2021,Unknown,41
11/09/2021,North West,1078
11/09/2021,North East,394
11/09/2021,Yorkshire and Humber,607
11/09/2021,West Midlands,1036
11/09/2021,East Midlands,337
11/09/2021,East of England,470
11/09/2021,London,966
11/09/2021,South West,360
11/09/2021,South East,1017
11/09/2021,Unknown,25
12/09/2021,North West,968
12/09/2021,North East,300
12/09/2021,Yorkshire and Humber,641
12/09/2021,West Midlands,733
12/09/2021,East Midlands,321
12/09/2021,East of England,733
12/09/2021,London,1059
12/09/2021,South West,361
12/09/2021,South East,1267
12/09/2021,Unknown,27
13/09/2021,North West,1071
13/09/2021,North East,354
13/09/2021,Yorkshire and Humber,842
13/09/2021,West Midlands,950
13/09/2021,East Midlands,522
13/09/2021,East of England,1045
13/09/2021,London,1452
13/09/2021,South West,314
13/09/2021,South East,1484
13/09/2021,Unknown,43
14/09/2021,North West,1031
14/09/2021,North East,257
14/09/2021,Yorkshire and Humber,612
14/09/2021,West Midlands,865
14/09/2021,East Midlands,488
14/09/2021,East of England,737
14/09/2021,London,945
14/09/2021,South West,601
14/09/2021,South East,934
14/09/2021,Unknown,23
15/09/2021,North West,943
15/09/2021,North East,99
15/09/2021,Yorkshire and Humber,433
15/09/2021,West Midlands,715
15/09/2021,East Midlands,542
15/09/2021,East of England,902
15/09/2021,London,980
15/09/2021,South West,415
15/09/2021,South East,1054
15/09/2021,Unknown,46
16/09/2021,North West,2002
16/09/2021,North East,111
16/09/2021,Yorkshire and Humber,478
16/09/2021,West Midlands,1329
16/09/2021,East Midlands,545
16/09/2021,East of England,1111
16/09/2021,London,1116
16/09/2021,South West,351
16/09/2021,South East,1405
16/09/2021,Unknown,31
17/09/2021,North West,649
17/09/2021,North East,81
17/09/2021,Yorkshire and Humber,242
17/09/2021,West Midlands,812
17/09/2021,East Midlands,470
17/09/2021,East of England,978
17/09/2021,London,1170
17/09/2021,South West,768
17/09/2021,South East,1574
17/09/2021,Unknown,40
18/09/2021,North West,1529
18/09/2021,North East,67
18/09/2021,Yorkshire and Humber,316
18/09/2021,West Midlands,1544
18/09/2021,East Midlands,517
18/09/2021,East of England,867
18/09/2021,London,857
18/09/2021,South West,868
18/09/2021,South East,1328
18/09/2021,Unknown,17
19/09/2021,North West,1278
19/09/2021,North East,338
19/09/2021,Yorkshire and Humber,1044
19/09/2021,West Midlands,1289
19/09/2021,East Midlands,314
19/09/2021,East of England,640
19/09/2021,London,870
19/09/2021,South West,572
19/09/2021,South East,889
19/09/2021,Unknown,21
20/09/2021,North West,1187
20/09/2021,North East,162
20/09/2021,Yorkshire and Humber,352
20/09/2021,West Midlands,781
20/09/2021,East Midlands,594
20/09/2021,East of England,1385
20/09/2021,London,1128
20/09/2021,South West,337
20/09/2021,South East,1553
20/09/2021,Unknown,32
21/09/2021,North West,1131
21/09/2021,North East,566
21/09/2021,Yorkshire and Humber,1105
21/09/2021,West Midlands,1020
21/09/2021,East Midlands,494
21/09/2021,East of England,820
21/09/2021,London,731
21/09/2021,South West,865
21/09/2021,South East,1277
21/09/2021,Unknown,32
22/09/2021,North West,1367
22/09/2021,North East,124
22/09/2021,Yorkshire and Humber,399
22/09/2021,West Midlands,1188
22/09/2021,East Midlands,481
22/09/2021,East of England,881
22/09/2021,London,993
22/09/2021,South West,580
22/09/2021,South East,1539
22/09/2021,Unknown,30
23/09/2021,North West,1405
23/09/2021,North East,195
23/09/2021,Yorkshire and Humber,562
23/09/2021,West Midlands,997
23/09/2021,East Midlands,541
23/09/2021,East of England,727
23/09/2021,London,833
23/09/2021,South West,491
23/09/2021,South East,1326
23/09/2021,Unknown,44
24/09/2021,North West,945
24/09/2021,North East,153
24/09/2021,Yorkshire and Humber,710
24/09/2021,West Midlands,1012
24/09/2021,East Midlands,514
24/09/2021,East of England,634
24/09/2021,London,1053
24/09/2021,South West,454
24/09/2021,South East,1316
24/09/2021,Unknown,29
25/09/2021,North West,431
25/09/2021,North East,96
25/09/2021,Yorkshire and Humber,481
25/09/2021,West Midlands,431
25/09/2021,East Midlands,284
25/09/2021,East of England,424
25/09/2021,London,441
25/09/2021,South West,186
25/09/2021,South East,590
25/09/2021,Unknown,16
26/09/2021,North West,1164
26/09/2021,North East,51
26/09/2021,Yorkshire and Humber,165
26/09/2021,West Midlands,1053
26/09/2021,East Midlands,343
26/09/2021,East of England,425
26/09/2021,London,685
26/09/2021,South West,321
26/09/2021,South East,1134
26/09/2021,Unknown,19
27/09/2021,North West,1084
27/09/2021,North East,45
27/09/2021,Yorkshire and Humber,359
27/09/2021,West Midlands,922
27/09/2021,East Midlands,638
27/09/2021,East of England,1282
27/09/2021,London,1510
27/09/2021,South West,296
27/09/2021,South East,2159
27/09/2021,Unknown,37
28/09/2021,North West,534
28/09/2021,North East,126
28/09/2021,Yorkshire and Humber,325
28/09/2021,West Midlands,573
28/09/2021,East Midlands,612
28/09/2021,East of England,890
28/09/2021,London,867
28/09/2021,South West,425
28/09/2021,South East,1074
28/09/2021,Unknown,28
29/09/2021,North West,1012
29/09/2021,North East,466
29/09/2021,Yorkshire and Humber,1539
29/09/2021,West Midlands,839
29/09/2021,East Midlands,484
29/09/2021,East of England,645
29/09/2021,London,723
29/09/2021,South West,563
29/09/2021,South East,961
29/09/2021,Unknown,37
30/09/2021,North West,1041
30/09/2021,North East,50
30/09/2021,Yorkshire and Humber,435
30/09/2021,West Midlands,1459
30/09/2021,East Midlands,553
30/09/2021,East of England,727
30/09/2021,London,697
30/09/2021,South West,634
30/09/2021,South East,1180
30/09/2021,Unknown,28
01/10/2021,North West,1328
01/10/2021,North East,32
01/10/2021,Yorkshire and Humber,430
01/10/2021,West Midlands,1204
01/10/2021,East Midlands,361
01/10/2021,East of England,477
01/10/2021,London,727
01/10/2021,South West,278
01/10/2021,South East,1181
01/10/2021,Unknown,43
02/10/2021,North West,657
02/10/2021,North East,53
02/10/2021,Yorkshire and Humber,410
02/10/2021,West Midlands,482
02/10/2021,East Midlands,254
02/10/2021,East of England,460
02/10/2021,London,621
02/10/2021,South West,219
02/10/2021,South East,1021
02/10/2021,Unknown,28
03/10/2021,North West,743
03/10/2021,North East,472
03/10/2021,Yorkshire and Humber,965
03/10/2021,West Midlands,531
03/10/2021,East Midlands,423
03/10/2021,East of England,469
03/10/2021,London,645
03/10/2021,South West,222
03/10/2021,South East,920
03/10/2021,Unknown,33
04/10/2021,North West,1616
04/10/2021,North East,191
04/10/2021,Yorkshire and Humber,523
04/10/2021,West Midlands,1107
04/10/2021,East Midlands,573
04/10/2021,East of England,1005
04/10/2021,London,905
04/10/2021,South West,894
04/10/2021,South East,1335
04/10/2021,Unknown,37
05/10/2021,North West,1232
05/10/2021,North East,59
05/10/2021,Yorkshire and Humber,423
05/10/2021,West Midlands,722
05/10/2021,East Midlands,424
05/10/2021,East of England,894
05/10/2021,London,939
05/10/2021,South West,479
05/10/2021,South East,1250
05/10/2021,Unknown,46
06/10/2021,North West,1264
06/10/2021,North East,47
06/10/2021,Yorkshire and Humber,450
06/10/2021,West Midlands,1173
06/10/2021,East Midlands,375
06/10/2021,East of England,647
06/10/2021,London,901
06/10/2021,South West,650
06/10/2021,South East,1239
06/10/2021,Unknown,32
07/10/2021,North West,975
07/10/2021,North East,35
07/10/2021,Yorkshire and Humber,409
07/10/2021,West Midlands,708
07/10/2021,East Midlands,374
07/10/2021,East of England,863
07/10/2021,London,699
07/10/2021,South West,511
07/10/2021,South East,1013
07/10/2021,Unknown,35
08/10/2021,North West,1031
08/10/2021,North East,135
08/10/2021,Yorkshire and Humber,347
08/10/2021,West Midlands,1101
08/10/2021,East Midlands,472
08/10/2021,East of England,767
08/10/2021,London,668
08/10/2021,South West,356
08/10/2021,South East,713
08/10/2021,Unknown,50
09/10/2021,North West,1291
09/10/2021,North East,361
09/10/2021,Yorkshire and Humber,1481
09/10/2021,West Midlands,1190
09/10/2021,East Midlands,496
09/10/2021,East of England,458
09/10/2021,London,451
09/10/2021,South West,213
09/10/2021,South East,330
09/10/2021,Unknown,52
10/10/2021,North West,1262
10/10/2021,North East,703
10/10/2021,Yorkshire and Humber,1309
10/10/2021,West Midlands,1230
10/10/2021,East Midlands,453
10/10/2021,East of England,392
10/10/2021,London,433
10/10/2021,South West,371
10/10/2021,South East,440
10/10/2021,Unknown,44
11/10/2021,North West,1911
11/10/2021,North East,379
11/10/2021,Yorkshire and Humber,919
11/10/2021,West Midlands,1352
11/10/2021,East Midlands,644
11/10/2021,East of England,915
11/10/2021,London,862
11/10/2021,South West,453
11/10/2021,South East,1037
11/10/2021,Unknown,50
12/10/2021,North West,1165
12/10/2021,North East,323
12/10/2021,Yorkshire and Humber,444
12/10/2021,West Midlands,968
12/10/2021,East Midlands,513
12/10/2021,East of England,1067
12/10/2021,London,1086
12/10/2021,South West,974
12/10/2021,South East,1720
12/10/2021,Unknown,51
13/10/2021,North West,952
13/10/2021,North East,131
13/10/2021,Yorkshire and Humber,316
13/10/2021,West Midlands,1008
13/10/2021,East Midlands,387
13/10/2021,East of England,764
13/10/2021,London,718
13/10/2021,South West,779
13/10/2021,South East,1193
13/10/2021,Unknown,56
14/10/2021,North West,596
14/10/2021,North East,91
14/10/2021,Yorkshire and Humber,355
14/10/2021,West Midlands,942
14/10/2021,East Midlands,570
14/10/2021,East of England,740
14/10/2021,London,462
14/10/2021,South West,707
14/10/2021,South East,895
14/10/2021,Unknown,57
15/10/2021,North West,782
15/10/2021,North East,82
15/10/2021,Yorkshire and Humber,500
15/10/2021,West Midlands,1344
15/10/2021,East Midlands,745
15/10/2021,East of England,696
15/10/2021,London,586
15/10/2021,South West,1253
15/10/2021,South East,710
15/10/2021,Unknown,56
16/10/2021,North West,1123
16/10/2021,North East,156
16/10/2021,Yorkshire and Humber,554
16/10/2021,West Midlands,1082
16/10/2021,East Midlands,505
16/10/2021,East of England,538
16/10/2021,London,411
16/10/2021,South West,661
16/10/2021,South East,524
16/10/2021,Unknown,68
17/10/2021,North West,1261
17/10/2021,North East,109
17/10/2021,Yorkshire and Humber,319
17/10/2021,West Midlands,1850
17/10/2021,East Midlands,648
17/10/2021,East of England,725
17/10/2021,London,768
17/10/2021,South West,973
17/10/2021,South East,1357
17/10/2021,Unknown,39
18/10/2021,North West,948
18/10/2021,North East,281
18/10/2021,Yorkshire and Humber,682
18/10/2021,West Midlands,639
18/10/2021,East Midlands,619
18/10/2021,East of England,1389
18/10/2021,London,1169
18/10/2021,South West,1521
18/10/2021,South East,2342
18/10/2021,Unknown,70
19/10/2021,North West,987
19/10/2021,North East,180
19/10/2021,Yorkshire and Humber,1023
19/10/2021,West Midlands,1094
19/10/2021,East Midlands,717
19/10/2021,East of England,1355
19/10/2021,London,1383
19/10/2021,South West,971
19/10/2021,South East,1801
19/10/2021,Unknown,62
20/10/2021,North West,1117
20/10/2021,North East,177
20/10/2021,Yorkshire and Humber,504
20/10/2021,West Midlands,1028
20/10/2021,East Midlands,658
20/10/2021,East of England,822
20/10/2021,London,912
20/10/2021,South West,886
20/10/2021,South East,1064
20/10/2021,Unknown,49
21/10/2021,North West,1024
21/10/2021,North East,229
21/10/2021,Yorkshire and Humber,347
21/10/2021,West Midlands,1108
21/10/2021,East Midlands,622
21/10/2021,East of England,840
21/10/2021,London,851
21/10/2021,South West,654
21/10/2021,South East,991
21/10/2021,Unknown,58
22/10/2021,North West,931
22/10/2021,North East,400
22/10/2021,Yorkshire and Humber,459
22/10/2021,West Midlands,1211
22/10/2021,East Midlands,488
22/10/2021,East of England,793
22/10/2021,London,624
22/10/2021,South West,671
22/10/2021,South East,764
22/10/2021,Unknown,27
23/10/2021,North West,1076
23/10/2021,North East,422
23/10/2021,Yorkshire and Humber,675
23/10/2021,West Midlands,944
23/10/2021,East Midlands,871
23/10/2021,East of England,995
23/10/2021,London,652
23/10/2021,South West,829
23/10/2021,South East,944
23/10/2021,Unknown,42
24/10/2021,North West,749
24/10/2021,North East,386
24/10/2021,Yorkshire and Humber,826
24/10/2021,West Midlands,410
24/10/2021,East Midlands,552
24/10/2021,East of England,616
24/10/2021,London,631
24/10/2021,South West,782
24/10/2021,South East,721
24/10/2021,Unknown,45
25/10/2021,North West,1729
25/10/2021,North East,333
25/10/2021,Yorkshire and Humber,1308
25/10/2021,West Midlands,1725
25/10/2021,East Midlands,784
25/10/2021,East of England,930
25/10/2021,London,746
25/10/2021,South West,739
25/10/2021,South East,649
25/10/2021,Unknown,46
26/10/2021,North West,1420
26/10/2021,North East,409
26/10/2021,Yorkshire and Humber,1012
26/10/2021,West Midlands,1231
26/10/2021,East Midlands,717
26/10/2021,East of England,757
26/10/2021,London,499
26/10/2021,South West,908
26/10/2021,South East,616
26/10/2021,Unknown,41
27/10/2021,North West,1204
27/10/2021,North East,377
27/10/2021,Yorkshire and Humber,1038
27/10/2021,West Midlands,1546
27/10/2021,East Midlands,543
27/10/2021,East of England,728
27/10/2021,London,474
27/10/2021,South West,1220
27/10/2021,South East,739
27/10/2021,Unknown,54
28/10/2021,North West,764
28/10/2021,North East,200
28/10/2021,Yorkshire and Humber,1007
28/10/2021,West Midlands,843
28/10/2021,East Midlands,380
28/10/2021,East of England,496
28/10/2021,London,528
28/10/2021,South West,422
28/10/2021,South East,463
28/10/2021,Unknown,57
29/10/2021,North West,991
29/10/2021,North East,223
29/10/2021,Yorkshire and Humber,1080
29/10/2021,West Midlands,938
29/10/2021,East Midlands,518
29/10/2021,East of England,863
29/10/2021,London,768
29/10/2021,South West,501
29/10/2021,South East,882
29/10/2021,Unknown,50
30/10/2021,North West,943
30/10/2021,North East,417
30/10/2021,Yorkshire and Humber,1378
30/10/2021,West Midlands,1104
30/10/2021,East Midlands,664
30/10/2021,East of England,962
30/10/2021,London,808
30/10/2021,South West,543
30/10/2021,South East,1240
30/10/2021,Unknown,44
31/10/2021,North West,1199
31/10/2021,North East,443
31/10/2021,Yorkshire and Humber,894
31/10/2021,West Midlands,977
31/10/2021,East Midlands,888
31/10/2021,East of England,1143
31/10/2021,London,1016
31/10/2021,South West,782
31/10/2021,South East,1296
31/10/2021,Unknown,34
01/11/2021,North West,1535
01/11/2021,North East,780
