Date,Region,Number of Delta cases
04/06/2021,West Midlands,269
04/06/2021,East Midlands,170
04/06/2021,East of England,186
04/06/2021,London,474
04/06/2021,South West,123
04/06/2021,South East,345
04/06/2021,Unknown,13
05/06/2021,North West,1218
05/06/2021,North East,111
05/06/2021,Yorkshire and Humber,312
05/06/2021,West Midlands,239
05/06/2021,East Midlands,162
05/06/2021,East of England,174
05/06/2021,London,456
05/06/2021,South West,102
05/06/2021,South East,292
05/06/2021,Unknown,12
06/06/2021,North West,1292
06/06/2021,North East,80
06/06/2021,Yorkshire and Humber,278
06/06/2021,West Midlands,231
06/06/2021,East Midlands,154
06/06/2021,East of England,186
06/06/2021,London,455
06/06/2021,South West,90
06/06/2021,South East,294
06/06/2021,Unknown,8
07/06/2021,North West,1968
07/06/2021,North East,232
07/06/2021,Yorkshire and Humber,514
07/06/2021,West Midlands,362
07/06/2021,East Midlands,306
07/06/2021,East of England,242
07/06/2021,London,708
07/06/2021,South West,194
07/06/2021,South East,457
07/06/2021,Unknown,25
08/06/2021,North West,1859
08/06/2021,North East,218
08/06/2021,Yorkshire and Humber,506
08/06/2021,West Midlands,403
08/06/2021,East Midlands,259
08/06/2021,East of England,268
08/06/2021,London,747
08/06/2021,South West,195
08/06/2021,South East,392
08/06/2021,Unknown,23
09/06/2021,North West,1954
09/06/2021,North East,289
09/06/2021,Yorkshire and Humber,554
09/06/2021,West Midlands,420
09/06/2021,East Midlands,207
09/06/2021,East of England,180
09/06/2021,London,716
09/06/2021,South West,176
09/06/2021,South East,438
09/06/2021,Unknown,16
10/06/2021,North West,2080
10/06/2021,North East,330
10/06/2021,Yorkshire and Humber,473
10/06/2021,West Midlands,392
10/06/2021,East Midlands,247
10/06/2021,East of England,180
10/06/2021,London,752
10/06/2021,South West,316
10/06/2021,South East,434
10/06/2021,Unknown,23
11/06/2021,North West,1839
11/06/2021,North East,321
11/06/2021,Yorkshire and Humber,487
11/06/2021,West Midlands,387
11/06/2021,East Midlands,196
11/06/2021,East of England,184
11/06/2021,London,635
11/06/2021,South West,314
11/06/2021,South East,415
11/06/2021,Unknown,25
12/06/2021,North West,1333
12/06/2021,North East,284
12/06/2021,Yorkshire and Humber,390
12/06/2021,West Midlands,288
12/06/2021,East Midlands,142
12/06/2021,East of England,103
12/06/2021,London,448
12/06/2021,South West,234
12/06/2021,South East,277
12/06/2021,Unknown,17
13/06/2021,North West,1302
13/06/2021,North East,224
13/06/2021,Yorkshire and Humber,317
13/06/2021,West Midlands,305
13/06/2021,East Midlands,127
13/06/2021,East of England,132
13/06/2021,London,426
13/06/2021,South West,291
13/06/2021,South East,307
13/06/2021,Unknown,14
14/06/2021,North West,2416
14/06/2021,North East,497
14/06/2021,Yorkshire and Humber,702
14/06/2021,West Midlands,535
14/06/2021,East Midlands,253
14/06/2021,East of England,171
14/06/2021,London,704
14/06/2021,South West,247
14/06/2021,South East,452
14/06/2021,Unknown,23
15/06/2021,North West,2535
15/06/2021,North East,497
15/06/2021,Yorkshire and Humber,671
15/06/2021,West Midlands,585
15/06/2021,East Midlands,265
15/06/2021,East of England,203
15/06/2021,London,703
15/06/2021,South West,470
15/06/2021,South East,468
15/06/2021,Unknown,34
16/06/2021,North West,2492
16/06/2021,North East,520
16/06/2021,Yorkshire and Humber,788
16/06/2021,West Midlands,621
16/06/2021,East Midlands,298
16/06/2021,East of England,203
16/06/2021,London,673
16/06/2021,South West,292
16/06/2021,South East,459
16/06/2021,Unknown,33
17/06/2021,North West,2383
17/06/2021,North East,612
17/06/2021,Yorkshire and Humber,889
17/06/2021,West Midlands,563
17/06/2021,East Midlands,261
