Date,Alpha,Delta,Omicron,Original
2020/4/28,0,0,0,166393
2020/4/29,0,0,0,171826
2020/4/30,0,0,0,176787
2020/5/1,0,0,0,181553
2020/5/2,0,0,0,184811
2020/5/3,0,0,0,187813
2020/5/4,0,0,0,191211
2020/5/5,0,0,0,194897
2020/5/6,0,0,0,198729
2020/5/7,0,0,0,202516
2020/5/8,0,0,0,205580
2020/5/9,0,0,0,207750
2020/5/10,0,0,0,210087
2020/5/11,0,0,0,213699
2020/5/12,0,0,0,217109
2020/5/13,0,0,0,220439
2020/5/14,0,0,0,223069
2020/5/15,0,0,0,225599
2020/5/16,0,0,0,227681
2020/5/17,0,0,0,229518
2020/5/18,0,0,0,232099
2020/5/19,0,0,0,235162
2020/5/20,0,0,0,237881
2020/5/21,0,0,0,240448
2020/5/22,0,0,0,242505
2020/5/23,0,0,0,244036
2020/5/24,0,0,0,245409
2020/5/25,0,0,0,247034
2020/5/26,0,0,0,249104
2020/5/27,0,0,0,250929
2020/5/28,0,0,0,252686
2020/5/29,0,0,0,254217
2020/5/30,0,0,0,255349
2020/5/31,0,0,0,256429
2020/6/1,0,0,0,257867
2020/6/2,0,0,0,259359
2020/6/3,0,0,0,260728
2020/6/4,0,0,0,261977
2020/6/5,0,0,0,263100
2020/6/6,0,0,0,263904
2020/6/7,0,0,0,264626
2020/6/8,0,0,0,265725
2020/6/9,0,0,0,266890
2020/6/10,0,0,0,268086
2020/6/11,0,0,0,269099
2020/6/12,0,0,0,270152
2020/6/13,0,0,0,271038
2020/6/14,0,0,0,271864
2020/6/15,0,0,0,272909
2020/6/16,0,0,0,274012
2020/6/17,0,0,0,275029
2020/6/18,0,0,0,276051
2020/6/19,0,0,0,277044
2020/6/20,0,0,0,277727
2020/6/21,0,0,0,278363
2020/6/22,0,0,0,279262
2020/6/23,0,0,0,280145
2020/6/24,0,0,0,280922
2020/6/25,0,0,0,281648
2020/6/26,0,0,0,282314
2020/6/27,0,0,0,282967
2020/6/28,0,0,0,283416
2020/6/29,0,0,0,284140
2020/6/30,0,0,0,284763
2020/7/1,0,0,0,285415
2020/7/2,0,0,0,286021
2020/7/3,0,0,0,286589
2020/7/4,0,0,0,286988
2020/7/5,0,0,0,287546
2020/7/6,0,0,0,288260
2020/7/7,0,0,0,288868
2020/7/8,0,0,0,289581
2020/7/9,0,0,0,290303
2020/7/10,0,0,0,290871
2020/7/11,0,0,0,291330
2020/7/12,0,0,0,291696
2020/7/13,0,0,0,292436
2020/7/14,0,0,0,293141
2020/7/15,0,0,0,293918
2020/7/16,0,0,0,294630
2020/7/17,0,0,0,295212
2020/7/18,0,0,0,295717
2020/7/19,0,0,0,296165
2020/7/20,0,0,0,296995
2020/7/21,0,0,0,297783
2020/7/22,0,0,0,298599
2020/7/23,0,0,0,299407
2020/7/24,0,0,0,300181
2020/7/25,0,0,0,300711
2020/7/26,0,0,0,301274
2020/7/27,0,0,0,302143
2020/7/28,0,0,0,302999
2020/7/29,0,0,0,304061
2020/7/30,0,0,0,305007
2020/7/31,0,0,0,305704
2020/8/1,0,0,0,306263
2020/8/2,0,0,0,306827
2020/8/3,0,0,0,307887
2020/8/4,0,0,0,308952
2020/8/5,0,0,0,310044
2020/8/6,0,0,0,311149
2020/8/7,0,0,0,312122
2020/8/8,0,0,0,312832
2020/8/9,0,0,0,313459
2020/8/10,0,0,0,314958
2020/8/11,0,0,0,316336
2020/8/12,0,0,0,317578
2020/8/13,0,0,0,318734
2020/8/14,0,0,0,319919
2020/8/15,0,0,0,320633
2020/8/16,0,0,0,321235
2020/8/17,0,0,0,322533
2020/8/18,0,0,0,323649
2020/8/19,0,0,0,324931
2020/8/20,0,0,0,326429
2020/8/21,0,0,0,327647
2020/8/22,0,0,0,328489
2020/8/23,0,0,0,329320
2020/8/24,0,0,0,330621
2020/8/25,0,0,0,331891
2020/8/26,0,0,0,333279
2020/8/27,0,0,0,334870
2020/8/28,0,0,0,336502
2020/8/29,0,0,0,337732
2020/8/30,0,0,0,338903
2020/8/31,0,0,0,340416
2020/9/1,0,0,0,342704
2020/9/2,0,0,0,345781
2020/9/3,0,0,0,348933
2020/9/4,0,0,0,352025
2020/9/5,0,0,0,354576
2020/9/6,0,0,0,357041
2020/9/7,0,0,0,360972
2020/9/8,0,0,0,364342
2020/9/9,0,0,0,367707
2020/9/10,0,0,0,371335
2020/9/11,0,0,0,374659
2020/9/12,0,0,0,377329
2020/9/13,0,0,0,379483
2020/9/14,0,0,0,382911
2020/9/15,0,0,0,386462
2020/9/16,0,0,0,390861
2020/9/17,0,0,0,395537
2020/9/18,0,0,0,400510
2020/9/19,0,0,0,405399
2020/9/20,0,0,0,410739
2020/9/21,0,0,0,416366
2020/9/22,0,0,0,422807
2020/9/23,0,0,0,429903
2020/9/24,0,0,0,437585
2020/9/25,0,0,0,444903
2020/9/26,0,0,0,451712
2020/9/27,0,0,0,458735
2020/9/28,0,0,0,468718
2020/9/29,0,0,0,479086
2020/9/30,0,0,0,491803
2020/10/1,18,0,0,505161
2020/10/2,18,0,0,519015
2020/10/3,18,0,0,530682
2020/10/4,18,0,0,542636
2020/10/5,18,0,0,559391
2020/10/6,18,0,0,576641
2020/10/7,18,0,0,595217
2020/10/8,37,0,0,613644
2020/10/9,56,0,0,629547
2020/10/10,56,0,0,642199
2020/10/11,130,0,0,654412
2020/10/12,149,0,0,674122
2020/10/13,149,0,0,693257
2020/10/14,149,0,0,713191
2020/10/15,224,0,0,731830
2020/10/16,224,0,0,749768
2020/10/17,242,0,0,764656
2020/10/18,242,0,0,778986
2020/10/19,242,0,0,804912
2020/10/20,280,0,0,830592
2020/10/21,597,0,0,855780
2020/10/22,858,0,0,879016
2020/10/23,970,0,0,900618
2020/10/24,1082,0,0,916970
2020/10/25,1120,0,0,932837
2020/10/26,1157,0,0,959607
2020/10/27,1213,0,0,983911
2020/10/28,1213,0,0,1007818
2020/10/29,1549,0,0,1031131
2020/10/30,1754,0,0,1053822
2020/10/31,1848,0,0,1070430
2020/11/1,2651,0,0,1085628
2020/11/2,3846,0,0,1116436
2020/11/3,3976,0,0,1142295
2020/11/4,4088,0,0,1166238
2020/11/5,6011,0,0,1188417
2020/11/6,6739,0,0,1211403
2020/11/7,6777,0,0,1230148
2020/11/8,8681,0,0,1248496
2020/11/9,9465,0,0,1279270
2020/11/10,9689,0,0,1306875
2020/11/11,10511,0,0,1333845
2020/11/12,13367,0,0,1355865
2020/11/13,16952,0,0,1376718
2020/11/14,19472,0,0,1392456
2020/11/15,21283,0,0,1406903
2020/11/16,21526,0,0,1433667
2020/11/17,23598,0,0,1455126
2020/11/18,25633,0,0,1474209
2020/11/19,27332,0,0,1490584
2020/11/20,28135,0,0,1506915
2020/11/21,31552,0,0,1516054
2020/11/22,37283,0,0,1522236
2020/11/23,38273,0,0,1540329
2020/11/24,38758,0,0,1556548
2020/11/25,39375,0,0,1572789
2020/11/26,42007,0,0,1584974
2020/11/27,44210,0,0,1597368
2020/11/28,45797,0,0,1606886
2020/11/29,46936,0,0,1616621
2020/11/30,48075,0,0,1633747
2020/12/1,49083,0,0,1649484
2020/12/2,50558,0,0,1664757
2020/12/3,51827,0,0,1679414
2020/12/4,55580,0,0,1691527
2020/12/5,59258,0,0,1700766
2020/12/6,61760,0,0,1712029
2020/12/7,68332,0,0,1727101
2020/12/8,72981,0,0,1743549
2020/12/9,76771,0,0,1761696
2020/12/10,96318,0,0,1765076
2020/12/11,104271,0,0,1781548
2020/12/12,109704,0,0,1795707
2020/12/13,120645,0,0,1807045
