areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,07/03/2020,55,404,55,404,,
nation,England,E92000001,08/03/2020,50,454,50,454,,
nation,England,E92000001,09/03/2020,127,581,127,581,,
nation,England,E92000001,10/03/2020,229,810,229,810,,
nation,England,E92000001,11/03/2020,358,1168,358,1168,,
nation,England,E92000001,12/03/2020,421,1589,421,1589,,
nation,England,E92000001,13/03/2020,401,1990,401,1990,,
nation,England,E92000001,14/03/2020,315,2305,315,2305,,
nation,England,E92000001,15/03/2020,398,2703,398,2703,,
nation,England,E92000001,16/03/2020,552,3255,552,3255,,
nation,England,E92000001,17/03/2020,683,3938,683,3938,,
nation,England,E92000001,18/03/2020,911,4849,911,4849,,
nation,England,E92000001,19/03/2020,934,5783,934,5783,,
nation,England,E92000001,20/03/2020,1095,6878,1095,6878,,
nation,England,E92000001,21/03/2020,1038,7916,1038,7916,,
nation,England,E92000001,22/03/2020,1214,9130,1214,9130,,
nation,England,E92000001,23/03/2020,2011,11141,2011,11141,,
nation,England,E92000001,24/03/2020,2042,13183,2042,13183,,
nation,England,E92000001,25/03/2020,2284,15467,2284,15467,,
nation,England,E92000001,26/03/2020,2633,18100,2633,18100,,
nation,England,E92000001,27/03/2020,2672,20772,2672,20772,,
nation,England,E92000001,28/03/2020,2379,23151,2379,23151,,
nation,England,E92000001,29/03/2020,2449,25600,2449,25600,,
nation,England,E92000001,30/03/2020,3514,29114,3514,29114,,
nation,England,E92000001,31/03/2020,3816,32930,3816,32930,,
nation,England,E92000001,01/04/2020,4150,37080,4150,37080,,
nation,England,E92000001,02/04/2020,4097,41177,4097,41177,,
nation,England,E92000001,03/04/2020,4101,45278,4101,45278,,
nation,England,E92000001,04/04/2020,3405,48683,3405,48683,,
nation,England,E92000001,05/04/2020,3094,51777,3094,51777,,
nation,England,E92000001,06/04/2020,4407,56184,4407,56184,,
nation,England,E92000001,07/04/2020,4605,60789,4605,60789,,
nation,England,E92000001,08/04/2020,4315,65104,4315,65104,,
nation,England,E92000001,09/04/2020,4076,69180,4076,69180,,
nation,England,E92000001,10/04/2020,3590,72770,3590,72770,,
nation,England,E92000001,11/04/2020,3085,75855,3085,75855,,
nation,England,E92000001,12/04/2020,2958,78813,2958,78813,,
nation,England,E92000001,13/04/2020,3463,82276,3463,82276,,
nation,England,E92000001,14/04/2020,3568,85844,3568,85844,,
nation,England,E92000001,15/04/2020,4240,90084,4240,90084,,
nation,England,E92000001,16/04/2020,4360,94444,4360,94444,,
nation,England,E92000001,17/04/2020,4088,98532,4088,98532,,
nation,England,E92000001,18/04/2020,4141,102673,4141,102673,,
nation,England,E92000001,19/04/2020,3494,106167,3494,106167,,
nation,England,E92000001,20/04/2020,3698,109865,3698,109865,,
nation,England,E92000001,21/04/2020,3995,113860,3995,113860,,
nation,England,E92000001,22/04/2020,4812,118672,4812,118672,,
nation,England,E92000001,23/04/2020,4575,123247,4575,123247,,
nation,England,E92000001,24/04/2020,4352,127599,4352,127599,,
nation,England,E92000001,25/04/2020,3381,130980,3381,130980,,
nation,England,E92000001,26/04/2020,3137,134117,3137,134117,,
nation,England,E92000001,27/04/2020,4056,138173,4056,138173,,
nation,England,E92000001,28/04/2020,4113,142286,4113,142286,,
nation,England,E92000001,29/04/2020,4737,147023,4737,147023,,
nation,England,E92000001,30/04/2020,4314,151337,4314,151337,,
nation,England,E92000001,01/05/2020,4109,155446,4109,155446,,
