LAD20CD,LAD20NM,1981,1991,2001,2011,PopulationDensity,,,,,,
E07000072,Epping Forest,341.6914417,342.2784897,356.6744409,367.7428034,398,,,,,,
E07000208,Epsom and Ewell,2011.126956,1966.202457,1967.728305,2203.735981,2374,,,,,,
E07000036,Erewash,925.4575158,967.8090233,1004.240624,1022.356087,1030,,,,,,
E10000012,Essex,341.1274082,359.1925611,379.0319314,402.9540835,435,,,,,,
E07000041,Exeter,1969.574554,2086.301108,2361.746008,2504.050348,2781,,,,,,
E07000087,Fareham,1172.496084,1336.813341,1454.411759,1502.719766,1542,,,,,,
E07000010,Fenland,122.8803649,136.1990535,152.8190492,174.328786,188,,,,,,
W06000005,Flintshire,311.2358764,321.3602334,337.837039,346.7381973,352,,,,,,
E07000112,Folkestone and Hythe,236.8535334,256.320026,269.6226896,302.5011137,308,,,,,,
E07000080,Forest of Dean,136.2382847,143.2795191,152.0625227,155.8483984,165,,,,,,
E07000119,Fylde,409.0408178,428.4859026,441.8717493,457.2008975,491,,,,,,
E08000037,Gateshead,1481.911857,1402.200801,1342.926856,1406.598749,1378,,,,,,
E07000173,Gedling,898.0452852,917.914982,931.7004176,946.3359829,978,,,,,,
E07000081,Gloucester,2341.725643,2505.560624,2709.713215,3000.715114,3267,,,,,,
E10000013,Gloucestershire,185.9227334,199.1945809,212.8373946,225.0619408,243,,,,,,
E07000088,Gosport,3025.073305,2958.232178,3011.712962,3256.219062,3228,,,,,,
E07000109,Gravesham,963.0047923,933.9618067,966.883925,1027.566087,1080,,,,,,
E07000145,Great Yarmouth,459.6412685,503.2521734,520.9156798,558.0555113,573,,,,,,
E11000001,Greater Manchester,2018.372516,1958.837194,1945.425562,2102.324327,2248,,,,,,
E09000011,Greenwich,4436.029676,4389.042717,4531.927036,5380.503477,6111,,,,,,
E07000209,Guildford,437.4101017,451.6941761,478.7010424,506.3390655,530,,,,,,
W06000002,Gwynedd,41.8729765,44.70398006,46.09127831,48.07380916,46,,,,,,
E09000012,Hackney,9427.063642,9517.328292,10650.28355,12931.63201,13611,,,,,,
E06000006,Halton,1540.956451,1564.361944,1494.714481,1590.030853,1621,,,,,,
E07000164,Hambleton,56.08209043,60.57167767,64.14153632,67.98060242,69,,,,,,
E09000013,Hammersmith and Fulham,8816.167281,9053.067943,10073.94763,11125.24766,11168,,,,,,
E10000014,Hampshire,289.5931683,318.0730048,337.1396706,358.2545337,381,,,,,,
E07000131,Harborough,102.4912952,114.2402643,129.3637037,144.2759218,165,,,,,,
E09000014,Haringey,6844.896305,6829.831791,7313.010876,8610.619469,8924,,,,,,
E07000073,Harlow,2591.861261,2443.815718,2579.22123,2683.354127,3055,,,,,,
E07000165,Harrogate,101.8473586,105.7129862,115.7065814,120.7007031,124,,,,,,
E09000015,Harrow,3887.069128,3965.16363,4098.187835,4737.112227,5178,,,,,,
E07000089,Hart,350.177688,375.9134091,387.9636727,422.8880682,462,,,,,,
E06000001,Hartlepool,1008.045499,964.7022419,945.4741402,981.9776561,985,,,,,,
E07000062,Hastings,2470.86028,2712.43552,2853.594934,3029.054138,3057,,,,,,
E07000090,Havant,2082.488653,2147.378052,2096.374303,2165.084946,2228,,,,,,
E09000016,Havering,2134.416202,2042.768791,1996.108368,2111.664572,2332,,,,,,
E06000019,Herefordshire,67.38054164,73.49374187,80.22674949,84.17498222,86,,,,,,
E10000015,Hertfordshire,578.6502312,593.9076912,629.3061669,679.2561049,730,,,,,,
E07000098,Hertsmere,863.5375691,866.1283401,934.0124713,989.1504051,1066,,,,,,
E07000037,High Peak,150.5796325,157.8281692,165.870558,168.585977,169,,,,,,
E09000017,Hillingdon,1955.526324,2001.669772,2100.257207,2367.550413,2644,,,,,,
E07000132,Hinckley and Bosworth,293.2153674,323.5263059,336.7766219,353.3798731,382,,,,,,
E07000227,Horsham,189.2061665,204.7263071,230.2355346,247.6075317,277,,,,,,
E09000018,Hounslow,3554.825706,3652.372648,3794.27048,4537.960931,5150,,,,,,
E07000011,Huntingdonshire,135.8687496,158.9922929,173.2080744,187.0585846,200,,,,,,
E07000120,Hyndburn,1080.205187,1073.740009,1116.311561,1105.84674,1126,,,,,,
E13000001,Inner London,7598.001289,7844.898821,8664.580709,10123.55057,10664,,,,,,
E07000202,Ipswich,3024.566057,2960.176969,2963.087639,3375.972544,3536,,,,,,
W06000001,Isle of Anglesey,93.38472002,97.11050296,93.85658699,97.95593128,97,,,,,,
E06000046,Isle of Wight,302.6155345,328.1621136,349.6256654,364.2191948,370,,,,,,
E06000053,Isles of Scilly,113.5576705,125.5078841,132.1264639,135.0067718,129,,,,,,
E09000019,Islington,10601.83066,11083.99515,11831.94239,13872.99771,14578,,,,,,
E09000020,Kensington and Chelsea,10383.95869,11415.16204,13109.03437,13085.85663,11828,,,,,,
E10000016,Kent,342.2358882,357.9299652,375.1574493,412.9732173,445,,,,,,
E07000146,King's Lynn and West Norfolk,82.89902262,90.62866962,94.01937754,102.4305006,107,,,,,,
E06000010,Kingston upon Hull,3726.546686,3549.928266,3402.911557,3581.904819,3731,,,,,,
E09000021,Kingston upon Thames,3522.234717,3569.471246,3952.59707,4295.840233,4509,,,,,,
E08000034,Kirklees,907.0555592,913.2922255,951.0940601,1034.038295,1061,,,,,,
E08000011,Knowsley,1999.89133,1758.273391,1739.394822,1686.620378,1786,,,,,,
E09000022,Lambeth,9107.400651,9133.177404,9928.899433,11306.18381,11848,,,,,,
E10000017,Lancashire,371.858736,380.5646264,392.1997792,404.761017,427,,,,,,
E07000121,Lancaster,209.1769464,218.4673104,236.2137225,244.0771063,252,,,,,,
E08000035,Leeds,1262.834038,1233.847622,1296.714359,1362.109614,1472,,,,,,
E06000016,Leicester,3766.527002,3688.100013,3816.675552,4497.266918,5026,,,,,,
E10000018,Leicestershire,254.1680112,271.5159903,292.6610904,312.3005929,342,,,,,,
E07000063,Lewes,262.7941131,299.1677707,315.5727182,333.7886459,342,,,,,,
E09000023,Lewisham,6557.996478,6572.080544,7082.521247,7849.66184,8553,,,,,,
E07000194,Lichfield,266.0292477,279.7481636,281.4022815,303.8204087,321,,,,,,
E07000138,Lincoln,2118.704855,2297.185222,2398.361455,2620.915545,2911,,,,,,
E10000019,Lincolnshire,91.44570118,98.45086121,108.9136316,120.1974771,129,,,,,,
E08000012,Liverpool,4504.125248,4045.666992,3929.594933,4170.537673,4347,,,,,,
E12000007,London,4203.860382,4249.08914,4562.309466,5199.60614,5598,,,,,,
E06000032,Luton,3764.696384,3959.886973,4252.85739,4687.18067,5197,,,,,,
E07000110,Maidstone,328.6253202,346.2975308,353.2611597,394.4353003,447,,,,,,
E07000074,Maldon,133.0098148,147.6821727,166.0743226,172.2367129,185,,,,,,
E07000235,Malvern Hills,112.221893,118.9680299,125.0712651,129.3272405,138,,,,,,
E08000003,Manchester,3784.424355,3500.789029,3396.637224,4350.484442,4773,,,,,,
E07000174,Mansfield,1295.459672,1308.863047,1280.087513,1362.059322,1441,,,,,,
E06000035,Medway,1215.05806,1240.115593,1287.897325,1362.445293,1444,,,,,,
E07000133,Melton,89.139446,93.71378905,99.42652446,104.6490033,108,,,,,,
E07000187,Mendip,116.551056,129.2918545,140.4706509,147.7870419,157,,,,,,
E11000002,Merseyside,2304.709834,2152.181809,2088.364996,2117.754984,2182,,,,,,
W06000024,Merthyr Tydfil,538.7617175,532.2473694,502.2957245,527.6263097,528,,,,,,
E09000024,Merton,4388.19799,4477.715082,4994.059659,5307.582108,5720,,,,,,
E07000042,Mid Devon,62.99370786,70.38881666,76.43219027,85.16808016,91,,,,,,
E07000203,Mid Suffolk,79.60548778,89.98466944,99.68652369,111.0484041,118,,,,,,
E07000228,Mid Sussex,352.4809493,362.8213564,381.3436781,418.7056588,457,,,,,,
E06000002,Middlesbrough,2769.034327,2614.046353,2502.950915,2568.817556,2671,,,,,,
E06000042,Milton Keynes,399.498812,571.3374766,670.8654825,806.2199414,930,,,,,,
E07000210,Mole Valley,294.3158728,306.6725869,310.7953628,330.4995217,338,,,,,,
W06000021,Monmouthshire,87.13609924,94.14198717,99.96432874,107.5472691,110,,,,,,
W06000012,Neath Port Talbot,318.1046707,313.2910152,304.7492695,316.8581968,322,,,,,,
E07000091,New Forest,190.4489299,213.3225841,225.1230232,234.6021952,234,,,,,,
E07000175,Newark and Sherwood,153.6201111,157.8037908,163.1573655,176.277999,189,,,,,,
E08000021,Newcastle upon Tyne,2405.556559,2287.682402,2287.550187,2469.575105,2646,,,,,,
E07000195,Newcastle-under-Lyme,555.6429876,564.5262977,578.4532801,587.1849008,584,,,,,,
E09000025,Newham,5777.670952,5861.713619,6737.91783,8508.809009,9700,,,,,,
W06000022,Newport,697.8954593,700.0852277,719.5253296,765.2951645,838,,,,,,
E10000020,Norfolk,127.2818459,138.4976168,147.990185,159.3526984,170,,,,,,
E07000043,North Devon,70.50513748,78.09244469,80.58256227,86.25807803,91,,,,,,
E12000001,North East,302.4977955,296.426091,293.148536,302.639624,308,,,,,,
E07000038,North East Derbyshire,349.7489691,353.9975198,351.6972797,359.2692057,370,,,,,,
E06000012,North East Lincolnshire,829.9428573,828.8837932,820.1101738,828.6449846,815,,,,,,
E07000099,North Hertfordshire,284.0838708,298.3466713,311.4506525,338.6256297,355,,,,,,
E07000139,North Kesteven,84.79613404,86.66069069,101.9305424,116.8231467,128,,,,,,
E06000013,North Lincolnshire,175.9467744,179.8934274,180.5513998,197.800435,200,,,,,,
E07000147,North Norfolk,82.91069985,93.6481267,101.8430236,105.0750181,107,,,,,,
E06000061,North Northamptonshire,251.4639497,268.2651752,287.9297851,321.1561951,364,,,,,,
E06000024,North Somerset,429.0307891,474.8422339,504.5145223,541.9834788,580,,,,,,
E08000022,North Tyneside,2399.022607,2336.386369,2328.780106,2439.848555,2539,,,,,,
E07000218,North Warwickshire,209.8034449,213.7012671,217.6272324,218.1584338,229,,,,,,
E12000002,North West,484.4516446,476.811515,477.0173555,499.8705487,526,,,,,,
E07000134,North West Leicestershire,280.6986768,288.4279413,306.1168232,334.6173674,375,,,,,,
E10000023,North Yorkshire,61.61603262,66.61878701,70.8766462,74.44920681,77,,,,,,
E06000057,Northumberland,58.85597793,60.69725044,61.19487012,62.95506528,64,,,,,,
E07000148,Norwich,3069.012352,3098.124135,3115.114551,3395.827994,3690,,,,,,
E06000018,Nottingham,3595.302172,3531.841551,3578.267652,4096.862217,4338,,,,,,
E10000024,Nottinghamshire,339.8508945,350.3362792,359.0425207,376.9356457,396,,,,,,
E07000219,Nuneaton and Bedworth,1430.784391,1482.601735,1508.998054,1586.464413,1700,,,,,,
E07000135,Oadby and Wigston,2155.223348,2191.055891,2371.621306,2387.561049,2453,,,,,,
E08000004,Oldham,1541.754189,1521.170396,1526.418209,1579.943096,1701,,,,,,
E13000002,Outer London,3338.935252,3332.772982,3516.914714,3944.84289,4307,,,,,,
