Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,Total_Arrival,National_Arrival,UV Total Index,male,female,doctors,nonwhite,PopulationDensity,latitude,longitude
2020-10-07,51.6,88.1,12.2,29.2,1.2735863830766792,,,,,48400.0,27700.0,1.1667,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723578458337,-2.491747191150606
2020-10-08,55.3,88.7,12.3,29.2,1.22852037422284,,,,,54100.0,28100.0,0.8333,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723561153387,-2.4917473210926815
2020-10-09,48.3,87.3,10.0,29.4,1.1811149165235808,,,,,66400.0,33800.0,0.6905,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235779768136,-2.49174720157823
2020-10-10,47.9,87.3,12.4,29.6,1.1791991110642641,,,,,71200.0,41300.0,0.6476,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723570262289,-2.4917471463921146
2020-10-11,50.1,80.0,7.0,29.6,1.2632797590302602,,,,,73500.0,37300.0,0.9905,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723573862623,-2.4917470690166486
2020-10-12,48.6,91.3,7.0,29.4,1.2849969113242503,,,,,56900.0,28700.0,0.4619,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723577701893,-2.4917470768395154
2020-10-13,47.4,87.2,9.8,29.2,1.2588347832495626,,,,,42500.0,23100.0,0.1,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235750458866,-2.4917470620956883
2020-10-14,49.5,86.1,14.0,29.5,1.2350805166083707,,,,,,,,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723579337568,-2.491746955666101
2020-10-15,46.5,82.8,10.4,29.6,1.3032379515670671,,,,,,,,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723581438439,-2.491747121355679
2020-10-16,47.0,87.1,6.9,29.6,1.2122261936470888,,,,,62900.0,31300.0,0.7533,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723572425982,-2.491747251000022
2020-10-17,47.4,89.0,7.5,29.5,1.2242107226263317,,,,,67300.0,37800.0,0.5526,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723573034332,-2.4917472031900734
2020-10-18,46.7,85.8,3.9,29.5,1.4014359772538805,,,,,65100.0,31000.0,0.4895,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723578744757,-2.4917472571451422
2020-10-19,52.0,77.6,11.8,29.2,1.5095403593957013,,,,,46600.0,22300.0,0.8105,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235716736906,-2.4917471669355464
2020-10-20,56.7,91.5,13.2,28.8,1.4853050272785555,,,,,35900.0,18800.0,0.6421,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723556810624,-2.4917471185724023
2020-10-21,55.2,98.1,9.0,28.8,1.4685972838992951,,,,,37600.0,21600.0,0.2632,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723559415596,-2.4917471730861216
2020-10-22,50.0,89.5,7.0,29.1,1.4354398542590008,,,,,38300.0,18600.0,0.5263,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.5172356382436,-2.491747137361539
2020-10-23,50.0,89.5,9.5,29.1,1.1707841164388024,,,,,52700.0,27300.0,0.4632,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723563145602,-2.491747134740204
2020-10-24,51.8,91.7,14.3,28.8,1.2531834123285401,,,,,61700.0,37600.0,0.1684,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723560625167,-2.4917472611480784
2020-10-25,48.0,81.4,9.8,28.7,1.5073608171130224,,,,,62800.0,29500.0,0.5737,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.5172355959751,-2.49174698703009
2020-10-26,47.6,88.5,12.3,28.8,1.4709475557760041,,,,,41000.0,19200.0,0.5526,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235733180236,-2.491747048646111
2020-10-27,48.6,91.4,13.5,28.8,1.3283982504348573,,,,,31300.0,15700.0,0.3526,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235731540744,-2.4917471125005606
2020-10-28,46.6,86.6,12.8,28.9,1.3615091704405966,,,,,34500.0,18500.0,0.4842,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235683523054,-2.4917472055149195
2020-10-29,53.6,86.1,12.7,29.2,1.2918226611571637,,,,,38000.0,18200.0,0.2105,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235796074694,-2.491747004013279
2020-10-30,56.4,94.4,11.6,29.3,1.0879260537048845,,,,,59400.0,30300.0,0.3,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723580145378,-2.4917470384116482
2020-10-31,52.9,89.2,17.9,29.1,1.084711880712527,,,,,72400.0,46600.0,0.1765,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723561824184,-2.4917472206638562
2020-11-01,55.8,90.8,16.9,28.9,1.432563788501227,,,,,71700.0,37100.0,0.2353,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235604655646,-2.4917471768290635
2020-11-02,52.4,83.1,19.9,29.0,1.2661778051383532,,,,,40400.0,18700.0,0.5647,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235630738156,-2.4917473155039316
2020-11-03,43.7,84.5,10.6,29.4,1.2994519523898231,,,,,30900.0,12900.0,0.4941,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723576668987,-2.4917471313485993
2020-11-04,42.6,86.5,4.4,29.8,1.3102373013999902,,,,,31400.0,13300.0,0.5471,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723568923327,-2.4917470916157423
2020-11-05,43.3,87.6,3.3,30.0,1.278713560729333,,,,,24600.0,11100.0,0.5294,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235775287716,-2.491747009761441
2020-11-06,41.2,88.3,11.4,29.6,1.1116275904062929,,,,,34600.0,15900.0,0.5059,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235643999975,-2.4917472489551233
2020-11-07,47.7,96.7,10.5,29.4,1.1375906432403822,,,,,38100.0,22400.0,0.5118,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235741334524,-2.491747220630996
2020-11-08,49.7,100.0,9.7,29.3,1.3247119153807507,,,,,38400.0,19700.0,0.2412,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723570986495,-2.4917470133256745
2020-11-09,54.6,95.1,9.8,29.4,1.2156646441405592,,,,,21700.0,11000.0,0.2588,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.5172357992931,-2.4917471303694367
2020-11-10,52.3,91.4,6.8,29.5,1.2246317980882382,,,,,16300.0,8300.0,0.4929,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723581559906,-2.491747225495806
2020-11-11,52.3,91.2,14.4,28.1,1.2060102152736645,,,,,13700.0,6300.0,0.3059,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235760057744,-2.491747052271546
2020-11-12,49.4,87.0,12.9,29.2,1.2587107956763388,,,,,15500.0,7100.0,0.1,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.5172358391207,-2.491747195811841
2020-11-13,48.8,86.2,10.3,29.2,1.0811017336425044,,,,,22500.0,9800.0,0.3,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723582456516,-2.4917472286069238
2020-11-14,52.8,93.2,15.8,29.0,1.0351626844252926,,,,,19800.0,9600.0,0.1,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723576403488,-2.4917473423939662
2020-11-15,48.1,87.6,13.8,28.7,1.2040851855039256,,,,,24300.0,10200.0,0.3176,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723563810572,-2.491747250772502
2020-11-16,49.3,92.3,16.4,29.2,0.9987538813857888,,,,,18200.0,8200.0,0.36,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723588449872,-2.491747147914072
2020-11-17,53.2,90.1,13.0,29.4,0.9659063861638614,,,,,14000.0,6300.0,0.2533,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.5172358054092,-2.4917471370507
2020-11-18,51.5,85.7,17.5,29.3,0.8778135548982513,,,,,10400.0,4300.0,0.3333,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235697799855,-2.49174714721805
2020-11-19,44.7,81.4,15.6,29.7,0.7556675592441701,,,,,13400.0,6000.0,0.28,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723577019556,-2.491747143908656
2020-11-20,45.1,93.3,10.2,29.8,0.8113646332189279,,,,,19400.0,8200.0,0.2133,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.5172357100835,-2.4917472210747023
2020-11-21,49.1,92.9,12.9,29.6,0.6997923365522306,,,,,17100.0,7200.0,0.2667,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235749082445,-2.491747093936746
2020-11-22,46.1,94.4,5.4,29.6,0.9467984889343352,,,,,19700.0,7700.0,0.3533,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235759566574,-2.4917470437327474
2020-11-23,46.7,90.3,6.9,29.6,0.6952581868792505,,,,,15100.0,6000.0,0.3,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235698424074,-2.4917470342238164
2020-11-24,50.7,89.5,11.4,29.3,0.8894885815524517,,,,,10100.0,4200.0,0.34,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723546934259,-2.491747135998084
2020-11-25,46.5,91.6,7.2,29.2,0.7960798573018298,,,,,11100.0,4400.0,0.12,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235671437696,-2.4917471333719368
2020-11-26,39.5,90.5,3.7,29.5,0.7217290514654233,,,,,14500.0,6200.0,0.2933,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235644528476,-2.491747019341119
2020-11-27,33.5,96.5,7.8,29.4,0.6022850164509812,19.34869108897756,,,,22100.0,9600.0,0.2467,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723555217195,-2.4917470460464477
2020-11-28,45.0,100.0,9.9,29.4,0.7843394754893206,12.965921835775864,,,,21100.0,9100.0,0.1733,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723564855628,-2.491747139144541
2020-11-29,38.0,90.5,5.0,29.6,0.8927424778582757,1.0207844933767765,,,,23300.0,8800.0,0.12,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723553451445,-2.491747084630805
2020-11-30,44.8,99.2,11.7,29.6,0.935432911857481,9.638838649744793,,,,17000.0,6700.0,0.1467,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723567053552,-2.4917472720402554
2020-12-01,41.6,83.0,6.8,29.6,0.7897874607696809,1.012539593733207,,,,13900.0,5700.0,0.3067,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235656738265,-2.4917472020145195
2020-12-02,42.6,88.4,5.8,29.4,0.914859919264674,1.0245116480943988,,,,14300.0,5700.0,0.1667,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723557433744,-2.4917470223272917
2020-12-03,39.4,95.5,8.6,28.5,0.9061957349699818,1.0209060354659476,,,,21100.0,9000.0,0.0643,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723564558763,-2.491747160301565
2020-12-04,38.1,86.0,13.6,28.3,0.8710195665558049,1.0195212726454614,,,,28800.0,12100.0,0.1429,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723552761332,-2.491747121011359
2020-12-05,37.7,96.2,11.5,28.5,0.894660783519218,5.422780579683874,,,,29200.0,12800.0,0.2286,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.51723567820611,-2.491747226894258
2020-12-06,37.8,94.6,4.3,28.9,1.132026595510804,6.5172834575382765,,,,33300.0,13500.0,0.2714,0.1678409849440035,0.1965098079370419,0.083,0.058666667,584.0,51.517235780772566,-2.4917470563382254
