date,Delta,CumDelta
31/01/2021,0.0,0.0
01/02/2021,0.0,0.0
02/02/2021,0.0,0.0
03/02/2021,0.0,0.0
04/02/2021,0.0,0.0
05/02/2021,0.0,0.0
06/02/2021,0.0,0.0
07/02/2021,0.0,0.0
08/02/2021,0.0,0.0
09/02/2021,0.0,0.0
10/02/2021,0.0,0.0
11/02/2021,0.0,0.0
12/02/2021,0.0,0.0
13/02/2021,0.0,0.0
14/02/2021,0.0,0.0
15/02/2021,0.0,0.0
16/02/2021,0.0,0.0
17/02/2021,0.0,0.0
18/02/2021,0.0,0.0
19/02/2021,0.0,0.0
20/02/2021,0.0,0.0
21/02/2021,0.0,0.0
22/02/2021,0.0,0.0
23/02/2021,0.0,0.0
24/02/2021,0.0,0.0
25/02/2021,0.0,0.0
26/02/2021,0.0,0.0
27/02/2021,0.0,0.0
28/02/2021,0.0,0.0
01/03/2021,0.0,0.0
02/03/2021,0.0,0.0
03/03/2021,0.0,0.0
04/03/2021,0.0,0.0
05/03/2021,0.0,0.0
06/03/2021,0.0,0.0
07/03/2021,0.0,0.0
08/03/2021,0.0,0.0
09/03/2021,0.0,0.0
10/03/2021,0.0,0.0
11/03/2021,0.0,0.0
12/03/2021,0.0,0.0
13/03/2021,0.0,0.0
14/03/2021,0.0,0.0
15/03/2021,0.0,0.0
16/03/2021,0.0,0.0
17/03/2021,0.0,0.0
18/03/2021,0.0,0.0
19/03/2021,0.0,0.0
20/03/2021,0.0,0.0
21/03/2021,0.0,0.0
22/03/2021,0.0,0.0
23/03/2021,0.0,0.0
24/03/2021,0.0,0.0
25/03/2021,0.0,0.0
26/03/2021,0.0,0.0
27/03/2021,0.0,0.0
28/03/2021,0.0,0.0
29/03/2021,0.0,0.0
30/03/2021,0.0,0.0
31/03/2021,0.0,0.0
01/04/2021,0.0,0.0
02/04/2021,0.0,0.0
03/04/2021,0.0,0.0
04/04/2021,0.0,0.0
05/04/2021,0.0,0.0
06/04/2021,0.0,0.0
07/04/2021,0.0,0.0
08/04/2021,1.0,1.0
09/04/2021,0.0,1.0
10/04/2021,0.0,1.0
11/04/2021,1.0,2.0
12/04/2021,1.0,3.0
13/04/2021,1.0,4.0
14/04/2021,0.0,4.0
15/04/2021,1.0,5.0
16/04/2021,1.0,6.0
17/04/2021,1.0,7.0
18/04/2021,1.0,8.0
19/04/2021,1.0,9.0
20/04/2021,1.0,10.0
21/04/2021,1.0,11.0
22/04/2021,1.0,12.0
23/04/2021,2.0,14.0
24/04/2021,1.0,15.0
25/04/2021,1.0,16.0
26/04/2021,1.0,17.0
27/04/2021,2.0,19.0
28/04/2021,3.0,22.0
29/04/2021,2.0,24.0
30/04/2021,3.0,27.0
01/05/2021,2.0,29.0
02/05/2021,3.0,32.0
03/05/2021,3.0,35.0
04/05/2021,3.0,38.0
05/05/2021,4.0,42.0
06/05/2021,2.0,44.0
07/05/2021,4.0,48.0
08/05/2021,3.0,51.0
09/05/2021,3.0,54.0
10/05/2021,4.0,58.0
11/05/2021,7.0,65.0
12/05/2021,4.0,69.0
13/05/2021,3.0,72.0
14/05/2021,2.0,74.0
15/05/2021,5.0,79.0
16/05/2021,4.0,83.0
17/05/2021,4.0,87.0
18/05/2021,2.0,89.0
19/05/2021,2.0,91.0
20/05/2021,4.0,95.0
21/05/2021,7.0,102.0
22/05/2021,2.0,104.0
23/05/2021,6.0,110.0
24/05/2021,6.0,116.0
25/05/2021,5.0,121.0
26/05/2021,10.0,131.0
27/05/2021,7.0,138.0
28/05/2021,5.0,143.0
29/05/2021,6.0,149.0
30/05/2021,7.0,156.0
31/05/2021,7.0,163.0
01/06/2021,3.0,166.0
02/06/2021,11.0,177.0
03/06/2021,9.0,186.0
04/06/2021,10.0,196.0
05/06/2021,6.0,202.0
06/06/2021,7.0,209.0
07/06/2021,5.0,214.0
08/06/2021,9.0,223.0
09/06/2021,6.0,229.0
10/06/2021,9.0,238.0
11/06/2021,6.0,244.0
12/06/2021,14.0,258.0
13/06/2021,7.0,265.0
14/06/2021,9.0,274.0
15/06/2021,15.0,289.0
16/06/2021,12.0,301.0
17/06/2021,5.0,306.0
18/06/2021,10.0,316.0
19/06/2021,19.0,335.0
20/06/2021,22.0,357.0
21/06/2021,13.0,370.0
22/06/2021,9.0,379.0
23/06/2021,6.0,385.0
24/06/2021,21.0,406.0
25/06/2021,21.0,427.0
26/06/2021,9.0,436.0
27/06/2021,19.0,455.0
28/06/2021,10.0,465.0
29/06/2021,20.0,485.0
30/06/2021,20.0,505.0
01/07/2021,22.0,527.0
02/07/2021,25.0,552.0
03/07/2021,24.0,576.0
04/07/2021,23.0,599.0
05/07/2021,24.0,623.0
06/07/2021,19.0,642.0
07/07/2021,23.0,665.0
08/07/2021,30.0,695.0
09/07/2021,39.0,734.0
10/07/2021,33.0,767.0
11/07/2021,27.0,794.0
12/07/2021,34.0,828.0
13/07/2021,38.0,866.0
14/07/2021,33.0,899.0
15/07/2021,43.0,942.0
16/07/2021,40.0,982.0
17/07/2021,43.0,1025.0
18/07/2021,56.0,1081.0
19/07/2021,69.0,1150.0
20/07/2021,48.0,1198.0
21/07/2021,44.0,1242.0
22/07/2021,65.0,1307.0
23/07/2021,72.0,1379.0
24/07/2021,65.0,1444.0
25/07/2021,63.0,1507.0
26/07/2021,66.0,1573.0
27/07/2021,58.0,1631.0
28/07/2021,71.0,1702.0
29/07/2021,67.0,1769.0
30/07/2021,95.0,1864.0
31/07/2021,76.0,1940.0
01/08/2021,74.0,2014.0
02/08/2021,66.0,2080.0
03/08/2021,65.0,2145.0
04/08/2021,69.0,2214.0
05/08/2021,87.0,2301.0
06/08/2021,78.0,2379.0
07/08/2021,82.0,2461.0
08/08/2021,64.0,2525.0
09/08/2021,68.0,2593.0
10/08/2021,67.0,2660.0
11/08/2021,78.0,2738.0
12/08/2021,90.0,2828.0
13/08/2021,87.0,2915.0
14/08/2021,80.0,2995.0
15/08/2021,72.0,3067.0
16/08/2021,74.0,3141.0
17/08/2021,94.0,3235.0
18/08/2021,79.0,3314.0
19/08/2021,90.0,3404.0
20/08/2021,97.0,3501.0
21/08/2021,87.0,3588.0
22/08/2021,101.0,3689.0
23/08/2021,95.0,3784.0
24/08/2021,101.0,3885.0
25/08/2021,85.0,3970.0
26/08/2021,101.0,4071.0
27/08/2021,103.0,4174.0
28/08/2021,101.0,4275.0
29/08/2021,104.0,4379.0
30/08/2021,88.0,4467.0
31/08/2021,91.0,4558.0
01/09/2021,92.0,4650.0
02/09/2021,97.0,4747.0
03/09/2021,121.0,4868.0
04/09/2021,107.0,4975.0
05/09/2021,113.0,5088.0
06/09/2021,116.0,5204.0
07/09/2021,118.0,5322.0
08/09/2021,110.0,5432.0
09/09/2021,126.0,5558.0
10/09/2021,104.0,5662.0
11/09/2021,100.0,5762.0
12/09/2021,101.0,5863.0
13/09/2021,68.0,5931.0
14/09/2021,112.0,6043.0
15/09/2021,97.0,6140.0
16/09/2021,107.0,6247.0
17/09/2021,119.0,6366.0
18/09/2021,88.0,6454.0
19/09/2021,84.0,6538.0
20/09/2021,99.0,6637.0
21/09/2021,88.0,6725.0
22/09/2021,98.0,6823.0
23/09/2021,96.0,6919.0
24/09/2021,86.0,7005.0
25/09/2021,85.0,7090.0
26/09/2021,63.0,7153.0
27/09/2021,73.0,7226.0
28/09/2021,73.0,7299.0
29/09/2021,79.0,7378.0
30/09/2021,74.0,7452.0
01/10/2021,90.0,7542.0
02/10/2021,69.0,7611.0
03/10/2021,69.0,7680.0
04/10/2021,75.0,7755.0
05/10/2021,79.0,7834.0
06/10/2021,70.0,7904.0
07/10/2021,84.0,7988.0
08/10/2021,87.0,8075.0
09/10/2021,84.0,8159.0
10/10/2021,64.0,8223.0
11/10/2021,85.0,8308.0
12/10/2021,79.0,8387.0
13/10/2021,80.0,8467.0
14/10/2021,99.0,8566.0
15/10/2021,96.0,8662.0
16/10/2021,87.0,8749.0
17/10/2021,93.0,8842.0
18/10/2021,84.0,8926.0
19/10/2021,92.0,9018.0
20/10/2021,106.0,9124.0
21/10/2021,100.0,9224.0
22/10/2021,92.0,9316.0
23/10/2021,116.0,9432.0
24/10/2021,104.0,9536.0
25/10/2021,100.0,9636.0
26/10/2021,115.0,9751.0
27/10/2021,116.0,9867.0
28/10/2021,133.0,10000.0
29/10/2021,112.0,10112.0
30/10/2021,114.0,10226.0
31/10/2021,132.0,10358.0
01/11/2021,116.0,10474.0
02/11/2021,108.0,10582.0
03/11/2021,109.0,10691.0
04/11/2021,101.0,10792.0
05/11/2021,107.0,10899.0
06/11/2021,116.0,11015.0
07/11/2021,111.0,11126.0
08/11/2021,105.0,11231.0
09/11/2021,104.0,11335.0
10/11/2021,97.0,11432.0
11/11/2021,99.0,11531.0
12/11/2021,96.0,11627.0
13/11/2021,90.0,11717.0
14/11/2021,84.0,11801.0
15/11/2021,110.0,11911.0
16/11/2021,104.0,12015.0
17/11/2021,79.0,12094.0
18/11/2021,90.0,12184.0
19/11/2021,82.0,12266.0
20/11/2021,79.0,12345.0
21/11/2021,71.0,12416.0
22/11/2021,73.0,12489.0
23/11/2021,94.0,12583.0
24/11/2021,75.0,12658.0
25/11/2021,85.0,12743.0
26/11/2021,81.0,12824.0
27/11/2021,66.0,12890.0
28/11/2021,70.0,12960.0
29/11/2021,78.0,13038.0
30/11/2021,63.0,13101.0
01/12/2021,73.0,13174.0
02/12/2021,58.0,13232.0
03/12/2021,77.0,13309.0
04/12/2021,78.0,13387.0
05/12/2021,59.0,13446.0
06/12/2021,66.0,13512.0
07/12/2021,51.0,13563.0
08/12/2021,48.0,13611.0
09/12/2021,46.0,13657.0
10/12/2021,38.0,13695.0
11/12/2021,28.0,13723.0
12/12/2021,32.0,13755.0
13/12/2021,26.0,13781.0
14/12/2021,28.0,13809.0
15/12/2021,22.0,13831.0
16/12/2021,18.0,13849.0
17/12/2021,20.0,13869.0
18/12/2021,14.0,13883.0
19/12/2021,11.0,13894.0
20/12/2021,11.0,13905.0
21/12/2021,9.0,13914.0
22/12/2021,10.0,13924.0
23/12/2021,9.0,13933.0
24/12/2021,7.0,13940.0
25/12/2021,5.0,13945.0
26/12/2021,4.0,13949.0
27/12/2021,4.0,13953.0
28/12/2021,5.0,13958.0
29/12/2021,3.0,13961.0
30/12/2021,4.0,13965.0
31/12/2021,3.0,13968.0
01/01/2022,3.0,13971.0
02/01/2022,3.0,13974.0
03/01/2022,2.0,13976.0
04/01/2022,2.0,13978.0
05/01/2022,2.0,13980.0
06/01/2022,3.0,13983.0
07/01/2022,2.0,13985.0
08/01/2022,2.0,13987.0
09/01/2022,2.0,13989.0
10/01/2022,2.0,13991.0
11/01/2022,2.0,13993.0
12/01/2022,1.0,13994.0
13/01/2022,1.0,13995.0
14/01/2022,1.0,13996.0
15/01/2022,1.0,13997.0
16/01/2022,1.0,13998.0
17/01/2022,1.0,13999.0
18/01/2022,1.0,14000.0
19/01/2022,0.0,14000.0
20/01/2022,0.0,14000.0
21/01/2022,0.0,14000.0
22/01/2022,0.0,14000.0
23/01/2022,0.0,14000.0
24/01/2022,0.0,14000.0
25/01/2022,0.0,14000.0
26/01/2022,0.0,14000.0
27/01/2022,0.0,14000.0
28/01/2022,0.0,14000.0
29/01/2022,0.0,14000.0
30/01/2022,0.0,14000.0
31/01/2022,0.0,14000.0
01/02/2022,0.0,14000.0
02/02/2022,0.0,14000.0
03/02/2022,0.0,14000.0
04/02/2022,0.0,14000.0
05/02/2022,0.0,14000.0
06/02/2022,0.0,14000.0
07/02/2022,0.0,14000.0
08/02/2022,0.0,14000.0
09/02/2022,0.0,14000.0
10/02/2022,0.0,14000.0
11/02/2022,0.0,14000.0
12/02/2022,0.0,14000.0
13/02/2022,0.0,14000.0
14/02/2022,0.0,14000.0
15/02/2022,0.0,14000.0
16/02/2022,0.0,14000.0
17/02/2022,0.0,14000.0
18/02/2022,0.0,14000.0
19/02/2022,0.0,14000.0
20/02/2022,0.0,14000.0
21/02/2022,0.0,14000.0
22/02/2022,0.0,14000.0
23/02/2022,0.0,14000.0
24/02/2022,0.0,14000.0
25/02/2022,0.0,14000.0
26/02/2022,0.0,14000.0
27/02/2022,0.0,14000.0
28/02/2022,0.0,14000.0
01/03/2022,0.0,14000.0
02/03/2022,0.0,14000.0
03/03/2022,0.0,14000.0
04/03/2022,0.0,14000.0
05/03/2022,0.0,14000.0
06/03/2022,0.0,14000.0
07/03/2022,0.0,14000.0
08/03/2022,0.0,14000.0
09/03/2022,0.0,14000.0
10/03/2022,0.0,14000.0
11/03/2022,0.0,14000.0
12/03/2022,0.0,14000.0
13/03/2022,0.0,14000.0
14/03/2022,0.0,14000.0
15/03/2022,0.0,14000.0
16/03/2022,0.0,14000.0
17/03/2022,0.0,14000.0
18/03/2022,0.0,14000.0
19/03/2022,0.0,14000.0
20/03/2022,0.0,14000.0
21/03/2022,0.0,14000.0
22/03/2022,0.0,14000.0
23/03/2022,0.0,14000.0
24/03/2022,0.0,14000.0
25/03/2022,0.0,14000.0
26/03/2022,0.0,14000.0
27/03/2022,0.0,14000.0
28/03/2022,0.0,14000.0
29/03/2022,0.0,14000.0
30/03/2022,0.0,14000.0
31/03/2022,0.0,14000.0
01/04/2022,0.0,14000.0
02/04/2022,0.0,14000.0
03/04/2022,0.0,14000.0
04/04/2022,0.0,14000.0
05/04/2022,0.0,14000.0
06/04/2022,0.0,14000.0
07/04/2022,0.0,14000.0
08/04/2022,0.0,14000.0
09/04/2022,0.0,14000.0
10/04/2022,0.0,14000.0
11/04/2022,0.0,14000.0
12/04/2022,0.0,14000.0
13/04/2022,0.0,14000.0
14/04/2022,0.0,14000.0
15/04/2022,0.0,14000.0
16/04/2022,0.0,14000.0
17/04/2022,0.0,14000.0
18/04/2022,0.0,14000.0
19/04/2022,0.0,14000.0
20/04/2022,0.0,14000.0
21/04/2022,0.0,14000.0
22/04/2022,0.0,14000.0
23/04/2022,0.0,14000.0
24/04/2022,0.0,14000.0
25/04/2022,0.0,14000.0
26/04/2022,0.0,14000.0
27/04/2022,0.0,14000.0
28/04/2022,0.0,14000.0
29/04/2022,0.0,14000.0
30/04/2022,0.0,14000.0
01/05/2022,0.0,14000.0
02/05/2022,0.0,14000.0
03/05/2022,0.0,14000.0
04/05/2022,0.0,14000.0
