Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,male,female,PopulationDensity
2021-12-17,35.5,99.8,2.0,30.8,1.0455617120291762,1.0631215970731425,1.1021610084352922,12.3836155728376,-160626.2519329417,0.1857,98700.0,53200.0,0.145851294,0.177386666,1513.0
2021-12-18,40.1,100.0,2.9,30.7,1.050533406978796,1.0700269320529645,0.987918427263851,11.052847218946663,-166638.9904870683,0.1214,104900.0,58400.0,0.145851294,0.177386666,1513.0
2021-12-19,37.4,100.0,4.9,30.6,1.0469858705261563,1.0650725259318508,1.238308244521292,13.658359812312757,-171962.56268940074,0.1929,112100.0,61900.0,0.145851294,0.177386666,1513.0
2021-12-20,41.1,92.4,3.1,30.4,1.040853387724464,1.0565252783975596,1.3608950998501936,14.210973539556427,-177232.45183583058,0.1,87900.0,49100.0,0.145851294,0.177386666,1513.0
2021-12-21,38.0,83.9,3.1,30.3,1.038228458230788,1.052862408399382,1.2890264561686509,14.111087462253463,-181765.98160190092,0.1857,86400.0,45400.0,0.145851294,0.177386666,1513.0
2021-12-22,34.4,93.7,6.6,30.0,1.0376193267953573,1.0520052682889267,0.9274276818091592,12.226078154624233,-186293.08538448092,0.15,94900.0,46200.0,0.145851294,0.177386666,1513.0
2021-12-23,42.7,97.3,6.7,29.7,1.0570599296411998,1.0790263883686169,0.7443903645074734,9.768146141570718,-188966.36295554903,0.1143,106500.0,49900.0,0.145851294,0.177386666,1513.0
2021-12-24,43.5,96.3,6.4,29.6,1.0630732004750305,1.0873622437461012,0.1069788097922521,2.602019619819273,-189680.3582769032,0.1214,79900.0,33800.0,0.145851294,0.177386666,1513.0
2021-12-25,39.6,79.0,9.1,29.7,1.0653557779037344,1.0905073462024175,0.5112243522825837,7.658176337973452,-189685.261484652,0.0786,30800.0,10100.0,0.145851294,0.177386666,1513.0
2021-12-26,38.7,97.9,5.3,29.6,1.0635196363479469,1.0879291198070171,0.7701813288008263,12.672390523023353,-189741.4559956759,0.1429,105600.0,47600.0,0.145851294,0.177386666,1513.0
2021-12-27,43.6,99.7,5.3,29.3,1.0534392479900463,1.0739050519241635,0.7328317088430008,12.148887577204368,-190412.3229002255,0.1429,143000.0,68500.0,0.145851294,0.177386666,1513.0
2021-12-28,46.9,94.3,6.8,29.2,1.0256377822709066,1.0352831914299978,0.7250665212135308,13.183722219452507,-191430.44880812967,0.1786,147700.0,68600.0,0.145851294,0.177386666,1513.0
2021-12-29,46.3,90.9,9.4,29.5,1.0437585190468648,1.060438801972664,0.5077565795289865,10.913951886379714,-193839.6855769925,0.15,139000.0,64700.0,0.145851294,0.177386666,1513.0
2021-12-30,56.4,88.6,14.7,29.7,1.0694873505577098,1.0961358427818555,0.2331091319518513,6.840002101339308,-195929.6195797237,0.1214,126400.0,59800.0,0.145851294,0.177386666,1513.0
2021-12-31,56.1,84.6,14.1,29.8,1.0746753073113156,1.1033031525569357,0.0835714704765061,3.0340012460540966,-196706.7790114274,0.2714,106000.0,51400.0,0.145851294,0.177386666,1513.0
2022-01-01,55.1,84.2,14.6,29.9,1.0997216138298078,1.137999725920677,0.3426276216532362,5.610676546560304,-196736.72157249265,0.1333,115500.0,55800.0,0.145851294,0.177386666,1513.0
2022-01-02,49.2,86.7,13.0,29.7,1.0806349962724449,1.11148595512977,0.519436542449885,7.524645559189492,-197273.40975829703,0.1571,167500.0,87700.0,0.145851294,0.177386666,1513.0
2022-01-03,46.4,81.7,13.1,29.6,1.0624774974370486,1.08628558926428,0.3944465886653744,8.34207732106377,-197698.2174075312,0.1857,158800.0,77600.0,0.145851294,0.177386666,1513.0
2022-01-04,36.7,80.0,10.8,29.5,1.037492114468408,1.0516415467944993,0.3533445243738442,5.7640714629511205,-198566.5342034033,0.1643,135300.0,63200.0,0.145851294,0.177386666,1513.0
2022-01-05,37.3,71.9,11.9,29.9,1.0588915338306708,1.081281891983815,0.3441665222518888,3.128152583857464,-199665.58573253968,0.2929,117100.0,52500.0,0.145851294,0.177386666,1513.0
2022-01-06,33.7,88.2,11.3,29.9,1.0771091365653414,1.1064921563942247,0.3284102141140961,0.0132418401179432,-200798.8060331028,0.15,108600.0,47700.0,0.145851294,0.177386666,1513.0
2022-01-07,36.2,85.2,9.9,29.7,1.0923695453993527,1.1275841437055043,0.2503668766694155,-1.901089906218676,-201733.4788449861,0.1643,127500.0,53300.0,0.145851294,0.177386666,1513.0
2022-01-08,40.3,89.8,10.9,29.4,1.0686918775252676,1.0947710681380525,0.2847695909474762,-1.75261902698313,-203207.73395543275,0.1,130600.0,56500.0,0.145851294,0.177386666,1513.0
2022-01-09,40.5,85.9,9.6,29.5,1.0530644654994588,1.0731219969432524,0.3932729801248954,0.1333591200460988,-204165.0812659801,0.3,150000.0,62400.0,0.145851294,0.177386666,1513.0
2022-01-10,43.8,89.2,8.1,30.0,1.0336840613209717,1.0462921910496306,0.3937432764005288,-1.2785131876319564,-204787.71030753647,0.1357,83500.0,36300.0,0.145851294,0.177386666,1513.0
2022-01-11,44.8,89.1,6.8,30.4,1.0242669501261978,1.0332568989421442,0.4944846007905004,-2.1124079344421367,-205436.6072214256,0.1643,63500.0,27600.0,0.145851294,0.177386666,1513.0
2022-01-12,38.1,93.6,5.8,30.7,1.024176888990077,1.0331292409894186,0.5434292142920141,-2.5783316137479564,-206392.57647545767,0.3533,62300.0,27300.0,0.145851294,0.177386666,1513.0
2022-01-13,37.6,93.2,6.4,30.7,1.0365086892834046,1.0501849422413725,0.6297230998450939,-3.816108345852159,-207118.6551736752,0.36,68500.0,31600.0,0.145851294,0.177386666,1513.0
2022-01-14,35.0,93.5,3.4,30.6,1.0302099306650068,1.0414662948357505,0.6809700330136197,-4.501773855906468,-207625.9971693997,0.3533,83100.0,36800.0,0.145851294,0.177386666,1513.0
2022-01-15,30.8,99.2,5.0,30.3,1.0265324808052316,1.0363757566110672,0.7470835372874838,-3.0027947780220696,-208266.23174167765,0.2143,88900.0,44200.0,0.145851294,0.177386666,1513.0
2022-01-16,41.2,89.6,7.1,30.3,1.023703836501937,1.0324604947312943,0.6646049535463459,-0.1597662671607462,-208635.6460211859,0.3,101100.0,50400.0,0.145851294,0.177386666,1513.0
2022-01-17,39.5,84.7,4.8,30.6,1.0194007847567237,1.0265074062308044,0.7458015599648778,-0.6026608020100865,-209089.16040582283,0.38,70700.0,32900.0,0.145851294,0.177386666,1513.0
2022-01-18,33.5,94.5,4.7,30.6,1.0163073963880225,1.0222281813012706,0.7914952158821235,-0.5556746754449893,-209641.6156477988,0.2533,54800.0,25900.0,0.145851294,0.177386666,1513.0
2022-01-19,41.4,84.4,11.6,30.3,1.0231325687739,1.0316636128112049,0.8376267728280291,-1.3252237090436796,-210278.80157900765,0.2333,51900.0,23900.0,0.145851294,0.177386666,1513.0
2022-01-20,37.6,69.8,10.0,30.6,1.0335022311682704,1.0459963161474766,0.8886333446999939,-1.699651468965402,-210852.3595727177,0.42,65600.0,32500.0,0.145851294,0.177386666,1513.0
2022-01-21,38.5,82.3,9.0,30.6,1.029082005028895,1.0398809295726807,0.9340492049965824,-2.5193533973586053,-211521.70976156116,0.22,79900.0,37000.0,0.145851294,0.177386666,1513.0
2022-01-22,42.0,84.0,7.5,30.6,1.0270659599550418,1.0370903295977112,0.9570600609296374,-0.4187397241867137,-211959.01678443933,0.2067,86800.0,49000.0,0.145851294,0.177386666,1513.0
2022-01-23,40.7,87.0,6.3,30.5,1.0235213197347006,1.03218798689696,0.97839397938075,1.3923867955946467,-212330.7793345508,0.12,104400.0,57900.0,0.145851294,0.177386666,1513.0
2022-01-24,36.4,90.2,6.5,30.5,1.0188468709081628,1.0257254836402372,0.9720758005575988,0.1074528786335968,-212803.206831401,0.12,73900.0,38400.0,0.145851294,0.177386666,1513.0
2022-01-25,34.8,92.1,6.5,30.5,1.0162611220422828,1.0221505691961643,1.0215565180421422,0.3384914871045489,-213178.078645258,0.1067,53900.0,26200.0,0.145851294,0.177386666,1513.0
2022-01-26,40.8,84.5,9.7,30.4,1.0237880783682547,1.0325499227287789,1.031422207993379,-0.3671890415901888,-213677.9483769276,0.3467,55800.0,27200.0,0.145851294,0.177386666,1513.0
