FID,LAD20NM,R0orig,R0alp,R0dlt,R0omi
90,Denbighshire,1.08238117,1.670290404,1.907198477,4.275545805
91,Derby,1.071190049,1.591590826,1.942582039,2.894263909
92,Derbyshire Dales,1.116686913,1.734292902,2.080230724,3.864723923
93,Derry City and Strabane,1.086931694,1.651407472,1.750702821,4.168589784
94,Doncaster,1.091208817,1.588546768,1.845615883,2.856200817
95,Dorset,1.093030351,1.660374906,2.018213082,3.1490038
96,Dover,1.095381443,1.520423533,2.040461297,3.538058858
97,Dudley,1.058333939,1.551476163,1.857699544,2.844308096
98,Dumfries and Galloway,1.07351683,1.733634138,2.01394842,3.765702748
99,Dundee City,1.062401208,1.712862518,1.776744594,3.527848921
100,Ealing,1.14521302,1.521243825,1.801956821,3.108552526
101,East Ayrshire,1.0967139,1.718339837,1.88371513,3.347782991
102,East Cambridgeshire,1.111722532,1.673309824,2.031589668,3.929257516
103,East Devon,1.115707649,1.63091307,2.102154911,3.607861781
104,East Dunbartonshire,1.094659182,1.762484915,1.824517114,3.538107165
105,East Hampshire,1.117376077,1.696040248,2.07678472,3.407629964
106,East Hertfordshire,1.115294044,1.632245543,2.060570333,3.330618545
107,East Lindsey,1.094923083,1.670560231,2.008169824,3.403715602
108,East Lothian,1.08133599,1.737442554,1.803482237,3.949951584
109,East Northamptonshire,1.114241083,1.711080063,1.960248922,3.638166563
110,East Renfrewshire,1.10407027,1.766545581,1.793319441,3.380704712
111,East Riding of Yorkshire,1.106237186,1.6037886,1.847697006,2.97675076
112,East Staffordshire,1.09904303,1.619237299,1.987274227,3.499410845
113,East Suffolk,1.089586716,1.647102141,2.061279327,3.119949449
114,Eastbourne,1.13121107,1.617669257,2.137917329,3.375618404
115,Eastleigh,1.115895904,1.73863628,2.089286522,3.487163578
116,Eden,1.118572062,1.679597645,2.047072499,3.896120131
117,Elmbridge,1.089479228,1.646398194,2.011469835,3.423858882
118,Enfield,1.109370397,1.505310134,1.909281292,2.996870647
119,Epping Forest,1.088806882,1.574093718,2.034231094,3.166385705
120,Epsom and Ewell,1.096049286,1.631185888,1.947551759,3.551009844
121,Erewash,1.119102118,1.731037009,1.941096832,3.275741626
122,Exeter,1.111995178,1.687982621,2.016714658,3.587766626
123,Falkirk,1.120562898,1.763620383,1.9044357,3.267855878
124,Fareham,1.112521187,1.683450954,2.019047856,3.435324462
125,Fenland,1.124560144,1.696400793,2.078581271,3.357219382
126,Fermanagh and Omagh,1.122572861,1.60575184,1.870102884,4.395527022
127,Fife,1.070901595,1.652529356,1.809494527,3.032009183
128,Flintshire,1.094579864,1.61465961,2.011373497,3.231711919
129,Folkestone and Hythe,1.111163761,1.518660318,2.016444219,3.641297113
130,Forest of Dean,1.105483206,1.636697303,1.976523024,3.879222702
131,Fylde,1.101968054,1.766081345,1.881279441,3.455315482
132,Gateshead,1.055332565,1.705053515,1.854556924,3.033229713
133,Gedling,1.126471584,1.667435135,1.948670515,3.240346283
134,Glasgow City,1.047247778,1.555585394,1.610018018,2.780799325
135,Gloucester,1.095348703,1.63946767,1.908228175,3.394616728
136,Gosport,1.115732852,1.681582615,2.076390631,3.738823246
137,Gravesham,1.07798189,1.542434571,1.989709678,3.576333064
138,Great Yarmouth,1.085832176,1.606854827,2.073763787,3.722446977
139,Greenwich,1.045429211,1.556964162,1.84416825,3.04463701
140,Guildford,1.104510061,1.650307268,2.063642507,3.396196977
141,Gwynedd,1.082606098,1.756192957,2.000931161,3.955858868
142,Hackney,1.081533106,1.559806643,1.929999852,2.681750067
143,Halton,1.082767066,1.678198042,1.984788256,3.222294754
144,Hambleton,1.111638424,1.746902335,2.100883488,3.522067859
145,Hammersmith and Fulham,1.066097402,1.637769109,1.895041753,3.146081862
146,Harborough,1.122784943,1.722557818,2.046742083,3.360654496
147,Haringey,1.056755845,1.53879701,1.892288801,3.234792465
148,Harlow,1.08668465,1.611635869,2.070963107,3.442981282
149,Harrogate,1.09950041,1.715663422,1.93078947,3.22526265
150,Harrow,1.055207124,1.558454895,1.884437324,3.020912438
151,Hart,1.108331251,1.696143349,1.951287139,3.507323241
152,Hartlepool,1.087526237,1.631602322,2.04717604,3.665677274
153,Hastings,1.131178222,1.505809535,2.048942331,3.879414035
154,Havant,1.11196793,1.620821547,2.026910363,3.407954809
155,Havering,1.034120644,1.481528627,1.947608942,2.8933107
156,"Herefordshire, County of",1.128238975,1.713974603,1.943412793,3.176619667
157,Hertsmere,1.083258587,1.633325649,1.995141942,3.335516414
158,High Peak,1.141135323,1.713486056,1.939564517,3.494270058
159,Highland,1.103896284,1.792815933,1.867763727,3.400757122
160,Hillingdon,1.059688878,1.550830138,1.785169355,3.099683301
161,Hinckley and Bosworth,1.096958495,1.709883609,1.965318285,3.348783121
162,Horsham,1.104454739,1.677271058,2.037990418,3.52915553
163,Hounslow,1.061581395,1.566778034,1.789575191,3.079890083
