,Unnamed: 0,areaType,areaName,areaCode,date,newWeeklyNsoDeathsByRegDate,cumWeeklyNsoDeathsByRegDate
55,64,overview,United Kingdom,K02000001,2021-04-02,450,150422
56,63,overview,United Kingdom,K02000001,2021-04-09,422,150844
57,62,overview,United Kingdom,K02000001,2021-04-16,402,151246
58,61,overview,United Kingdom,K02000001,2021-04-23,290,151536
59,60,overview,United Kingdom,K02000001,2021-04-30,232,151768
60,59,overview,United Kingdom,K02000001,2021-05-07,139,151907
61,58,overview,United Kingdom,K02000001,2021-05-14,164,152071
62,57,overview,United Kingdom,K02000001,2021-05-21,115,152186
63,56,overview,United Kingdom,K02000001,2021-05-28,106,152292
64,55,overview,United Kingdom,K02000001,2021-06-04,108,152400
65,54,overview,United Kingdom,K02000001,2021-06-11,93,152493
66,53,overview,United Kingdom,K02000001,2021-06-18,116,152609
67,52,overview,United Kingdom,K02000001,2021-06-25,118,152727
68,51,overview,United Kingdom,K02000001,2021-07-02,132,152859
69,50,overview,United Kingdom,K02000001,2021-07-09,217,153076
70,49,overview,United Kingdom,K02000001,2021-07-16,268,153344
71,48,overview,United Kingdom,K02000001,2021-07-23,392,153736
72,47,overview,United Kingdom,K02000001,2021-07-30,468,154204
73,46,overview,United Kingdom,K02000001,2021-08-06,612,154816
74,45,overview,United Kingdom,K02000001,2021-08-13,652,155468
75,44,overview,United Kingdom,K02000001,2021-08-20,654,156122
76,43,overview,United Kingdom,K02000001,2021-08-27,770,156892
77,42,overview,United Kingdom,K02000001,2021-09-03,781,157673
78,41,overview,United Kingdom,K02000001,2021-09-10,998,158671
79,40,overview,United Kingdom,K02000001,2021-09-17,1049,159720
80,39,overview,United Kingdom,K02000001,2021-09-24,1110,160830
81,38,overview,United Kingdom,K02000001,2021-10-01,974,161804
82,37,overview,United Kingdom,K02000001,2021-10-08,825,162629
83,36,overview,United Kingdom,K02000001,2021-10-15,892,163521
84,35,overview,United Kingdom,K02000001,2021-10-22,975,164496
85,34,overview,United Kingdom,K02000001,2021-10-29,1044,165540
86,33,overview,United Kingdom,K02000001,2021-11-05,1194,166734
87,32,overview,United Kingdom,K02000001,2021-11-12,1198,167932
88,31,overview,United Kingdom,K02000001,2021-11-19,1090,169022
89,30,overview,United Kingdom,K02000001,2021-11-26,980,170002
90,29,overview,United Kingdom,K02000001,2021-12-03,912,170914
91,28,overview,United Kingdom,K02000001,2021-12-10,888,171802
92,27,overview,United Kingdom,K02000001,2021-12-17,856,172658
93,26,overview,United Kingdom,K02000001,2021-12-24,935,173593
94,25,overview,United Kingdom,K02000001,2021-12-31,640,174233
95,24,overview,United Kingdom,K02000001,2022-01-07,1023,175256
96,23,overview,United Kingdom,K02000001,2022-01-14,1561,176817
97,22,overview,United Kingdom,K02000001,2022-01-21,1673,178490
98,21,overview,United Kingdom,K02000001,2022-01-28,1545,180035
99,20,overview,United Kingdom,K02000001,2022-02-04,1391,181426
100,19,overview,United Kingdom,K02000001,2022-02-11,1186,182612
101,18,overview,United Kingdom,K02000001,2022-02-18,970,183582
102,17,overview,United Kingdom,K02000001,2022-02-25,879,184461
103,16,overview,United Kingdom,K02000001,2022-03-04,816,185277
104,15,overview,United Kingdom,K02000001,2022-03-11,821,186098
105,14,overview,United Kingdom,K02000001,2022-03-18,829,186927
106,13,overview,United Kingdom,K02000001,2022-03-25,1006,187933
107,12,overview,United Kingdom,K02000001,2022-04-01,1063,188996
108,11,overview,United Kingdom,K02000001,2022-04-08,1134,190130
109,10,overview,United Kingdom,K02000001,2022-04-15,1152,191282
110,9,overview,United Kingdom,K02000001,2022-04-22,1185,192467
111,8,overview,United Kingdom,K02000001,2022-04-29,1249,193716
112,7,overview,United Kingdom,K02000001,2022-05-06,838,194554
113,6,overview,United Kingdom,K02000001,2022-05-13,796,195350
114,5,overview,United Kingdom,K02000001,2022-05-20,615,195965
115,4,overview,United Kingdom,K02000001,2022-05-27,469,196434
116,3,overview,United Kingdom,K02000001,2022-06-03,211,196645
117,2,overview,United Kingdom,K02000001,2022-06-10,335,196980
118,1,overview,United Kingdom,K02000001,2022-06-17,309,197289
119,0,overview,United Kingdom,K02000001,2022-06-24,346,197635
