Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2021-05-19,55.3,72.7,10.3,29.9,1.0016601295876228,1.0073272037512808,6.458894344659767,,2.0633,14800.0,4000.0,1784.0,53.539916735572746,-2.9974618752999835
2021-05-20,52.8,87.2,14.8,29.6,1.0018435581704284,0.915082108977238,3.7906999492825904,,1.01,16200.0,4800.0,1784.0,53.53991672228982,-2.9974617710157005
2021-05-21,54.7,91.8,16.8,29.1,1.0017393199574656,0.8692525877225602,3.0987359569884716,,0.84,23500.0,7900.0,1784.0,53.539916770233816,-2.997461935576307
2021-05-22,51.6,74.4,11.0,29.5,1.0021258331657217,0.9918527777389158,3.5912076855308364,,1.43,18700.0,6300.0,1784.0,53.53991683954661,-2.9974617883872976
2021-05-23,51.5,82.1,11.0,29.5,1.001702914475923,1.036170113367143,5.264662194008974,,1.3567,24000.0,7400.0,1784.0,53.53991678954262,-2.9974617420270144
2021-05-24,52.6,78.0,9.8,29.5,1.0017441233759683,1.1260094737774826,6.406160948135387,,1.3333,18000.0,6000.0,1784.0,53.539916757277226,-2.9974617342309853
2021-05-25,55.1,75.3,18.4,29.8,1.0009776740572596,1.080619286489834,4.752550487971681,,1.1167,14500.0,5100.0,1784.0,53.539916850851924,-2.99746186751631
2021-05-26,54.8,78.8,9.6,29.9,1.0021256978000603,1.2132780011146918,7.322399433716008,,1.9367,18900.0,6900.0,1784.0,53.5399168365091,-2.997461749637991
2021-05-27,58.6,71.5,5.6,30.0,1.0021101320705441,1.124144468815792,5.311546422537282,,2.2267,19300.0,7800.0,1784.0,53.53991672111627,-2.9974615593570775
2021-05-28,60.8,72.1,3.5,30.1,1.0019016145035171,1.0373227541589165,3.3022366011382682,,1.4417,28600.0,11100.0,1784.0,53.5399167690258,-2.9974618790962935
2021-05-29,63.5,78.4,4.1,30.2,1.0021031481488256,1.188203965431228,6.463420529283695,,2.3033,28500.0,14100.0,1784.0,53.53991661058746,-2.997461788959665
2021-05-30,64.3,66.1,6.0,30.2,1.0018880569400666,1.184634267740372,5.7258376315762005,,2.5833,37800.0,20400.0,1784.0,53.53991676645744,-2.9974619187685105
2021-05-31,61.2,74.3,8.4,30.1,1.0013771767374966,1.4059818713905043,9.075439655305443,,2.6667,26400.0,11200.0,1784.0,53.53991674254684,-2.9974619865690055
2021-06-01,68.9,62.2,8.2,29.9,1.0013961838908747,1.5524879082817018,10.173178971465472,,3.0967,25600.0,10800.0,1784.0,53.53991683200821,-2.9974618115602785
2021-06-02,70.3,64.1,12.0,29.8,1.0018526366099505,1.5572191469115082,8.996256440215744,,2.0452,24500.0,10000.0,1784.0,53.53991675381575,-2.9974619261553315
2021-06-03,64.3,78.8,8.0,29.9,1.0023284783083133,1.524567205380371,8.165182023045912,,2.4194,26200.0,11500.0,1784.0,53.53991690084878,-2.997461934372536
2021-06-04,61.2,64.8,5.7,30.1,1.0017163931478117,1.3620673080177153,6.012663801715959,,1.0839,35500.0,16700.0,1784.0,53.53991674695322,-2.997461891702915
2021-06-05,64.6,66.3,5.2,30.1,1.0020125812460734,1.5215220855964675,7.506206693487733,,2.4688,40400.0,20700.0,1784.0,53.53991683439539,-2.9974617555331338
2021-06-06,65.1,67.6,6.8,30.2,1.0018148232473725,1.6912758505139185,9.033547154958569,,2.2188,46900.0,22700.0,1784.0,53.53991682851543,-2.9974618571497444
2021-06-07,64.9,70.2,5.5,30.1,1.0014491160697547,1.9184476747329209,10.040082163478713,,2.2344,33700.0,16700.0,1784.0,53.53991698187381,-2.997461674050564
2021-06-08,64.7,67.3,6.1,30.1,1.001255506774246,1.5925835889222215,6.984475477493758,,3.0,21600.0,8900.0,1784.0,53.53991694082558,-2.997461988302056
2021-06-09,67.7,73.6,8.2,30.0,1.0012075250985533,2.032730153119253,9.657451215606724,,3.1781,23600.0,9900.0,1784.0,53.539916727787094,-2.9974618149543852
2021-06-10,70.0,76.4,10.2,30.0,1.0018226402074355,1.7563202172689936,7.1830452609781075,,2.1063,23400.0,9800.0,1784.0,53.539916836053266,-2.9974617199829456
