Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,male,female,PopulationDensity
2021-12-13,47.9,89.8,3.9,29.8,1.007529310748771,1.0085603118373332,2.67984531822107,1.0020943443391634,0.25,84500.0,52000.0,0.2002946874403121,0.229718122492589,342.0
2021-12-14,46.1,95.8,4.0,29.9,1.0123498133960194,1.0141238604205158,3.214569757338764,1.0034764018246216,0.15,69300.0,39100.0,0.2002946874403121,0.229718122492589,342.0
2021-12-15,46.9,89.7,5.1,30.1,1.0116776114665755,1.013347653483861,2.806650036494042,26.03043750012671,0.1214,73800.0,41800.0,0.2002946874403121,0.229718122492589,342.0
2021-12-16,44.3,94.1,2.1,30.3,1.012149454274766,1.0138918516362527,2.51890794329639,18.32869131968456,0.1071,79800.0,44900.0,0.2002946874403121,0.229718122492589,342.0
2021-12-17,40.7,94.1,1.9,30.5,1.0112707286813505,1.0128773593738156,2.2255982749508543,1.00316826952587,0.1857,98700.0,53200.0,0.2002946874403121,0.229718122492589,342.0
2021-12-18,41.1,93.6,2.3,30.4,1.010259521155635,1.0117100542240631,2.1817210981826887,1.0028786133987906,0.1214,104900.0,58400.0,0.2002946874403121,0.229718122492589,342.0
2021-12-19,34.4,97.8,1.4,30.3,1.008745436063592,1.0099624950714663,4.053556276993885,1.0024446210919298,0.1929,112100.0,61900.0,0.2002946874403121,0.229718122492589,342.0
2021-12-20,39.0,90.1,2.5,30.1,1.0098511162745063,1.0112382574291168,4.4815690032957445,1.0027620270501452,0.1,87900.0,49100.0,0.2002946874403121,0.229718122492589,342.0
2021-12-21,38.2,77.7,3.1,30.0,1.0143285334998269,1.016404775624221,4.817776950358756,1.0040469402871184,0.1857,86400.0,45400.0,0.2002946874403121,0.229718122492589,342.0
2021-12-22,37.5,83.4,4.5,29.7,1.0128277038098377,1.0146724168425452,4.235623762577735,1.003616861690456,0.15,94900.0,46200.0,0.2002946874403121,0.229718122492589,342.0
2021-12-23,44.5,93.7,4.7,29.4,1.0134609940651094,1.0154027412886022,3.4685456279475937,1.0037990993630188,0.1143,106500.0,49900.0,0.2002946874403121,0.229718122492589,342.0
2021-12-24,45.6,90.2,6.1,29.4,1.0125117626648068,1.014307008421832,1.1605617231355456,1.0035271633159883,0.1214,79900.0,33800.0,0.2002946874403121,0.229718122492589,342.0
2021-12-25,40.0,81.4,10.9,29.4,1.011072310730878,1.0126457363343992,2.089029196558477,1.003114396915283,0.0786,30800.0,10100.0,0.2002946874403121,0.229718122492589,342.0
2021-12-26,40.1,91.9,4.6,29.3,1.009764208145111,1.0111361342836491,4.229751221349256,1.0027392035522196,0.1429,105600.0,47600.0,0.2002946874403121,0.229718122492589,342.0
2021-12-27,44.7,92.9,4.5,29.0,1.0107815614441211,1.0123096989568805,4.3171282703086025,1.0030315809131751,0.1429,143000.0,68500.0,0.2002946874403121,0.229718122492589,342.0
