date,alpha,original
06/08/2020,0,269628
07/08/2020,0,270520
08/08/2020,0,271168
09/08/2020,0,271737
10/08/2020,0,273112
11/08/2020,0,274359
12/08/2020,0,275485
13/08/2020,0,276521
14/08/2020,0,277580
15/08/2020,0,278236
16/08/2020,0,278770
17/08/2020,0,279929
18/08/2020,0,280884
19/08/2020,0,281993
20/08/2020,0,283247
21/08/2020,0,284278
22/08/2020,0,285010
23/08/2020,0,285714
24/08/2020,0,286871
25/08/2020,0,287956
26/08/2020,0,289137
27/08/2020,0,290493
28/08/2020,0,291888
29/08/2020,0,292939
30/08/2020,0,293926
31/08/2020,0,295205
01/09/2020,0,297167
02/09/2020,0,299863
03/09/2020,0,302579
04/09/2020,0,305216
05/09/2020,0,307416
06/09/2020,0,309495
07/09/2020,0,313025
08/09/2020,0,316096
09/09/2020,0,318989
10/09/2020,0,322132
11/09/2020,0,325025
12/09/2020,0,327249
13/09/2020,0,328971
14/09/2020,0,331912
15/09/2020,0,334969
16/09/2020,0,338747
17/09/2020,0,342726
18/09/2020,0,347016
19/09/2020,0,351231
20/09/2020,0,355883
21/09/2020,0,360610
22/09/2020,0,366010
23/09/2020,0,371943
24/09/2020,0,378304
25/09/2020,0,384409
26/09/2020,0,390112
27/09/2020,0,396196
28/09/2020,0,404837
29/09/2020,0,413670
30/09/2020,0,424333
01/10/2020,13,435765
02/10/2020,13,447484
03/10/2020,13,457304
04/10/2020,13,467271
05/10/2020,13,481491
06/10/2020,13,495949
07/10/2020,13,511369
08/10/2020,26,526810
09/10/2020,39,539966
10/10/2020,39,550271
11/10/2020,88,560014
12/10/2020,101,576460
13/10/2020,101,592139
14/10/2020,101,608798
15/10/2020,151,624209
16/10/2020,151,638993
17/10/2020,164,651473
18/10/2020,164,663474
19/10/2020,164,685897
20/10/2020,190,707576
21/10/2020,414,729185
22/10/2020,597,748890
23/10/2020,675,767191
24/10/2020,753,780856
25/10/2020,779,794193
26/10/2020,805,817200
27/10/2020,845,837931
28/10/2020,845,858484
29/10/2020,1083,878538
30/10/2020,1230,898296
31/10/2020,1297,912823
01/11/2020,1866,925896
02/11/2020,2749,953485
03/11/2020,2844,976126
04/11/2020,2925,997126
05/11/2020,4343,1016953
06/11/2020,4884,1037646
07/11/2020,4912,1054524
08/11/2020,6354,1071362
09/11/2020,6942,1099380
10/11/2020,7108,1124089
11/11/2020,7724,1148573
12/11/2020,9886,1168781
13/11/2020,12625,1188100
14/11/2020,14530,1202520
15/11/2020,15884,1215613
16/11/2020,16063,1239624
17/11/2020,17591,1258816
18/11/2020,19094,1275900
19/11/2020,20342,1290482
20/11/2020,20926,1304892
21/11/2020,21787,1314860
22/11/2020,23005,1323876
23/11/2020,25625,1337786
24/11/2020,28455,1349248
25/11/2020,31827,1360074
26/11/2020,35294,1369122
27/11/2020,39251,1377667
28/11/2020,42585,1383699
29/11/2020,46180,1389194
30/11/2020,52833,1397836
01/12/2020,59378,1405084
02/12/2020,66437,1411759
03/12/2020,73537,1417487
04/12/2020,81304,1422817
05/12/2020,87835,1426612
06/12/2020,95274,1430243
07/12/2020,107883,1435356
08/12/2020,120627,1439581
09/12/2020,134676,1443304
10/12/2020,150331,1446510
11/12/2020,167152,1449901
12/12/2020,180730,1452595
13/12/2020,196143,1455604
14/12/2020,221346,1460444
15/12/2020,246317,1465161
16/12/2020,272174,1469965
17/12/2020,297678,1474623
18/12/2020,325166,1479559
19/12/2020,344032,1482888
20/12/2020,369219,1487255
21/12/2020,406341,1493579
22/12/2020,442099,1499562
23/12/2020,475066,1504978
24/12/2020,500285,1509045
25/12/2020,511444,1510812
26/12/2020,543869,1515848
27/12/2020,581400,1521566
28/12/2020,616934,1526876
29/12/2020,681527,1536339
30/12/2020,737704,1544405
31/12/2020,779628,1550303
01/01/2021,805009,1553801
02/01/2021,853847,1560391
03/01/2021,898598,1566301
04/01/2021,961400,1574417
05/01/2021,1014309,1581105
06/01/2021,1061257,1586908
07/01/2021,1104201,1592096
08/01/2021,1143103,1596687
09/01/2021,1175759,1600450
10/01/2021,1206096,1603862
11/01/2021,1254322,1609154
12/01/2021,1295846,1613598
13/01/2021,1334151,1617593
14/01/2021,1370153,1621250
15/01/2021,1404567,1624713
16/01/2021,1430353,1627338
17/01/2021,1454914,1627338
18/01/2021,1493214,1627338
19/01/2021,1527165,1627338
20/01/2021,1557199,1627338
21/01/2021,1584518,1627338
22/01/2021,1610173,1627338
23/01/2021,1629121,1627338
24/01/2021,1643901,1627338
25/01/2021,1670009,1627338
