date,cumDeaths
28/12/2021,130191
29/12/2021,130296
30/12/2021,130472
31/12/2021,130621
01/01/2022,130784
02/01/2022,130939
03/01/2022,131100
04/01/2022,131280
05/01/2022,131476
06/01/2022,131699
07/01/2022,131929
08/01/2022,132148
09/01/2022,132383
10/01/2022,132631
11/01/2022,132878
12/01/2022,133103
13/01/2022,133337
14/01/2022,133589
15/01/2022,133845
16/01/2022,134095
17/01/2022,134355
18/01/2022,134609
19/01/2022,134852
20/01/2022,135082
21/01/2022,135354
22/01/2022,135609
23/01/2022,135834
24/01/2022,136084
25/01/2022,136296
26/01/2022,136535
27/01/2022,136799
28/01/2022,137022
29/01/2022,137260
30/01/2022,137477
31/01/2022,137709
01/02/2022,137937
02/02/2022,138166
03/02/2022,138370
04/02/2022,138549
05/02/2022,138745
06/02/2022,138934
07/02/2022,139090
08/02/2022,139255
09/02/2022,139416
10/02/2022,139580
11/02/2022,139729
12/02/2022,139879
13/02/2022,140034
14/02/2022,140202
15/02/2022,140351
16/02/2022,140503
17/02/2022,140644
18/02/2022,140773
19/02/2022,140909
20/02/2022,141053
21/02/2022,141176
22/02/2022,141293
23/02/2022,141414
24/02/2022,141554
25/02/2022,141674
26/02/2022,141791
27/02/2022,141898
28/02/2022,142017
01/03/2022,142126
02/03/2022,142255
03/03/2022,142392
04/03/2022,142502
05/03/2022,142610
06/03/2022,142717
07/03/2022,142836
08/03/2022,142967
09/03/2022,143092
10/03/2022,143219
11/03/2022,143341
12/03/2022,143469
13/03/2022,143596
14/03/2022,143756
15/03/2022,143892
16/03/2022,144037
17/03/2022,144200
18/03/2022,144362
19/03/2022,144513
20/03/2022,144671
21/03/2022,144817
22/03/2022,145004
23/03/2022,145167
24/03/2022,145341
25/03/2022,145521
26/03/2022,145707
27/03/2022,145893
28/03/2022,146080
29/03/2022,146283
30/03/2022,146497
31/03/2022,146723
01/04/2022,146939
02/04/2022,147193
03/04/2022,147425
04/04/2022,147637
05/04/2022,147862
06/04/2022,148106
07/04/2022,148354
08/04/2022,148622
09/04/2022,148861
10/04/2022,149105
11/04/2022,149342
12/04/2022,149597
13/04/2022,149856
14/04/2022,150094
15/04/2022,150310
16/04/2022,150537
17/04/2022,150758
18/04/2022,150983
19/04/2022,151159
20/04/2022,151365
21/04/2022,151549
22/04/2022,151740
23/04/2022,151917
24/04/2022,152076
25/04/2022,152240
26/04/2022,152393
27/04/2022,152555
28/04/2022,152724
29/04/2022,152875
30/04/2022,153038
01/05/2022,153194
02/05/2022,153333
03/05/2022,153452
04/05/2022,153574
05/05/2022,153691
06/05/2022,153814
07/05/2022,153931
08/05/2022,154036
09/05/2022,154141
10/05/2022,154248
11/05/2022,154339
12/05/2022,154440
13/05/2022,154529
14/05/2022,154609
15/05/2022,154693
16/05/2022,154761
17/05/2022,154845
18/05/2022,154902
19/05/2022,154960
20/05/2022,155025
21/05/2022,155088
22/05/2022,155150
23/05/2022,155212
24/05/2022,155258
25/05/2022,155302
26/05/2022,155364
27/05/2022,155418
28/05/2022,155470
29/05/2022,155507
30/05/2022,155563
31/05/2022,155620
01/06/2022,155659
02/06/2022,155706
03/06/2022,155740
04/06/2022,155789
05/06/2022,155834
06/06/2022,155885
07/06/2022,155923
08/06/2022,155965
09/06/2022,155999
10/06/2022,156051
11/06/2022,156093
12/06/2022,156123
