date,cumDeaths
31/01/2021,97185
01/02/2021,97995
02/02/2021,98758
03/02/2021,99542
04/02/2021,100194
05/02/2021,100872
06/02/2021,101484
07/02/2021,102054
08/02/2021,102668
09/02/2021,103210
10/02/2021,103755
11/02/2021,104268
12/02/2021,104727
13/02/2021,105159
14/02/2021,105598
15/02/2021,106060
16/02/2021,106458
17/02/2021,106843
18/02/2021,107211
19/02/2021,107527
20/02/2021,107832
21/02/2021,108119
22/02/2021,108361
23/02/2021,108619
24/02/2021,108860
25/02/2021,109082
26/02/2021,109279
27/02/2021,109476
28/02/2021,109676
01/03/2021,109868
02/03/2021,110025
03/03/2021,110151
04/03/2021,110281
05/03/2021,110437
06/03/2021,110566
07/03/2021,110681
08/03/2021,110803
09/03/2021,110920
10/03/2021,111019
11/03/2021,111129
12/03/2021,111211
13/03/2021,111309
14/03/2021,111392
15/03/2021,111480
16/03/2021,111549
17/03/2021,111615
18/03/2021,111666
19/03/2021,111722
20/03/2021,111781
21/03/2021,111852
22/03/2021,111912
23/03/2021,111960
24/03/2021,111995
25/03/2021,112033
26/03/2021,112074
27/03/2021,112106
28/03/2021,112133
29/03/2021,112160
30/03/2021,112198
31/03/2021,112235
01/04/2021,112264
02/04/2021,112286
03/04/2021,112313
04/04/2021,112338
05/04/2021,112349
06/04/2021,112372
07/04/2021,112396
08/04/2021,112428
09/04/2021,112448
10/04/2021,112467
11/04/2021,112488
12/04/2021,112515
13/04/2021,112535
14/04/2021,112545
15/04/2021,112563
16/04/2021,112580
17/04/2021,112601
18/04/2021,112617
19/04/2021,112633
20/04/2021,112650
21/04/2021,112667
22/04/2021,112682
23/04/2021,112701
24/04/2021,112708
25/04/2021,112720
26/04/2021,112730
27/04/2021,112743
28/04/2021,112758
29/04/2021,112771
30/04/2021,112783
01/05/2021,112791
02/05/2021,112803
03/05/2021,112813
04/05/2021,112822
05/05/2021,112835
06/05/2021,112842
07/05/2021,112852
08/05/2021,112861
09/05/2021,112869
10/05/2021,112879
11/05/2021,112893
12/05/2021,112902
13/05/2021,112908
14/05/2021,112911
15/05/2021,112919
16/05/2021,112925
17/05/2021,112931
18/05/2021,112934
19/05/2021,112937
20/05/2021,112943
21/05/2021,112952
22/05/2021,112955
23/05/2021,112963
24/05/2021,112971
25/05/2021,112977
26/05/2021,112989
27/05/2021,112997
28/05/2021,113003
29/05/2021,113010
30/05/2021,113018
31/05/2021,113026
01/06/2021,113029
02/06/2021,113041
03/06/2021,113051
04/06/2021,113062
05/06/2021,113068
06/06/2021,113075
07/06/2021,113080
08/06/2021,113089
09/06/2021,113095
10/06/2021,113104
11/06/2021,113110
12/06/2021,113124
13/06/2021,113131
14/06/2021,113140
15/06/2021,113155
16/06/2021,113167
17/06/2021,113172
18/06/2021,113182
19/06/2021,113201
20/06/2021,113223
21/06/2021,113236
22/06/2021,113245
23/06/2021,113251
24/06/2021,113272
25/06/2021,113293
26/06/2021,113302
27/06/2021,113321
28/06/2021,113331
29/06/2021,113351
30/06/2021,113371
01/07/2021,113393
02/07/2021,113418
03/07/2021,113442
04/07/2021,113465
05/07/2021,113489
06/07/2021,113508
07/07/2021,113531
08/07/2021,113561
09/07/2021,113600
10/07/2021,113633
11/07/2021,113660
12/07/2021,113694
13/07/2021,113732
14/07/2021,113765
15/07/2021,113809
16/07/2021,113850
17/07/2021,113894
18/07/2021,113951
19/07/2021,114021
20/07/2021,114070
21/07/2021,114115
22/07/2021,114181
23/07/2021,114254
24/07/2021,114320
25/07/2021,114384
26/07/2021,114451
27/07/2021,114510
28/07/2021,114582
29/07/2021,114650
30/07/2021,114746
31/07/2021,114823
01/08/2021,114898
02/08/2021,114965
03/08/2021,115031
04/08/2021,115102
05/08/2021,115192
06/08/2021,115273
07/08/2021,115358
08/08/2021,115425
09/08/2021,115496
10/08/2021,115565
11/08/2021,115646
12/08/2021,115739
13/08/2021,115829
14/08/2021,115911
15/08/2021,115985
16/08/2021,116061
17/08/2021,116158
18/08/2021,116239
19/08/2021,116332
20/08/2021,116432
21/08/2021,116522
22/08/2021,116626
23/08/2021,116724
24/08/2021,116828
25/08/2021,116916
26/08/2021,117021
27/08/2021,117128
28/08/2021,117233
29/08/2021,117341
30/08/2021,117432
31/08/2021,117527
01/09/2021,117623
02/09/2021,117724
03/09/2021,117850
04/09/2021,117962
05/09/2021,118080
06/09/2021,118201
07/09/2021,118325
08/09/2021,118440
09/09/2021,118572
10/09/2021,118682
11/09/2021,118787
12/09/2021,118894
13/09/2021,118966
14/09/2021,119085
15/09/2021,119188
16/09/2021,119302
17/09/2021,119429
18/09/2021,119523
19/09/2021,119613
20/09/2021,119719
21/09/2021,119813
22/09/2021,119919
23/09/2021,120023
24/09/2021,120116
25/09/2021,120208
26/09/2021,120276
27/09/2021,120355
28/09/2021,120434
29/09/2021,120520
30/09/2021,120601
01/10/2021,120699
02/10/2021,120774
03/10/2021,120849
04/10/2021,120931
05/10/2021,121018
06/10/2021,121095
07/10/2021,121187
08/10/2021,121283
09/10/2021,121375
10/10/2021,121445
11/10/2021,121539
12/10/2021,121626
13/10/2021,121715
14/10/2021,121825
15/10/2021,121932
16/10/2021,122029
17/10/2021,122133
18/10/2021,122228
19/10/2021,122332
20/10/2021,122452
21/10/2021,122565
22/10/2021,122669
23/10/2021,122801
24/10/2021,122920
25/10/2021,123035
26/10/2021,123167
27/10/2021,123301
28/10/2021,123455
29/10/2021,123585
30/10/2021,123718
31/10/2021,123873
01/11/2021,124010
02/11/2021,124138
03/11/2021,124267
04/11/2021,124387
05/11/2021,124515
06/11/2021,124654
07/11/2021,124788
08/11/2021,124915
09/11/2021,125041
10/11/2021,125159
11/11/2021,125280
12/11/2021,125399
13/11/2021,125510
14/11/2021,125614
15/11/2021,125751
16/11/2021,125881
17/11/2021,125980
18/11/2021,126093
19/11/2021,126197
20/11/2021,126297
21/11/2021,126387
22/11/2021,126481
23/11/2021,126602
24/11/2021,126700
25/11/2021,126811
26/11/2021,126918
27/11/2021,127005
28/11/2021,127098
29/11/2021,127204
30/11/2021,127292
01/12/2021,127396
02/12/2021,127480
03/12/2021,127594
04/12/2021,127713
05/12/2021,127805
06/12/2021,127916
07/12/2021,128010
08/12/2021,128107
09/12/2021,128210
10/12/2021,128305
11/12/2021,128384
12/12/2021,128490
13/12/2021,128582
14/12/2021,128692
15/12/2021,128787
16/12/2021,128878
17/12/2021,128992
18/12/2021,129083
19/12/2021,129175
20/12/2021,129277
21/12/2021,129364
22/12/2021,129479
23/12/2021,129602
24/12/2021,129716
25/12/2021,129811
26/12/2021,129918
27/12/2021,130045
