date,Original,Alpha,Delta,Omicron,cumCases
29/06/2020,244569,0,0,0,244569
30/06/2020,245147,0,0,0,245147
01/07/2020,245754,0,0,0,245754
02/07/2020,246315,0,0,0,246315
03/07/2020,246851,0,0,0,246851
04/07/2020,247236,0,0,0,247236
05/07/2020,247780,0,0,0,247780
06/07/2020,248444,0,0,0,248444
07/07/2020,249008,0,0,0,249008
08/07/2020,249690,0,0,0,249690
09/07/2020,250378,0,0,0,250378
10/07/2020,250902,0,0,0,250902
11/07/2020,251335,0,0,0,251335
12/07/2020,251686,0,0,0,251686
13/07/2020,252380,0,0,0,252380
14/07/2020,253041,0,0,0,253041
15/07/2020,253767,0,0,0,253767
16/07/2020,254411,0,0,0,254411
17/07/2020,254959,0,0,0,254959
18/07/2020,255432,0,0,0,255432
19/07/2020,255851,0,0,0,255851
20/07/2020,256620,0,0,0,256620
21/07/2020,257317,0,0,0,257317
22/07/2020,258081,0,0,0,258081
23/07/2020,258822,0,0,0,258822
24/07/2020,259542,0,0,0,259542
25/07/2020,260041,0,0,0,260041
26/07/2020,260559,0,0,0,260559
27/07/2020,261383,0,0,0,261383
28/07/2020,262179,0,0,0,262179
29/07/2020,263173,0,0,0,263173
30/07/2020,264052,0,0,0,264052
31/07/2020,264696,0,0,0,264696
01/08/2020,265204,0,0,0,265204
02/08/2020,265722,0,0,0,265722
03/08/2020,266685,0,0,0,266685
04/08/2020,267649,0,0,0,267649
05/08/2020,268623,0,0,0,268623
06/08/2020,269628,0,0,0,269628
07/08/2020,270520,0,0,0,270520
08/08/2020,271168,0,0,0,271168
09/08/2020,271737,0,0,0,271737
10/08/2020,273112,0,0,0,273112
11/08/2020,274359,0,0,0,274359
12/08/2020,275485,0,0,0,275485
13/08/2020,276521,0,0,0,276521
14/08/2020,277580,0,0,0,277580
15/08/2020,278236,0,0,0,278236
16/08/2020,278770,0,0,0,278770
17/08/2020,279929,0,0,0,279929
18/08/2020,280884,0,0,0,280884
19/08/2020,281993,0,0,0,281993
20/08/2020,283247,0,0,0,283247
21/08/2020,284278,0,0,0,284278
22/08/2020,285010,0,0,0,285010
23/08/2020,285714,0,0,0,285714
24/08/2020,286871,0,0,0,286871
25/08/2020,287956,0,0,0,287956
26/08/2020,289137,0,0,0,289137
27/08/2020,290493,0,0,0,290493
28/08/2020,291888,0,0,0,291888
29/08/2020,292939,0,0,0,292939
30/08/2020,293926,0,0,0,293926
31/08/2020,295205,0,0,0,295205
01/09/2020,297167,0,0,0,297167
02/09/2020,299863,0,0,0,299863
03/09/2020,302579,0,0,0,302579
04/09/2020,305216,0,0,0,305216
05/09/2020,307416,0,0,0,307416
06/09/2020,309495,0,0,0,309495
07/09/2020,313025,0,0,0,313025
08/09/2020,316096,0,0,0,316096
09/09/2020,318989,0,0,0,318989
10/09/2020,322132,0,0,0,322132
11/09/2020,325025,0,0,0,325025
12/09/2020,327249,0,0,0,327249
13/09/2020,328971,0,0,0,328971
14/09/2020,331912,0,0,0,331912
