longitude,langitude
-0.285896429,50.83854429
-3.365166452,54.70698
-1.423493478,53.03745913
-0.602846087,50.80806652
-1.257856087,53.09515348
0.833604429,51.13375886
0.892742333,52.04455519
0.129613471,51.54671706
-0.205201429,51.61004143
-1.458455714,53.54926619
-3.213139231,54.12200308
0.4692715,51.58926562
-1.142253448,51.2783669
-0.9953816,53.3397864
-2.438204865,51.36045162
-0.479316667,52.14762926
0.135486429,51.4611981
-1.88229125,52.4787655
-2.476676957,53.72823348
-3.034409048,53.8185519
-1.2687905,53.206412
-2.4470075,53.5776235
-0.0244942,52.97638733
,
-0.753572778,51.39592889
-1.802703667,53.82139533
0.592779846,51.90042692
0.853554407,52.57282741
-0.262289524,51.55608905
0.314662133,51.63179333
-0.148119524,50.83846048
1.315941926,52.68257407
0.031428045,51.38761091
-2.021957667,52.35928833
-0.0350692,51.724589
-1.2584285,52.9629105
-2.247046667,53.79048733
-2.304594706,53.57881529
-1.893823529,53.71572294
0.134631857,52.20471857
-0.155468889,51.54330222
-1.988692667,52.71199133
1.092262476,51.31472095
-2.889148636,54.90904364
0.582525286,51.54537857
-0.461842903,51.97446323
-1.168948214,52.73734071
0.492261833,51.72354583
-2.08404,51.896665
-1.268093125,51.96407125
-2.312976538,53.19498615
-2.795196522,53.22816804
-1.420083158,53.24800789
-0.77081931,50.88680414
-2.644644,53.6603825
0.879072941,51.87692235
-3.4744052,54.4631148
-4.925055984,50.33347025
-1.905494688,51.78652969
-1.609056667,54.76403317
-1.511414444,52.41383111
-2.113794737,54.00863947
-0.188208667,51.113966
-0.0857,51.36787167
-0.5163608,51.7660648
-1.556293,54.53287
-1.472855294,52.91269412
-1.6729728,53.1311968
-1.113911905,53.52983333
,
1.305237143,51.17775143
-2.111665,52.48533042
-0.330462609,51.51967174
0.297785263,52.34767211
-3.248890313,50.73294844
-0.938855789,51.06032868
0.0023119,51.84456333
0.073409378,53.26241459
-0.484496154,53.83912346
-1.725128095,52.84352143
,
0.278304222,50.78481444
-1.335431579,50.94419842
-2.651515333,54.62827767
-0.385055,51.37182813
-0.077817619,51.64122
0.099548188,51.68532594
-0.260550769,51.34836
-1.311560526,52.93310737
-3.512822308,50.72362154
-1.218763333,50.85490333
0.057337625,52.57340875
,
-2.506327407,51.82135704
-2.946008095,53.77368
-1.638248636,54.94087682
