,Temp,Humi,Wind,UV,totalarrival,nationalarrival
Cornwall,0.173435794,-0.565184498,-0.202626772,-2.583713813,0.253202003,-0.490962767
Coventry,-0.176653636,-0.212824079,0.108610417,-0.200501435,-0.857694038,0.264943531
Crawley,0.058390504,-0.021632917,-0.108282086,0.293705721,0.165455701,-0.429597223
Croydon,0.162628799,-6.68E-05,0.07464126,0.404117104,0.093186947,-0.310661753
Dacorum,-0.214195612,-0.549180617,-0.114318862,-0.297692971,0.405520851,-6.864366954
Derby,0.185157509,0.407933521,0.179300225,0.000709026,-2.184486727,0.476919789
Derbyshire Dales,-0.217290362,0.26543721,0.000108383,-0.12860915,-0.035865496,0.034019286
Doncaster,-0.022941157,0.200339904,0.013106533,0.409198393,0.37517291,-2.072874192
Dover,-0.087880091,0.617700909,0.249772614,-0.023616921,0.175408202,-0.514128449
Dudley,-1.139261001,0.308391472,-0.751654392,-0.005402046,-0.540503955,0.223529672
Ealing,-0.033521926,0.169238453,0.307702706,-0.794126077,0.436555573,-3.80724347
East Devon,0.13041245,-0.13428173,0.178401101,-1.11258183,0.391274706,-1.012425556
East Hampshire,0.066819357,-0.500305909,0.135349585,0.337057897,-8.247727346,0.607336862
East Hertfordshire,0.245276559,0.171744241,-0.054653059,-1.66894596,0.426894475,-0.958028809
East Staffordshire,-0.292463054,0.191794671,-0.055521606,0.133957831,0.421438466,-0.984535299
Eastbourne,0.284976603,0.849103645,0.287606771,0.279334894,-0.443571982,0.212216592
Eastleigh,-0.088127818,0.180059829,0.015700631,0.233253646,-0.054884317,0.163691827
Elmbridge,0.006973681,0.062446422,-0.030862448,0.012989078,0.201533641,-0.759004813
Enfield,-3.198210011,0.060470258,-0.857853626,-0.450714062,0.35301255,-1.643005171
Epping Forest,-0.144958147,0.010406769,-0.014993372,-0.17048694,0.184394833,-1.287596694
Erewash,0.054075642,0.401244691,-0.137124578,-0.683961583,0.414701634,-1.038183565
Exeter,0.422192511,0.402302913,-0.070958525,-0.833433164,-0.802932916,0.45497711
Fareham,0.580616809,0.059839077,-0.036512254,0.142856534,-1.559459296,-0.078426214
Gateshead,0.016096225,-0.528842891,0.154997387,0.01059689,0.311138761,-1.601650887
Gedling,0.059423626,0.341676542,-0.157504883,0.002844396,0.541893295,-12.38936063
Gravesham,-0.047662506,0.057624741,-0.017153687,-0.172491476,0.420785085,-6.557837698
Greenwich,0.144898179,-0.469413566,-0.017949286,0.211783552,0.326886104,-2.941038644
Guildford,0.024830417,-0.260508967,0.101931694,0.224438831,0.376364043,-1.336121894
Hackney,-0.137569495,0.042364693,0.062887841,-0.306684694,0.238283354,-8.103483391
Halton,0.074163234,0.039393059,-0.00456483,-0.133256432,-0.546305243,-0.040345642
Haringey,-0.098137425,0.074029118,0.03302084,-0.512954016,0.525809977,-4.246363662
Harlow,-0.070423643,-0.011322263,0.030592912,0.106051904,0.083865778,-0.380643931
Harrow,0.085075658,0.152983423,-0.062289684,-0.586635066,0.184863965,-1.229108468
Hart,-0.038722231,-0.331246167,0.079752631,0.027422545,0.016063027,-0.145942076
Hastings,-0.480403036,-2.849630511,0.200696685,0.24600488,0.392439486,-0.957525603
Havant,-0.01834511,-0.219710211,0.059143725,0.087254099,-0.10562997,-0.602328583
Havering,0.177264298,-0.025396017,-0.074176098,0.14463672,0.064173737,-0.944852028
Hertsmere,-0.136675049,0.039241394,-0.053841275,-0.165511559,-0.558544511,0.19541
Hillingdon,0.087346044,-0.051987974,0.010523077,0.111011531,0.429033443,-2.323278171
Horsham,0.048709261,0.009993398,-0.147650221,0.224082044,0.353009383,-0.990454799
Hounslow,0.150617098,-0.088573062,0.058852685,0.128467218,-0.074215111,-0.436645047
Ipswich,-0.018117465,0.148684934,-0.118948421,-0.03270109,0.382125456,-0.891258332
Islington,-0.174583398,0.200516328,0.097705629,-0.30654614,0.51703199,-8.566294266
Knowsley,-0.072380345,-0.07010002,-0.136157083,-0.110543526,0.223301401,-2.209858386
Lambeth,-0.54677353,0.091903503,0.074184743,0.004438692,0.596589659,-13.27148647
Leicester,0.0182053,0.315692151,-0.146056849,0.076443024,-0.703725749,0.313959782
Lewes,-0.000744248,-0.239379825,-0.017171112,0.061528073,0.177654917,-0.811334073
Lewisham,-0.046855294,0.235591402,-0.173826803,-0.662503252,0.449720418,-2.275131202
Lichfield,-3.771773374,0.131146188,-0.073658595,-1.958155429,0.550903579,-2.108431645
Lincoln,0.00500737,0.318289765,0.05213243,-0.142010022,-0.028481917,0.07211877
Liverpool,0.188063805,0.291124232,-1.893586324,0.585906824,0.062455881,-0.165408251
Luton,0.050347744,0.532889637,0.043559125,-0.605357029,0.278030204,-1.962219853
Maidstone,0.024507695,0.08101138,-0.235184998,0.128722951,0.503041646,-3.453756831
Manchester,0.213011477,0.05903233,-0.012999951,0.116083696,0.480147741,-43.11675188
Mansfield,0.119654821,-0.159816759,0.086656794,-0.034084395,0.38146515,-1.342431679
Medway,0.053431043,0.087557451,0.173611456,-0.278445956,0.28305179,-5.043971658
Mendip,0.014731507,-0.219424026,-0.00510259,0.067534182,-1.612304286,0.547523225
Merton,-0.027874419,0.183575874,-0.172788872,-0.157633972,0.311018316,-0.635198799
Mid Suffolk,-0.086236741,-0.042757911,0.076594875,-0.001391358,0.395616215,-0.937993004
Mid Sussex,0.106504665,0.032311308,-0.081107997,0.113412402,0.227041244,-1.282296348
Milton Keynes,0.111927228,0.526248392,0.065086019,-1.418746584,0.232958634,-0.750615559
Mole Valley,0.029161797,0.064402113,0.142344176,0.110168448,0.149183826,-0.536629455
New Forest,0.076164152,-0.252114407,-0.018413091,0.448864679,0.297593382,-0.542633517
Newham,0.121993625,0.063898389,-0.042919157,-0.008266397,0.18928881,-1.542462121
North East Derbyshire,0.094213122,0.065540859,-0.120312267,0.03939205,0.335192526,-1.075652918
North East Lincolnshire,-0.336236886,-0.849815777,-0.45714436,0.243808822,0.668310475,-10.6423687
North Hertfordshire,-0.103751178,-0.090186265,0.072469304,0.329959552,0.470173344,-2.705878322
North Kesteven,0.052401095,0.554173399,-0.120927808,0.101431615,0.312406985,-0.396318423
North Lincolnshire,-0.18933426,-2.813837688,-0.23000107,0.009782548,0.320884255,-1.265518222
North Somerset,-2.092207267,0.545643978,0.265870841,-0.384731743,0.480921791,-1.383399737
North Tyneside,0.833770249,0.350724005,-3.602097741,-1.068659492,-0.459887766,-2.085849486
North West Leicestershire,0.022732274,0.32390279,-0.24581328,-0.448287841,0.325403284,-0.475658253
Northumberland,0.138047957,-0.211973396,-0.139436062,0.176159836,0.053907044,-0.423709183
Norwich,0.060173567,0.019454606,-0.029868756,-0.06109146,0.417288908,-15.67965586
Nottingham,0.302761536,-0.718300499,-0.348607444,-1.165073502,-11.1264015,0.422820487
Oldham,0.176056869,-0.043472061,0.019250371,-1.556576707,0.504483882,-11.32957646
Oxford,0.064681384,0.039061258,0.131903622,-0.039724387,0.519686529,-4.141625995
Plymouth,0.333654611,-0.628977667,0.120617066,-1.289001172,-0.110868473,-0.042035243
Portsmouth,0.155474255,0.173803392,0.064532474,0.095927278,0.274141329,-0.47951511
Reading,-0.023883344,0.109784833,0.070868276,0.029751017,0.43349916,-1.54265951
Redbridge,0.01926427,0.112082402,-0.161871401,-0.428452214,0.404970959,-4.065630452
Redditch,-7.675857484,-0.042830004,0.061026958,-0.975713415,0.41256684,-2.510177035
Rochdale,0.049036459,0.099951575,-0.067841227,-0.065811636,0.388419407,-3.551347042
Rochford,-0.074599733,0.025725309,-0.130394171,0.094640467,0.331416907,-1.843742375
Rossendale,-0.118423339,0.048900179,0.086158422,-0.467268962,0.05661356,-2.038038952
Rother,-0.143971719,-11.87830395,0.118230834,-0.052178458,-0.300834797,0.187850245
Rotherham,-0.098160119,0.214323214,-0.084735716,0.454601709,0.248977418,-1.170164298
Rugby,-0.749157002,0.560880643,0.02037826,-1.97452945,0.498812372,-1.41940619
Runnymede,-0.064968047,-0.085063998,0.016054373,-0.116993298,0.554855961,-5.737307386
Rushcliffe,-0.468990621,-1.13860762,0.076223439,0.198044412,-0.908760269,-0.582154155
Rushmoor,0.140605669,-0.166458975,-0.071344855,0.041948175,0.194544832,-0.438417353
Rutland,0.040844368,-0.351181988,0.036577214,0.200760277,0.381874257,-1.660795077
Sandwell,-3.496825829,0.185191576,-1.131774222,-1.301461078,0.561243504,-1.844805096
Sedgemoor,0.112701472,0.401799083,-2.464350242,-0.189451246,-0.589721499,0.015002002
Sefton,0.075960151,0.141730013,0.004288458,-0.152456761,0.358054758,-1.138856567
Sevenoaks,0.070325721,-0.081335882,-0.011753675,-0.240108875,0.10186444,-0.153103831
Shropshire,-3.396756699,0.49896334,0.102237488,0.072045972,0.287856488,-1.035340076
Slough,-1.774794993,0.06601081,-0.46572852,-1.105185075,0.438311831,-1.051171941
Solihull,0.075340615,-0.284866427,0.181223222,0.094379894,0.224677173,-1.246108854
South Derbyshire,-1.161968549,0.297771436,-0.692825091,0.108073419,-0.237509669,-0.118273686
South Gloucestershire,-1.011461571,0.554913697,0.279249079,-0.066357847,0.398785307,-3.733886178
South Hams,-0.121818801,0.016874423,0.126966016,0.085303379,0.257509834,-0.129083815
South Kesteven,0.057836035,-1.262556855,-0.377303721,0.311024263,0.335401381,-4.632238765
South Oxfordshire,-0.235624996,-0.201390137,0.038454383,-0.150553264,0.206092042,-0.274130472
South Staffordshire,0.114390876,0.164646431,0.060459238,0.0668194,0.35846205,-0.987850241
South Tyneside,-0.032396784,-1.738981873,0.052297756,0.201178441,0.527968403,-3.645920245
Southwark,-0.191755501,-0.363281229,0.166311734,0.105658588,0.570887596,-20.43792764
Spelthorne,0.138752039,0.068091257,0.042597548,0.06441635,-0.377401031,-0.718634219
St Albans,-0.0033556,0.57415545,0.098286733,-1.435734763,0.379996853,-0.979349926
Stafford,-0.020526875,0.084706985,-0.158930898,0.203203739,-2.623067142,0.557374095
Staffordshire Moorlands,-0.187143966,-0.533734015,-0.057621092,-0.584620723,0.359647779,-0.766574589
Stockport,-0.861608076,-0.494626921,-0.040883677,0.217718666,0.45655426,-7.090327426
Sunderland,-0.237414702,-1.031946292,-0.082130977,0.027329139,0.567715478,-2.173802723
Surrey Heath,0.030145293,0.070364172,-0.108267402,-0.066185969,-0.058201873,-0.200434916
